མཚན་བྱང། ,ཤོག་གྲངས། ,1,མཆན་གྲངས།,དཔར་མ།,མཆན། 
,156,2,2,《པེ་》《སྣར་》,ཀྱི།
,,3,3,《པེ་》《སྣར་》,ལ།
