མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མ་ལ་བསྟོད་པ།,264,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄༅། །སློབ་དཔོན་འཕགས་པ་ཀླུ་གྲུབ་ཀྱིས་སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མ་ལ་བསྟོད་པ་བཞུགས་སོ།།,
,,3,2,《པེ་》,mན།,
,265,4,1,《པེ་》,བརྒྱན།,
,,5,2,《པེ་》,ལྷུང་།,
,266,6,1,《པེ་》,བསྐུར།,
,,7,2,《པེ་》,མོ།,
,,8,3,《པེ་》,།། །།,
,,9,4,《པེ་》,སརྦ་མངྒ་ལཾ།། །།,
