མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,91,4,《པེ་》《སྣར་》,གྱུར་པས།,,
,,92,5,《པེ་》《སྣར་》,ཕྱིར།,,
,747,93,1,《པེ་》《སྣར་》,དེ།,,
,,94,2,《པེ་》《སྣར་》,བརྡོལ་བའི།,,
,,95,3,《པེ་》《སྣར་》,ཚིགས།,,
,,96,4,《པེ་》《སྣར་》,pཔ།,,
,,97,5,《པེ་》,ཕྱིར།,,
,,98,6,《པེ་》《སྣར་》,རྩྭ།,,
,,99,7,《པེ་》《སྣར་》,རྩྭ།,,
,,100,8,《པེ་》《སྣར་》《ཅོ་》,མེ།,,
,748,101,1,《པེ་》《སྣར་》,བྱའི།,,
,,102,2,《པེ་》《སྣར་》,mཔ་ཡིན།,,
,,103,3,《པེ་》《སྣར་》,གསད།,,
,,104,4,《པེ་》《སྣར་》,མའི།,,
,749,105,1,《པེ་》《སྣར་》,རྩོགས།,,
,,106,2,《སྣར་》,བཏུལ།,,
,,107,3,《པེ་》《སྣར་》,རེང་།,,
,,108,4,《པེ་》《སྣར་》,པར།,,
,,109,5,《ཅོ་》,པར།,,
,,110,6,《པེ་》《སྣར་》,ཀྱི།,,
,,111,7,《པེ་》《སྣར་》,གི།,,
,,112,8,《པེ་》《སྣར་》,སྦྱོང་།,,
,,113,9,《པེ་》《སྣར་》,pནས།,,
,750,114,1,《པེ་》《སྣར་》,ད།,,
,,115,2,《པེ་》《སྣར་》,བརྒད།,,
,,116,3,《པེ་》《སྣར་》,ཏོག,,
,,117,4,《པེ་》《སྣར་》,pཡང་།,,
,,118,5,《པེ་》《སྣར་》,བཟའ་བོ།,,
,,119,6,《པེ་》《སྣར་》,བཟའ་བོ།,,
,,120,7,《པེ་》《སྣར་》,mཉིད།,,
,751,121,1,《སྣར་》,བརྟེགས།,,
,,122,2,《པེ་》《སྣར་》,བཀླག,,
,,123,3,《པེ་》《སྣར་》,ཉེར།,,
,,124,4,《པེ་》《སྣར་》,བཀླག་སྟེ།,,
,,125,5,《སྣར་》,དོ།།,,
,752,126,1,《པེ་》《སྣར་》,སྒོམ།,,
,,127,2,《པེ་》《སྣར་》,འཐོབ།,,
,,128,3,《པེ་》《སྣར་》,བཀླག་པར་བྱ་ཞེས།,,
,,129,4,《པེ་》《སྣར་》,བྱའོ།,,
,,130,5,《པེ་》《སྣར་》,mཡང་།,,
,,131,6,《པེ་》《སྣར་》,རན།,,
,,132,7,《པེ་》《སྣར་》,བཀླག,,
,,133,8,《པེ་》《སྣར་》,ཚིགས།,,
,,134,9,《པེ་》《སྣར་》,གྱིས།,,
,,135,10,《པེ་》《སྣར་》,mབ།,,
,753,136,1,《པེ་》《སྣར་》,གིས།,,
,,137,2,《པེ་》,བསྐལ་པ།,,
,,138,3,《པེ་》《སྣར་》,རྫུན།,,
,,139,4,《ཅོ་》,པར།,,
,754,140,1,《པེ་》《སྣར་》,ཀྱིས།,,
,,141,2,《པེ་》《སྣར་》,ཡིན།,,
,,142,3,《ཅོ་》,བསྡོམས།,,
,,143,4,《པེ་》《སྣར་》《ཅོ་》,གྲོལ།,,
,,144,5,《པེ་》《སྣར་》,ཀྱི།,,
,,145,6,《པེ་》《སྣར་》,ན།,,
,,146,7,《པེ་》《སྣར་》,ཀྱིས།,,
,,147,8,《པེ་》《སྣར་》,འཕན།,,
,,148,9,《པེ་》《སྣར་》,རྫི་བྲི་ཟའི།,,
,,149,10,《པེ་》《སྣར་》,སྐྱེས།,,
,,150,11,《ཅོ་》,སྡུག,,
,,151,12,《པེ་》《སྣར་》,སྒོམ།,,
,,152,13,《པེ་》《སྣར་》,འབྱུང་།,,
,,153,14,《སྣར་》,སྣོད།,,
,,154,15,《པེ་》《སྣར་》,མཆོངས།,,
,,155,16,《པེ་》《སྣར་》,ཡར་གསོད།,《ཅོ་》,ཡང་བསོད།,
,,156,17,《པེ་》《སྣར་》,དབྱུག,,
,,157,18,《པེ་》《སྣར་》,བསྲུང་།,,
,755,158,1,《པེ་》《སྣར་》,གསོད།,,
,,159,2,《པེ་》《སྣར་》,གཅད།,,
,,160,3,《པེ་》《སྣར་》,སྐྱེས།,,
,,161,4,《པེ་》《སྣར་》,གཅིག,,
