མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,412,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》《སྣར་》ལ་མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།       །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,ཀཱ་ར་ན།,
,,4,3,《སྣར་》,ཡིས།,
,,5,4,《པེ་》《སྣར་》,གི།,
,,6,5,《པེ་》《སྣར་》,ཀྱི།,
,,7,6,《པེ་》《སྣར་》,རྟགས།,
,413,8,1,《པེ་》《སྣར་》,རྟེན།,
,,9,2,《པེ་》《སྣར་》,mབུ།,
,,10,3,《པེ་》《སྣར་》,ལྷས་བྱིན།,
,,11,4,《པེ་》《སྣར་》,ན།,
,,12,5,《པེ་》《སྣར་》,གི།,
,,13,6,《པེ་》,mབལྟ།,《སྣར་》,ལྟ།
,,14,7,《པེ་》《སྣར་》,ཇི།,
,,15,8,《པེ་》《སྣར་》,mཔར།,
,414,16,1,《པེ་》《སྣར་》,བཟློག,
,,17,2,《པེ་》《སྣར་》,འཇིགས།,
,,18,3,《པེ་》《སྣར་》,mདེ།,
,,19,4,《པེ་》《སྣར་》,འགལ།,
,,20,5,《པེ་》《སྣར་》,བསལ།,
,,21,6,《པེ་》《སྣར་》,ནས།,
,415,22,1,《པེ་》《སྣར་》,ལོ་ཙཱ།,
