མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
བྱང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ།,1674,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》《སྣར་》ལ་བྱུང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ་བཞུགས་སོ། །ཞེས་འཁོད། ,
,,3,2,《པེ་》《སྣར་》,དྷྱཱ།,
,,4,3,《པེ་》《སྣར་》,པ།,
,,5,4,《པེ་》《སྣར་》,པ་འགྲོན།,
,,6,5,《པེ་》《སྣར་》,ལམ།,
,,7,6,《པེ་》《སྣར་》,འཚོ་ལས་བརྒལ།,
,1675,8,1,《པེ་》《སྣར་》,དཀོར།,
,,9,2,《སྣར་》,མཚན།,
,,10,3,《པེ་》《སྣར་》,བགྱིས།,
,,11,4,《པེ་》《སྣར་》,བསྡམ།,
,,12,5,《སྣར་》,སྨད།,
,,13,6,《སྣར་》,དུ།,
,,14,7,《པེ་》《སྣར་》,གི།,
,,15,8,《པེ་》,གསབ། ,《སྣར་》,གསག
,,16,9,《སྣར་》,དུ།,
,,17,10,《པེ་》《སྣར་》,མཁྱེན།,,
,,18,11,《པེ་》《སྣར་》,གིས།,,
,,19,12,《པེ་》,དེང་ནས་བརྩམས་ཏེ་བཟུང་།,《སྣར་》,དེར་ནས་བརྩམས་ཏེ་བཟུང་།,
,,20,13,《པེ་》《སྣར་》,མཆོད།,,
,1676,21,1,《པེ་》《སྣར་》,དགྱེས་བགྱིད།,,
,,22,2,《སྣར་》,གྲོ།,,
,,23,3,《སྣར་》,སྦྱོང་།,,
,,24,4,《པེ་》《སྣར་》,རྣམ།,,
,,25,5,《སྣར་》,དང་།,,
