མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,371,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,372,3,1,《པེ་》,ནི།,
,,4,2,《པེ་》,ཡཾ།,
,,5,3,《པེ་》,ཛྙ།,
,,6,4,《པེ་》,བྷནྡྷ་བྷནྡྷ།,
,,7,5,《པེ་》,དེ།,
,,8,6,《པེ་》,བཟུང་།,
,,9,7,《པེ་》,།།,
