མཚན་བྱང། ,ཤོག་གྲངས། ,1,མཆན་གྲངས།,དཔར་མ།,མཆན། ,
,210,2,1,《པེ་》《སྣར་》,སྒྲུབ།,
,,3,2,《སྣར་》,བ།,
,,4,3,《པེ་》《སྣར་》,mལ།,
,,5,4,《པེ་》《སྣར་》,དྲག,
,,6,5,《པེ་》《སྣར་》,ཞུན།,
,,7,6,《པེ་》,མོན་དྲེ།,《སྣར་》,མན་དྲེ།
,,8,7,《པེ་》《སྣར་》,ནབས།,
,,9,8,《པེ་》《སྣར་》,ཞུན།,
,,10,9,《པེ་》《སྣར་》,mམགོ་ལ།,
,,11,10,《པེ་》《སྣར་》,mསྨད།,
,,12,11,《པེ་》《སྣར་》,འཕམ།,
,,13,12,《པེ་》《སྣར་》,སྦོ།,
,,14,13,《པེ་》《སྣར་》,འཕམ།,
,,15,14,《པེ་》《སྣར་》,པ།,
,211,16,1,《སྣར་》,པས།,
,,17,2,《པེ་》《སྣར་》,སྒྲུབ།,
,,18,3,《པེ་》《སྣར་》,བཏང་།,
,,19,4,《པེ་》《སྣར་》,བཏང་།,
,,20,5,《པེ་》,བདུད།,《སྣར་》,སྡུད།
,,21,6,《པེ་》《སྣར་》,མདུན།,
,,22,7,《པེ་》《སྣར་》,ནམ།,
,,23,8,《པེ་》《སྣར་》,ལན།,
,,24,9,《པེ་》《སྣར་》,མཁོ།,
,,25,10,《པེ་》《སྣར་》,ཙོམ།,
,,26,11,《པེ་》,pབོ།,
