མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,731,6,《པེ་》《སྣར་》,རྩ་ནི།,,,,,
,148,732,1,《པེ་》《སྣར་》,pཀྱི།,,,,,
,,733,2,《པེ་》《སྣར་》,སྟེ།,,,,,
,,734,3,《པེ་》《སྣར་》,པས།,,,,,
,,735,4,《པེ་》《སྣར་》,བས།,,,,,
,149,736,1,《པེ་》《སྣར་》,ལྷས།,,,,,
,,737,2,《པེ་》《སྣར་》,རྒྱལ།,,,,,
,,738,3,《པེ་》,mཀྲ།,《སྣར་》,mཤུ་ཀྲ།,,,,
,,739,4,《པེ་》《སྣར་》,ནི།,,,,,
,,740,5,《པེ་》《སྣར་》,pའོད།,,,,,
,,741,6,《པེ་》《སྣར་》,ལྷས།,,,,,
,,742,7,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,743,8,《པེ་》《སྣར་》,pཆེ།,,,,,
,,744,9,《པེ་》《སྣར་》,mསྟོང་།,,,,,
,150,745,1,《པེ་》《སྣར་》,པར་བྱའོ།,,,,,
,,746,2,《པེ་》《སྣར་》,mལ།,,,,,
,,747,3,《པེ་》《སྣར་》,pནབ།,,,,,
,,748,4,《པེ་》《སྣར་》,ནི།,,,,,
,,749,5,《པེ་》《སྣར་》,བརླབ།,,,,,
,,750,6,《པེ་》《སྣར་》,དྷརྨ།,,,,,
,151,751,1,《པེ་》《སྣར་》,ཏྲཾ།,,,,,
,,752,2,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,753,3,《པེ་》《སྣར་》,pལ།,,,,,
,152,754,1,《པེ་》《སྣར་》,ཨེ་དང་ཨཻ།,,,,,
,,755,2,《པེ་》《སྣར་》,ཨོ་དང་ཨཽ།,,,,,
,,756,3,《པེ་》《སྣར་》,ཨི་ཨཱི།  ཨུ་ཨཱུ།,,,,,
,,757,4,《པེ་》《སྣར་》,pནི།,,,,,
,,758,5,《པེ་》《སྣར་》,pལ།,,,,,
,153,759,1,《པེ་》《སྣར་》,ཡེ་ཤེས།,,,,,
,,760,2,《པེ་》《སྣར་》,བསྐོར།,,,,,
,,761,3,《པེ་》《སྣར་》,།།  །།,,,,,
,,762,4,《པེ་》《སྣར་》,བསྐོར།,,,,,
,155,763,1,《པེ་》《སྣར་》,བཞག,,,,,
,,764,2,《པེ་》《སྣར་》,བྱ་སྟེ།,,,,,
,,765,3,《པེ་》《སྣར་》,པར།,,,,,
,,766,4,《པེ་》《སྣར་》,pདོན།,,,,,
,,767,5,《པེ་》《སྣར་》,ལ།,,,,,
,,768,6,《པེ་》《སྣར་》,པའི་ཕྲ་མོ།,,,,,
,,769,7,《པེ་》,བསྒོམ།,,,,,
,,770,8,《པེ་》《སྣར་》,བརྟན་པར་བྱས་ཤིང་།,,,,,
,,771,9,《པེ་》《སྣར་》,སྤྱོད།,,,,,
,,772,10,《པེ་》,མོ།,《སྣར་》,མ།,,,,
,156,773,1,《པེ་》《སྣར་》,mབ།,,,,,
,,774,2,《པེ་》《སྣར་》,pཟེར།,,,,,
,,775,3,《པེ་》《སྣར་》,pརོ།,,,,,
,157,776,1,《པེ་》《སྣར་》,འབྲུ།,,,,,
,,777,2,《པེ་》《སྣར་》,པ་རྡོ་རྗེ།,,,,,
,,778,3,《པེ་》《སྣར་》,།།  །།,,,,,
,,779,4,《པེ་》《སྣར་》,པ།,,,,,
,158,780,1,《པེ་》《སྣར་》,འབྲུ།,,,,,
,,781,2,《པེ་》《སྣར་》,ཅུ།,,,,,
,,782,3,《པེ་》《སྣར་》,རྣམས།,,,,,
,,783,4,《པེ་》《སྣར་》,བ་ནི་མིག,,,,,
,,784,5,《པེ་》《སྣར་》,བོར།,,,,,
,,785,6,《པེ་》《སྣར་》,པའི།,,,,,
,,786,7,《པེ་》,།།  །།,,,,,
,159,787,1,《པེ་》《སྣར་》,པོའི།,,,,,
,,788,2,《པེ་》《སྣར་》,pནི།,,,,,
,,789,3,《པེ་》《སྣར་》,pལ།,,,,,
,,790,4,《པེ་》《སྣར་》,མོ།  རྩེ་མོ་ནི་མཆོག་ཏུ་དགའ་བ་དང་ཉིན་མོ།  ,,,,,
,,791,5,《པེ་》《སྣར་》,སྒོམ།  (འདིའི་འོག་གི་སྒོམ་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་སྒོམ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།),,,,,
,,792,6,《པེ་》《སྣར་》,mསྣང་བའི།,,,,,
,,793,7,《པེ་》《སྣར་》,mདང་།,,,,,
,,794,8,《པེ་》《སྣར་》,བྱའོ།,,,,,
,,795,9,《པེ་》《སྣར་》,བྱ་སྟེ།,,,,,
,,796,10,《པེ་》《སྣར་》,པའི་རིན།,,,,,
,,797,11,《པེ་》《སྣར་》,ན།,,,,,
,,798,12,《པེ་》《སྣར་》,མི།,,,,,
,160,799,1,《པེ་》《སྣར་》,གིས།,,,,,
,,800,2,《པེ་》《སྣར་》,།།  །།,,,,,
,,801,3,《པེ་》《སྣར་》,pནི།,,,,,
,,802,4,《པེ་》《སྣར་》,pསྣེའི་རྩེ་མོར་ཞེས་པ་ནི་ཁམས་གསུམ་གྱི་སྟེང་དུ་ཆོས་ཀྱི་རྒྱལ་སྲིད་ལ་དབང་མཛད་པས་བཞུགས་པ་བསྒོམ་པར་བྱའོ།  །རྣལ་འབྱོར་པ་ཡིས་ཞེས་པ་ནི་ཟུང་འཇུག་སྟེ་དེ་ལ་མཁས་པས་སོ།  །རྟག་པར་ཞེས་པ་ནི་དུས་གསུམ་ལ་ཡང་མི་འཇིགས་པའོ།།,,,,,
,,803,5,《པེ་》《སྣར་》,བརྟན།,,,,,
,,804,6,《པེ་》《སྣར་》,དྲན་པ།,,,,,
,,805,7,《པེ་》《སྣར་》,རིགས།,,,,,
,161,806,1,《པེ་》《སྣར་》,mདེ།,,,,,
,,807,2,《པེ་》《སྣར་》,རྗེ་སྟེ།,,,,,
,,808,3,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,162,809,1,《པེ་》《སྣར་》,mདང་།,,,,,
,,810,2,《པེ་》《སྣར་》,བསྒོམས།,,,,,
,,811,3,《པེ་》《སྣར་》,སྡུ་བར།,,,,,
,,812,4,《པེ་》《སྣར་》,པ་ནི།,,,,,
,,813,5,《པེ་》《སྣར་》,བ་ནི།,,,,,
,163,814,1,《པེ་》《སྣར་》,བྱ་བའོ།,,,,,
,,815,2,《པེ་》《སྣར་》,མ་ཞེས་བྱ་བའོ།,,,,,
,,816,3,《པེ་》《སྣར་》,བརྩན་པ།,,,,,
,,817,4,《པེ་》《སྣར་》,དེའི།,,,,,
,,818,5,《པེ་》《སྣར་》,བའི་ཕྱིར།,,,,,
,,819,6,《པེ་》《སྣར་》,བ་སྟེ།,,,,,
,,820,7,《པེ་》《སྣར་》,རྩེ།,,,,,
,,821,8,《པེ་》《སྣར་》,རྒྱལ་མོའོ།།,,,,,
,,822,9,《པེ་》《སྣར་》,གྱིས།,,,,,
,,823,10,《པེ་》《སྣར་》,ནི།,,,,,
,164,824,1,《པེ་》《སྣར་》,བྱའི།,,,,,
,,825,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,826,3,《པེ་》《སྣར་》,mཀྱེ།,,,,,
,165,827,1,《པེ་》《སྣར་》,པའི།,,,,,
,,828,2,《པེ་》《སྣར་》,mཞེས་གསོལ།,,,,,
,,829,3,《པེ་》《སྣར་》,སྐུའི།,,,,,
,,830,4,《པེ་》《སྣར་》,པ།,,,,,
,,831,5,《པེ་》《སྣར་》,pསྟེ།,,,,,
,,832,6,《པེ་》《སྣར་》,དཔྱོད།,,,,,
,,833,7,《པེ་》《སྣར་》,ཀྱིས་སྦྱོར་བ་ནི།,,,,,
,166,834,1,《པེ་》《སྣར་》,ལོ།,,,,,
,,835,2,《པེ་》《སྣར་》,སྐྱེས།,,,,,
,,836,3,《པེ་》《སྣར་》,དེའི།,,,,,
,167,837,1,《པེ་》《སྣར་》,བུ།,,,,,
,,838,2,《པེ་》《སྣར་》,རིགས།,,,,,
,,839,3,《པེ་》《སྣར་》,འཇིག་རྟེན།,,,,,
,,840,4,《པེ་》《སྣར་》,འོད།,,,,,
,,841,5,《པེ་》《སྣར་》,pཔ།,,,,,
,,842,6,《པེ་》《སྣར་》,ལྡོག,,,,,
,,843,7,《པེ་》《སྣར་》,ནི།,,,,,
,169,844,1,《པེ་》《སྣར་》,mཔ།,,,,,
,,845,2,《པེ་》《སྣར་》,བས།,,,,,
,,846,3,《པེ་》《སྣར་》,རྟོགས།,,,,,
,170,847,1,《པེ་》《སྣར་》,པ།,,,,,
,,848,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,849,3,《པེ་》《སྣར་》,བ།,,,,,
,171,850,1,《པེ་》《སྣར་》,པའི།,,,,,
,,851,2,《པེ་》《སྣར་》,དབུས།,,,,,
,,852,3,《པེ་》《སྣར་》,འཇིགས།,,,,,
,,853,4,《པེ་》《སྣར་》,འཁྲིགས།,,,,,
,,854,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,172,855,1,《པེ་》《སྣར་》,pལྷོ་ནི།,,,,,
,,856,2,《པེ་》《སྣར་》,ཐང་ཤིང་།,,,,,
,,857,3,《པེ་》《སྣར་》,པའི།,,,,,
,,858,4,《པེ་》《སྣར་》,གིས།,,,,,
,,859,5,《པེ་》《སྣར་》,རྗེ།,,,,,
,,860,6,《པེ་》《སྣར་》,དེའི།,,,,,
,163,861,1,《པེ་》《སྣར་》,pབདེན་བྲལ་གྱི་མཚམས་སུ་པི་བཾ་དང་།,,,,,
,,862,2,《པེ་》《སྣར་》,དྲིའི་ཕུང་པོ།,,,,,
,,863,3,《པེ་》《སྣར་》,mབདེན་བྲལ་གྱི་མཚམས་སུ་དྲིའི་ཕུང་པོ་དང་།,,,,,
,,864,4,《པེ་》《སྣར་》,ནི།,,,,,
,,865,5,《པེ་》《སྣར་》,གུར་ཅུ་དང་།,,,,,
,,866,6,《པེ་》《སྣར་》,པ་ཡིན།,,,,,
,174,867,1,《པེ་》《སྣར་》,བཟང་།,,,,,
,,868,2,《པེ་》《སྣར་》,རྟག,,,,,
,,869,3,《པེ་》《སྣར་》,མཆོད་རྟེན།,,,,,
,,870,4,《པེ་》《སྣར་》,pབ།,,,,,
,,871,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,872,6,《པེ་》《སྣར་》,mནི།,,,,,
,,873,7,《པེ་》《སྣར་》,བཏབ།,,,,,
,175,874,1,《པེ་》《སྣར་》,ཏེ།,,,,,
,,875,2,《པེ་》《སྣར་》,pདཀྱིལ།,,,,,
,,876,3,《པེ་》《སྣར་》,དབུས།,,,,,
,,877,4,《པེ་》《སྣར་》,pའཆང་སྟེ།,,,,,
,,878,5,《པེ་》《སྣར་》,ལ་ནི་ཁ་དོག་དང་།,,,,,
,,879,6,《པེ་》《སྣར་》,འཇིགས།,,,,,
,,880,7,《པེ་》《སྣར་》,འཇིགས།,,,,,
,,881,8,《པེ་》《སྣར་》,འཇིགས།,,,,,
,176,882,1,《པེ་》《སྣར་》,pསེམས།,,,,,
,,883,2,《པེ་》《སྣར་》,ཕྱིར།,,,,,
,,884,3,《པེ་》《སྣར་》,pལ།,,,,,
,,885,4,《པེ་》《སྣར་》,ག,,,,,
,,886,5,《པེ་》《སྣར་》,པའི།,,,,,
,177,887,1,《པེ་》《སྣར་》,ངག་དག,,,,,
,,888,2,《པེ་》《སྣར་》,ཤེས་པ་ནི།,,,,,
,,889,3,《པེ་》《སྣར་》,བརླབས།,,,,,
,,890,4,《པེ་》《སྣར་》,གྱིས།,,,,,
,,891,5,《པེ་》《སྣར་》,pནི།,,,,,
,178,892,1,《པེ་》《སྣར་》,pཡིན།,,,,,
,,893,2,《པེ་》《སྣར་》,པས།,,,,,
,,894,3,《པེ་》《སྣར་》,རང་།,,,,,
,,895,4,《པེ་》《སྣར་》,pལ།,,,,,
,179,896,1,《པེ་》《སྣར་》,བརླབ་སྟེ།,,,,,
,,897,2,《པེ་》《སྣར་》,བྱས་ནས།,,,,,
,,898,3,《པེ་》《སྣར་》,པོའི།,,,,,
,,899,4,《པེ་》《སྣར་》,གྱུར་པའོ།,,,,,
,,900,5,《པེ་》《སྣར་》,pརྩེ་མོ།,,,,,
,180,901,1,《པེ་》《སྣར་》,པའོ།།,,,,,
,,902,2,《པེ་》《སྣར་》,པའི་མི།,,,,,
,,903,3,《པེ་》《སྣར་》,ནི།,,,,,
,,904,4,《པེ་》《སྣར་》,ནི།,,,,,
,,905,5,《པེ་》《སྣར་》,mནི།,,,,,
,,906,6,《པེ་》《སྣར་》,བརླབས།,,,,,
,,907,7,《པེ་》《སྣར་》,མཁའ།,,,,,
,181,908,1,《པེ་》《སྣར་》,ཡོངས་སུ་གསལ་བ་ཞེས་བྱ་བ་ནས།,,,,,
,,909,2,《པེ་》《སྣར་》,ངག་དག,,,,,
,,910,3,《པེ་》《སྣར་》,པའི།,,,,,
,,911,4,《པེ་》《སྣར་》,mམ།,,,,,
,182,912,1,《པེ་》《སྣར་》,བུའི།,,,,,
,,913,2,《པེ་》《སྣར་》,pཀྱི།,,,,,
,,914,3,《པེ་》《སྣར་》,pཔ།,,,,,
,,915,4,《པེ་》《སྣར་》,pལ།,,,,,
,,916,5,《པེ་》《སྣར་》,བྱེད།,,,,,
,183,917,1,《པེ་》《སྣར་》,བརླབ།,,,,,
,184,918,1,《པེ་》《སྣར་》,མོའོ།།,,,,,
,,919,2,《པེ་》《སྣར་》,ཀཱི།,,,,,
,185,920,1,《པེ་》《སྣར་》,པ།,,,,,
,,921,2,《པེ་》《སྣར་》,པའི།,,,,,
,,922,3,《པེ་》《སྣར་》,གྱི།,,,,,
,186,923,1,《པེ་》《སྣར་》,ལ་སྐྱེས།,,,,,
,,924,2,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,925,3,《པེ་》《སྣར་》,ལས།,,,,,
,,926,4,《པེ་》《སྣར་》,pརོ།།,,,,,
,,927,5,《པེ་》《སྣར་》,pཔ།,,,,,
,187,928,1,《པེ་》《སྣར་》,ནི།,,,,,
,,929,2,《པེ་》《སྣར་》,ཕུལ།,,,,,
,,930,3,《པེ་》《སྣར་》,པས།,,,,,
,,931,4,《པེ་》《སྣར་》,བྱུང་།,,,,,
,188,932,1,《པེ་》《སྣར་》,mདེ།,,,,,
,,933,2,《པེ་》《སྣར་》,པ།,,,,,
,,934,3,《པེ་》《སྣར་》,མི།,,,,,
,189,935,1,《པེ་》《སྣར་》,མངོན་པར་བྱང་ཆུབ་ཀྱི་སྦྱོར་བས་བླ་ན་མེད་པའི།,,,,,
,,936,2,《པེ་》《སྣར་》,ཀུན།,,,,,
,190,937,1,《པེ་》《སྣར་》,pབ།,,,,,
,,938,2,《པེ་》《སྣར་》,སྒོམས་པས།,,,,,
,,939,3,《པེ་》《སྣར་》,mནི།,,,,,
,,940,4,《པེ་》《སྣར་》,བདེ་བས།,,,,,
,,941,5,《པེ་》《སྣར་》,གསུམ།,,,,,
,,942,6,《པེ་》《སྣར་》,pཔ།,,,,,
,191,943,1,《པེ་》《སྣར་》,པོའི།,,,,,
,,944,2,《པེ་》《སྣར་》,རོ།,,,,,
,,945,3,《པེ་》《སྣར་》,མོ།,,,,,
,,946,4,《པེ་》《སྣར་》,pལྷ་མོའི།,,,,,
,,947,5,《པེ་》《སྣར་》,ནས།,,,,,
,,948,6,《པེ་》《སྣར་》,གྱིས།,,,,,
,,949,7,《པེ་》《སྣར་》,དག་ཅིང་།,,,,,
,,950,8,《པེ་》《སྣར་》,pམ།,,,,,
,192,951,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,952,2,《པེ་》《སྣར་》,རིལ་བུ།,,,,,
,,953,3,《པེ་》《སྣར་》,བོར།,,,,,
,,954,4,《པེ་》《སྣར་》,བོར།,,,,,
,,955,5,《པེ་》《སྣར་》,དང་།,,,,,
,193,956,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,957,2,《པེ་》《སྣར་》,སོ།,,,,,
,,958,3,《པེ་》《སྣར་》,མྱུག,,,,,
,,959,4,《པེ་》《སྣར་》,འཁྲུགས།,,,,,
,,960,5,《པེ་》《སྣར་》,ཏེ།,,,,,
,,961,6,《པེ་》《སྣར་》,ཨཏྨ།,,,,,
,,962,7,《པེ་》《སྣར་》,གྱིས།,,,,,
,,963,8,《པེ་》《སྣར་》,pཔ།,,,,,
,194,964,1,《པེ་》《སྣར་》,རཀྵའི།,,,,,
,,965,2,《པེ་》《སྣར་》,pདེ།,,,,,
,,966,3,《པེ་》《སྣར་》,སློངས་།,,,,,
,,967,4,《པེ་》《སྣར་》,སློངས་།,,,,,
,195,968,1,《པེ་》《སྣར་》,pགྱི།,,,,,
,,969,2,《པེ་》《སྣར་》,བལྟོས།,,,,,
,,970,3,《པེ་》《སྣར་》,བལྟ།,,,,,
,,971,4,《པེ་》《སྣར་》,བ་མེད།,,,,,
,,972,5,《པེ་》《སྣར་》,པས།,,,,,
,196,973,1,《པེ་》《སྣར་》,pཡོད།,,,,,
,,974,2,《པེ་》《སྣར་》,བ་ཡིས།,,,,,
,,975,3,《པེ་》《སྣར་》,ཞེས།,,,,,
,,976,4,《པེ་》《སྣར་》,ཏེ།,,,,,
,,977,5,《པེ་》《སྣར་》,དོ།,,,,,
,197,978,1,《པེ་》《སྣར་》,pབཞིན་དུ།,,,,,
,,979,2,《པེ་》《སྣར་》,འཕྲོག,,,,,
,,980,3,《པེ་》《སྣར་》,བསྟན།,,,,,
,,981,4,《པེ་》《སྣར་》,pཉ།,,,,,
,,982,5,《པེ་》《སྣར་》,སེམས་པ།,,,,,
,198,983,1,《པེ་》《སྣར་》,pལྷན་ཅིག,,,,,
,,984,2,《པེ་》《སྣར་》,དང་པོ་སེམས།,,,,,
,,985,3,《པེ་》《སྣར་》,pཔ།,,,,,
,,986,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,199,987,1,《པེ་》《སྣར་》,འགྲོ།,,,,,
,,988,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,200,989,1,《པེ་》《སྣར་》,གྱུར།,,,,,
,,990,2,《པེ་》《སྣར་》,བསྟན།,,,,,
,,991,3,《པེ་》《སྣར་》,ཕྱིན།,,,,,
,,992,4,《པེ་》《སྣར་》,སྨད་པའོ།,,,,,
,,993,5,《པེ་》《སྣར་》,གིས།,,,,,
,,994,6,《པེ་》《སྣར་》,ལ་ལྡོག་པས།,,,,,
,201,995,1,《པེ་》《སྣར་》,སྒྲུབ་པ་ཡིས།,,,,,
,,996,2,《པེ་》《སྣར་》,པ་ལའོ།,,,,,
,,997,3,《པེ་》《སྣར་》,pནི།,,,,,
,,998,4,《པེ་》《སྣར་》,ནི།,,,,,
,,999,5,《པེ་》《སྣར་》,ཏེ།,,,,,
,202,1000,1,《པེ་》《སྣར་》,mདང་།,,,,,
,,1001,2,《པེ་》《སྣར་》,བསྟན།,,,,,
,,1002,3,《པེ་》《སྣར་》,ཞིང་།,,,,,
,,1003,4,《པེ་》《སྣར་》,པོ།,,,,,
,203,1004,1,《པེ་》《སྣར་》,ལས།,,,,,
,,1005,2,《པེ་》《སྣར་》,mཔ།,,,,,
,,1006,3,《པེ་》《སྣར་》,pདེ།,,,,,
,,1007,4,《པེ་》《སྣར་》,གྱི།,,,,,
,,1008,5,《པེ་》《སྣར་》,གྱིས།,,,,,
,,1009,6,《པེ་》《སྣར་》,གཡས་དང་གཡོན་གྱི།,,,,,
,,1010,7,《པེ་》《སྣར་》,པོ།,,,,,
,,1011,8,《པེ་》《སྣར་》,pནི།,,,,,
,,1012,9,《པེ་》《སྣར་》,mཏེ།,,,,,
,,1013,10,《པེ་》《སྣར་》,mསྤྱོད་པའོ།  །ཤིན་ཏུ་སྤྲོས་པ་མེད་པའི།,,,,,
,,1014,11,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,1015,12,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,1016,13,《པེ་》《སྣར་》,mཏུ།,,,,,
,204,1017,1,《པེ་》《སྣར་》,པ།,,,,,
,205,1018,1,《པེ་》《སྣར་》,ཏོ།,,,,,
,,1019,2,《པེ་》《སྣར་》,གེ་ཕྱི་མོའོ།,,,,,
,,1020,3,《པེ་》《སྣར་》,གྱིས།,,,,,
,,1021,4,《པེ་》《སྣར་》,mགྱི།,,,,,
,,1022,5,《པེ་》《སྣར་》,pདེས།,,,,,
,,1023,6,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,1024,7,《པེ་》《སྣར་》,mདུ།,,,,,
,,1025,8,《པེ་》《སྣར་》,mཔ།,,,,,
,206,1026,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,1027,2,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,1028,3,《པེ་》《སྣར་》,mཏེ།,,,,,
,,1029,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,1030,5,《པེ་》《སྣར་》,པ།,,,,,
,,1031,6,《པེ་》《སྣར་》,པ་འགྲུབ།,,,,,
,207,1032,1,《པེ་》《སྣར་》,དྲུག,,,,,
,,1033,2,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,1034,3,《པེ་》《སྣར་》,pགཙོ་བོ་ནི་གཉི་གའོ།,,,,,
,,1035,4,《པེ་》《སྣར་》,གྲུབ།,,,,,
,,1036,5,《པེ་》《སྣར་》,།།  །།,,,,,
,,1037,6,《པེ་》《སྣར་》,mདང་།,,,,,
,,1038,7,《པེ་》《སྣར་》,ལིངྒས།,,,,,
,,1039,8,《པེ་》《སྣར་》,བསྒོམས།,,,,,
,,1040,9,《ཅོ་》,འགྱུར་བས།,,,,,
,208,1041,1,《པེ་》《སྣར་》,བཅིངས་པར།,,,,,
,,1042,2,《པེ་》《སྣར་》,སྒོམ་ཞིང་།,,,,,
,,1043,3,《ཅོ་》,འགའ།,,,,,
,,1044,4,《ཅོ་》,mརྒྱས།,,,,,
,209,1045,1,《པེ་》《སྣར་》,པ།,,,,,
,,1046,2,《པེ་》《སྣར་》,ཏེ།,,,,,
,210,1047,1,《པེ་》《སྣར་》,mདུ།,,,,,
,,1048,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1049,3,《པེ་》《སྣར་》,པས།,,,,,
,,1050,4,《པེ་》《སྣར་》,པ།,,,,,
,,1051,5,《པེ་》《སྣར་》,གི།,,,,,
,211,1052,1,《པེ་》《སྣར་》,དེ།,,,,,
,,1053,2,《པེ་》《སྣར་》,ཞིག,,,,,
,,1054,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,1055,4,《པེ་》《སྣར་》,pདང་གྲང་བའི་རེག་པ།,,,,,
,,1056,5,《པེ་》《སྣར་》,པའི།,,,,,
,,1057,6,《པེ་》《སྣར་》,པའི།,,,,,
,212,1058,1,《པེ་》《སྣར་》,pཔ།,,,,,
,,1059,2,《པེ་》《སྣར་》,བྱེད་ཀྱི་ཕྱིར།,,,,,
,,1060,3,《པེ་》《སྣར་》,རིགས།,,,,,
,,1061,4,《པེ་》《སྣར་》,ལས།,,,,,
,,1062,5,《པེ་》《སྣར་》,mཔར།,,,,,
,213,1063,1,《པེ་》《སྣར་》,pལ།,,,,,
,,1064,2,《པེ་》《སྣར་》,ཟེར།,,,,,
,,1065,3,《པེ་》《སྣར་》,ན་དེ་རྣམས་ཀྱང་།,,,,,
,214,1066,1,《པེ་》《སྣར་》,གིས།,,,,,
,,1067,2,《པེ་》《སྣར་》,mཏེ།,,,,,
,,1068,3,《པེ་》《སྣར་》,pཔ།,,,,,
,215,1069,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,1070,2,《པེ་》《སྣར་》,ཐོང་།,,,,,
,,1071,3,《པེ་》《སྣར་》,mགི།,,,,,
,,1072,4,《པེ་》《སྣར་》,གཟུང་བའོ།,,,,,
,126,1073,1,《པེ་》《སྣར་》,པོ།,,,,,
,,1074,2,《པེ་》《སྣར་》,mཔ།,,,,,
,,1075,3,《པེ་》《སྣར་》,ཞིག,,,,,
,,1076,4,《པེ་》《སྣར་》,ནི།,,,,,
,,1077,5,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,1078,6,《པེ་》《སྣར་》,སྟེ།,,,,,
,217,1079,1,《པེ་》《སྣར་》,སྟེ།,,,,,
,,1080,2,《པེ་》《སྣར་》,རྩང་།,,,,,
,,1081,3,《པེ་》《སྣར་》,འོད།,,,,,
,,1082,4,《པེ་》《སྣར་》,བའི།,,,,,
,,1083,5,《པེ་》《སྣར་》,ལང་།,,,,,
,,1084,6,《པེ་》《སྣར་》,mསྤྱོད་པའི།,,,,,
,,1085,7,《པེ་》《སྣར་》,mཞིག,,,,,
,,1086,8,《པེ་》《སྣར་》,བརྒྱལ།,,,,,
,218,1087,1,《པེ་》《སྣར་》,སྟེ།,,,,,
,,1088,2,《པེ་》《སྣར་》,བརྒྱལ།,,,,,
,,1089,3,《པེ་》《སྣར་》,བསླང་།,,,,,
,,1090,4,《པེ་》《སྣར་》,pདེ།,,,,,
,,1091,5,《པེ་》《སྣར་》,བརླབས།,,,,,
,,1092,6,《པེ་》《སྣར་》,mལ།,,,,,
,,1093,7,《པེ་》《སྣར་》,mལ།,,,,,
,,1094,8,《པེ་》《སྣར་》,ཉན།,,,,,
,219,1095,1,《པེ་》《སྣར་》,ཕབ།,,,,,
,,1096,2,《པེ་》《སྣར་》,སྤྱོད།,,,,,
,,1097,3,《པེ་》《སྣར་》,mགི།,,,,,
,,1098,4,《པེ་》《སྣར་》,མེད།,,,,,
,,1099,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1100,6,《པེ་》《སྣར་》,སྤྲོས་པའི།,,,,,
,,1101,7,《པེ་》《སྣར་》,mཔ།,,,,,
,220,1102,1,《པེ་》《སྣར་》,དེ།,,,,,
,,1103,2,《པེ་》《སྣར་》,mབདག་བྱིན་གྱིས་བརླབ་པ་དང་།,,,,,
,,1104,3,《པེ་》《སྣར་》,ལས།,,,,,
,,1105,4,《པེ་》《སྣར་》,ནི།,,,,,
,,1106,5,《པེ་》《སྣར་》,mདང་།,,,,,
,,1107,6,《པེ་》《སྣར་》,གཟུགས་ནི།,,,,,
,,1108,7,《སྣར་》,མྱང་།,,,,,
,221,1109,1,《པེ་》《སྣར་》,པོ།,,,,,
,,1110,2,《པེ་》《སྣར་》,ད།,,,,,
,,1111,3,《པེ་》《སྣར་》,mདྲང་བ།,,,,,
,,1112,4,《པེ་》《སྣར་》,pལ།,,,,,
,,1113,5,《པེ་》《སྣར་》,དེས།,,,,,
,,1114,6,《པེ་》《སྣར་》,pནི།,,,,,
,,1115,7,《པེ་》《སྣར་》,དུ།,,,,,
,,1116,8,《པེ་》《སྣར་》,ནི།,,,,,
,,1117,9,《པེ་》《སྣར་》,pདུ།,,,,,
,222,1118,1,《པེ་》《སྣར་》,བརླབ།,,,,,
,,1119,2,《པེ་》《སྣར་》,པ།,,,,,
,,1120,3,《པེ་》《སྣར་》,སྐྱོད།,,,,,
,,1121,4,《པེ་》《སྣར་》,pདེ་བཞིན།,,,,,
,,1122,5,《པེ་》《སྣར་》,བུ།,,,,,
,,1123,6,《པེ་》《སྣར་》,བུ།,,,,,
,223,1124,1,《པེ་》《སྣར་》,སྤྱོད།,,,,,
,,1125,2,《པེ་》《སྣར་》,པ།,,,,,
,,1126,3,《པེ་》《སྣར་》,རློབ།,,,,,
,,1127,4,《པེ་》《སྣར་》,རབ།,,,,,
,,1128,5,《པེ་》《སྣར་》,མོ།,,,,,
,224,1129,1,《པེ་》《སྣར་》,pཿ,,,,,
,,1130,2,《པེ་》《སྣར་》,mདང་།,,,,,
,,1131,3,《པེ་》《སྣར་》,བསྒོམས།,,,,,
