མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,28,87,1,《པེ་》《སྣར་》,mདང་།,,,,,
,,88,2,《པེ་》《སྣར་》,mལ།,,,,,
,29,89,1,《པེ་》《སྣར་》,གྱིས།,,,,,
,,90,2,《པེ་》《སྣར་》,ཡེ་ཤེས།,,,,,
,,91,3,《པེ་》《སྣར་》,བསམ་སྟེ།,,,,,
,,92,4,《པེ་》《སྣར་》,བྱས།,,,,,
,,93,5,《པེ་》《སྣར་》,ཤེས།,,,,,
,,94,6,《པེ་》《སྣར་》,བསྡུད།,,,,,
,,95,7,《པེ་》《སྣར་》,pཀྱི།,,,,,
,,96,8,《པེ་》《སྣར་》,དང་།,,,,,
,,97,9,《པེ་》,mདང་།,,,,,
,,98,10,《པེ་》《སྣར་》,mལ།,,,,,
,,99,11,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,100,12,《པེ་》《སྣར་》,པ་ནི།,,,,,
,,101,13,《པེ་》《སྣར་》,ལས།,,,,,
,30,102,1,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,103,2,《པེ་》《སྣར་》,ཉིད།,,,,,
,,104,3,《པེ་》《སྣར་》,pདང་།,,,,,
,,105,4,《པེ་》《སྣར་》,ལས།,,,,,
,,106,5,《སྣར་》,བསྒོམ།,,,,,
,,107,6,《པེ་》《སྣར་》,བསྒོམས།,,,,,
,31,108,1,《པེ་》《སྣར་》,ཐོབ།,,,,,
,,109,2,《པེ་》《སྣར་》,མཁའ།,,,,,
,,110,3,《པེ་》《སྣར་》,ཉིད།,,,,,
,,111,4,《པེ་》《སྣར་》,མདུད།,,,,,
,32,112,1,《སྣར་》,བསླབ།,,,,,
,,113,2,《པེ་》《སྣར་》,གཙུགས།,,,,,
,,114,3,《པེ་》《སྣར་》,མ།,,,,,
,,115,4,《པེ་》《སྣར་》,པངྨའི།,,,,,
,,116,5,《པེ་》《སྣར་》,མོ།,,,,,
,,117,6,《པེ་》《སྣར་》,བྷོ།,,,,,
,,118,7,《པེ་》《སྣར་》,སྟངས།,,,,,
,,119,8,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,120,9,《པེ་》《སྣར་》,བུང་།,,,,,
,,121,10,《པེ་》《སྣར་》,གྱིས།,,,,,
,,122,11,《པེ་》《སྣར་》,ཟུངས།,,,,,
,,123,12,《པེ་》《སྣར་》,pསྐབས།,,,,,
,,124,13,《པེ་》《སྣར་》,གཞི།,,,,,
,33,125,1,《པེ་》《སྣར་》,ཟུངས།,,,,,
,,126,2,《པེ་》《སྣར་》,འགགས།,,,,,
,,127,3,《པེ་》《སྣར་》,པར་ཐོབ།,,,,,
,34,128,1,《པེ་》《སྣར་》,གྱིས།,,,,,
,,129,2,《པེ་》《སྣར་》,ལས།,,,,,
,,130,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,131,4,《པེ་》《སྣར་》,pལ།,,,,,
,,132,5,《པེ་》《སྣར་》,བརྩམས།,,,,,
,,133,6,《པེ་》《སྣར་》,mརྣམས།,,,,,
,35,134,1,《པེ་》《སྣར་》,སྐུ།,,,,,
,,135,2,《པེ་》《སྣར་》,གྱིས།,,,,,
,,136,3,《པེ་》《སྣར་》,བསྒོམས།,,,,,
,,137,4,《པེ་》《སྣར་》,pན།,,,,,
,,138,5,《པེ་》《སྣར་》,pརོ།།,,,,,
,,139,6,《པེ་》《སྣར་》,པ།,,,,,
,,140,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,36,141,1,《པེ་》《སྣར་》,འོག།,,,,,
,,142,2,《པེ་》《སྣར་》,པའི།,,,,,
,,143,3,《པེ་》《སྣར་》,བ།,,,,,
