མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ། ,1085,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》《སྣར་》༄༅། །དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,mནཱི།,
,,4,3,《པེ་》《སྣར་》,ནཾ།,
,,5,4,《པེ་》《སྣར་》,ལོས།,
,,6,5,《སྣར་》,mཿ།,
,,7,6,《པེ་》《སྣར་》,དེར།,
,,8,7,《པེ་》《སྣར་》,བསྒོམས།,
,,9,8,《པེ་》《སྣར་》,གྱི།,
,,10,9,《པེ་》《སྣར་》,དྷརྨ།,
,1086,11,1,《པེ་》,ཤུདྡྷོ་ཧཾ།,《སྣར་》,ཤུདྡྷ་ཧཾ།
,,12,2,《པེ་》《སྣར་》,བརྟན།,
,,13,3,《པེ་》《སྣར་》,ཨཏྨ་ཀོ་ཧཾ།,
,,14,4,《པེ་》《སྣར་》,m།། པཾ་ལས།,
,,15,5,《པེ་》《སྣར་》,བསྒོམས།,
,,16,6,《པེ་》《སྣར་》,བསམ་སྟེ།,
,,17,7,《པེ་》《སྣར་》,གྱི།,
,,18,8,《པེ་》《སྣར་》,བརླབ།,
,,19,9,《པེ་》,མོཿ།,《སྣར་》,མོཾཿ།
,,20,10,《སྣར་》,ཧྲི།,
,,21,11,《པེ་》《སྣར་》,བགོ་སྟེ།,
,,22,12,《པེ་》,ཝརྞ།,《སྣར་》,ཝེརྞ།
,,23,13,《པེ་》《སྣར་》,mཧཱུཾ།,
,,24,14,《པེ་》《སྣར་》,དང་།,
,,25,15,《པེ་》《སྣར་》,རྣམ།,
,,26,16,《པེ་》,སྐྱོད།,《སྣར་》,སྐྱེད།
,1087,27,1,《པེ་》《སྣར་》,ལ།,
,,28,2,《པེ་》《སྣར་》,རིས།,
