མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
བཅོམ་ལྡན་འདས་འཇམ་པའི་དབྱངས་ཀྱི་དཔྱད་བཞུགས་བསྟོད།,275,2,1,,མཚན་བྱང་འདི་《སྣར་》ལྟར་བཀོད་ཅིང་།  ཆོས་ཚན་འདི་《སྡེ་》《ཅོ་》ལ་མི་བཞུགས་པས་《པེ་》ལ་གཞིར་བཟུང་ནས་《སྣར་》དང་དཔེ་བསྡུར་བྱས་ཡོད།
,,3,2,《སྣར་》,པར།
,,4,3,《སྣར་》,སྙེད།
,,5,4,《སྣར་》,རིག
,,6,5,《སྣར་》,བཱེ་གཱི།
,,7,6,《སྣར་》,ཡི།
,,8,7,《སྣར་》,གཱི་ཤྭ་ར།
,,9,8,《སྣར་》,མཚོགས།
,,10,9,《སྣར་》,ཨཾ།
,276,11,1,《སྣར་》,ངོས།
,,12,2,《སྣར་》,ཐོག
,,13,3,《སྣར་》,ཡི།
,,14,4,《སྣར་》,ཡི་གོ་ཆས།
,,15,5,《སྣར་》,pས།
,,16,6,《སྣར་》,གྱིས།
,,17,7,《སྣར་》,དགོད།,
,277,18,1,《སྣར་》,པོར།,
,,19,2,《སྣར་》,གཞག,
,,20,3,《སྣར་》,མིག,
,,21,4,《སྣར་》,སྔགས།,
,,22,5,《སྣར་》,འདུ།,
,,23,6,《སྣར་》,འདི།,
,,24,7,《སྣར་》,ཀྱི།,
,,25,8,《སྣར་》,ཆའི།,
,,26,9,《སྣར་》,གསར།,
,,27,10,《སྣར་》,སྟན།,
,,28,11,《སྣར་》,mབྱ།,
,,29,12,《སྣར་》,pའོག,
,278,30,1,《སྣར་》,pགིས་རང་།,
,,31,2,《སྣར་》,ནས།,
,,32,3,《སྣར་》,སྨྲ་བས།,
,,33,4,《སྣར་》,ལས།,
,,34,5,《སྣར་》,གཞན།,
,,35,6,《སྣར་》,སྣང་།,
,279,36,1,《སྣར་》,བཟང་།,
,,37,2,《སྣར་》,གཞག,
,,38,3,《སྣར་》,གཞན།,
,,39,4,《སྣར་》,ཕྱེ།,
,,40,5,《སྣར་》,འབྱུང་།,
,,41,6,《སྣར་》,pབའི།,
,,42,7,《སྣར་》,ལོའི།,
,,43,8,《སྣར་》,པར།,
,,44,9,《སྣར་》,རང་ནི།,
,,45,10,《སྣར་》,ལས།,
,,46,11,《སྣར་》,མགུར།,
,,47,12,,མཚལ།,
,280,48,1,《སྣར་》,སྦྱང་།,
,,49,2,《སྣར་》,ཏག,
,,50,3,《སྣར་》,སར།,
,,51,4,《སྣར་》,པ།,
,,52,5,《སྣར་》,ནུ།,
,,53,6,《སྣར་》,ཡི།,
,,54,7,《སྣར་》,བྱ།,
,,55,8,《སྣར་》,པདྨའི།,
,,56,9,《སྣར་》,བདག,
,,57,10,《སྣར་》,པདྨའི།,
,281,58,1,《སྣར་》,བསྒྲུབས།,
,,59,2,《སྣར་》,pཔ་ལ།,
,,60,3,《སྣར་》,།།  །།,
,,61,4,《སྣར་》,མཚན།,
,,62,5,《སྣར་》,གྲུབ།,
,,63,6,《སྣར་》,ལུས།,
,,64,7,《སྣར་》,འདི།,
,282,65,1,《སྣར་》,ན།,
,,66,2,《སྣར་》,མཁའ།,
,,67,3,《སྣར་》,བཙོ།,
,,68,4,《སྣར་》,གཞག,
,,69,5,《སྣར་》,པ།,
,,70,6,《སྣར་》,བསྒྲུབ།,
,,71,7,《སྣར་》,བཀུས།,
,283,72,1,《སྣར་》,བདག,
,,73,2,《སྣར་》,གི།,
,,74,3,《སྣར་》,ཤཱུལ།,
,,75,4,《སྣར་》,བསྒྲུབ།,
,,76,5,《སྣར་》,ཕྱེ།,
,,77,6,《སྣར་》,ལ།,
,,78,7,《སྣར་》,ཡིད།,
,,79,8,《སྣར་》,pཔ།,
,,80,9,《སྣར་》,སོ།,
