མཚན་བྱང། ,ཤོག་གྲངས། ,1,མཆན་གྲངས།,དཔར་མ།,མཆན། ,
,218,2,1,《པེ་》《སྣར་》,པོ།,
,,3,2,《པེ་》《སྣར་》,རྡོམ།,
,,4,3,《པེ་》《སྣར་》,སྔོ་སྐྱ།,
,,5,4,《སྣར་》,མོ།,
,,6,5,《པེ་》《སྣར་》,སྐྱའོ། །,
,,7,6,《པེ་》《སྣར་》,གེ།,
,,8,7,《པེ་》《སྣར་》,mསྣ།,
,,9,8,《པེ་》《སྣར་》,ན།,
,,10,9,《པེ་》《སྣར་》,སོགས་སུ་དབུལ།,《ཅོ་》,སྐབས་སུ་འབུལ།
,,11,10,《པེ་》《སྣར་》,mས།,
,219,12,1,《པེ་》《སྣར་》,mཔོ།,
,,13,2,《པེ་》《སྣར་》,བསྲེག,
,,14,3,《པེ་》《སྣར་》,pཔའི་ནད།,
,,15,4,《པེ་》《སྣར་》,ན།,
,,16,5,《པེ་》《སྣར་》,ན།,
,,17,6,《པེ་》《སྣར་》,སྦུ།,
,,18,7,《པེ་》《སྣར་》,རྩེ།,
,,19,8,《པེ་》《སྣར་》,བཅུ།,
,,20,9,《པེ་》《སྣར་》,འུན།,
,,21,10,《པེ་》《སྣར་》,ན།,
,,22,11,《པེ་》《སྣར་》,pཀླུ་ཡི་ཀླད་ནད་སོགས་གྱུར་ཅིག།,
,,23,12,《པེ་》《སྣར་》,ཀློ།,
,,24,13,《པེ་》《སྣར་》,ན་ག་སྦུས།,
,,25,14,《པེ་》《སྣར་》,སྦུ།,
,,26,15,《པེ་》《སྣར་》,སྦུ།,
,,27,16,《པེ་》《སྣར་》,རྩེ།,
,,28,17,《པེ་》《སྣར་》,སྐྲངས།,
,,29,18,《པེ་》《སྣར་》,ཀཎྚ།,
,220,30,1,《པེ་》《སྣར་》,བཅུ།,
,,31,2,《པེ་》《སྣར་》,སྐྲག,
,,32,3,《པེ་》《སྣར་》,དབུལ།,
,,33,4,《པེ་》《སྣར་》,ཧཱུཾ་ན།,
,,34,5,《པེ་》《སྣར་》,ན།,
,,35,6,《པེ་》《སྣར་》,ཕྱུངས།,
,,36,7,《པེ་》《སྣར་》,ཕྱུངས།,
,,37,8,《པེ་》《སྣར་》,ཕྱུངས།,
,,38,9,《པེ་》《སྣར་》,བྱུང་།,
,221,39,1,《པེ་》《སྣར་》,གཞུག་ཏུ་སྨག,
,,40,2,《པེ་》《སྣར་》,བཏང་།,
,,41,3,《པེ་》《སྣར་》,བཏང་།,
,,42,4,《པེ་》《སྣར་》,བཟློས།,
,,43,5,《པེ་》《སྣར་》,mགོ།,
,,44,6,《པེ་》《སྣར་》,རྗེས།,
