       མཚན་བྱང་།,        ཤོག་གྲངས།,1,     མཆན་གྲངས།,        པར་མ།,                                    མཚན།
གྲུབ་མཐའ་བདུན་པ།,937,2,1,,མཚན་བྱང་འདི་《པེ་》ལྟར་བཀོད་ཅིང་། ཆོས་ཚན་འདི་《སྡེ》《ཅོ》ལ་མི་བཞུགས་པས་《པེ་》ལ་གཞིར་བཟུང་ནས་《སྣར་》དང་དཔེ་བསྡུར་བྱས་ཡོད། 
,,3,2,《སྣར་》,པདྨ།
