མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།,228,2,1,,མཚན་བྱང་འདི་《པེ་》《སྣར་》ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,བ།
,229,4,1,《པེ་》,གཟུངས།
,,5,2,《པེ་》《སྣར་》,བལྟོས།
,,6,3,《པེ་》《སྣར་》,བལྟོས
,,7,4,《པེ་》《སྣར་》,བལྟོས
,230,8,1,《པེ་》,ལྟག
,,9,2,《པེ་》《སྣར་》,འམ།
,,10,3,《པེ་》《སྣར་》,pབ།
,,11,4,《པེ་》《སྣར་》,mབ།
,,12,5,《པེ་》《སྣར་》,བཟོད།
,231,13,1,《པེ་》《སྣར་》,གསུང་།
,,14,2,《པེ་》《སྣར་》,གཅིག་ཀྱང་།
,,15,3,《པེ་》《སྣར་》,བཞི།
,,16,4,《པེ་》《སྣར་》,བསླུ།
,232,17,1,《པེ་》《སྣར་》,གྱིས།,
,,18,2,《པེ་》《སྣར་》,བཏགས།,
,,19,3,《པེ་》《སྣར་》,འཇིགས།,
,,20,4,《པེ་》《སྣར་》,ཀྱི།,
,233,21,1,《པེ་》《སྣར་》,བརྡུང་།,
,,22,2,《པེ་》《སྣར་》,དགྲ།,
,,23,3,《པེ་》《སྣར་》,ཀྱི་ནི།,
