མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,97,9,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,485,98,1,《པེ་》《སྣར་》,ནང་།,,,,,,
,,99,2,《སྣར་》,གིས།,,,,,,
,,100,3,《པེ་》《སྣར་》,བདག,,,,,,
,,101,4,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,102,5,《པེ་》《སྣར་》,པོའི།,,,,,,
,486,103,1,《སྣར་》,པས།,,,,,,
,,104,2,《པེ་》《སྣར་》,ནི།,,,,,,
,,105,3,《པེ་》《སྣར་》,པ།,,,,,,
,,106,4,《པེ་》《སྣར་》,ཀྱང་།,,,,,,
,,107,5,《པེ་》《སྣར་》,ནི།,,,,,,
,,108,6,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,,109,7,《པེ་》《སྣར་》,ཡི།,,,,,,
,,110,8,《པེ་》《སྣར་》,པ།,,,,,,
,,111,9,《པེ་》《སྣར་》,ནི།,,,,,,
,487,112,1,《པེ་》《སྣར་》,དེས།,,,,,,
,,113,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,114,3,《པེ་》《སྣར་》,ནི།,,,,,,
,,115,4,《པེ་》《སྣར་》,མི།,,,,,,
,488,116,1,《པེ་》《སྣར་》,པ།,,,,,,
,,117,2,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,118,3,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,119,4,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,120,5,《སྣར་》,ཡིས།,,,,,,
,489,121,1,《པེ་》《སྣར་》,ལྡོག,,,,,,
,,122,2,《པེ་》,ཟློག་སྟེ།,《སྣར་》,ཟློགས་ཏེ།,,,,,
,,123,3,《པེ་》《སྣར་》,བུ།,,,,,,
,490,124,1,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,125,2,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,126,3,《པེ་》,འདྲེས།,,,,,,
,,127,4,《པེ་》《སྣར་》,པར།,,,,,,
,,128,5,《པེ་》《སྣར་》,པ།,,,,,,
,,129,6,《པེ་》《སྣར་》,ནི།,,,,,,
,,130,7,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,131,8,《པེ་》《སྣར་》,ཡི།,,,,,,
,,132,9,《པེ་》《སྣར་》,སྣ།,,,,,,
,,133,10,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,134,11,《པེ་》《སྣར་》,བསལ།,,,,,,
,,135,12,《པེ་》《སྣར་》,གི།,,,,,,
,,136,13,《པེ་》《སྣར་》,པོ།,,,,,,
,491,137,1,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,138,2,《པེ་》《སྣར་》,དུས།,,,,,,
,,139,3,《པེ་》《སྣར་》,ན།,,,,,,
,492,140,1,《པེ་》《སྣར་》,ནའང་།,,,,,,
,,141,2,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,142,3,《པེ་》《སྣར་》,ཐོས།,,,,,,
,,143,4,《པེ་》《སྣར་》,ཅིས།,,,,,,
,,144,5,《པེ་》《སྣར་》,ནའང་།,,,,,,
,,145,6,《པེ་》《སྣར་》,བླ།,,,,,,
,,146,7,《པེ་》《སྣར་》,བཞིན།,,,,,,
,,147,8,《པེ་》《སྣར་》,དེ།,,,,,,
,,148,9,《པེ་》《སྣར་》,ན།,,,,,,
,493,149,1,《པེ་》《སྣར་》,བསལ་བ་བསལ།,,,,,,
,,150,2,《སྣར་》,pབ།,,,,,,
,,151,3,《པེ་》《སྣར་》,རང་།,,,,,,
,,152,4,《པེ་》《སྣར་》,བསལ།,,,,,,
,,153,5,《པེ་》《སྣར་》,ཡི།,,,,,,
,494,154,1,《སྣར་》,ལྟར།,,,,,,
,,155,2,《པེ་》《སྣར་》,གསད།,,,,,,
,,156,3,《པེ་》《སྣར་》,ག,,,,,,
,,157,4,《པེ་》《སྣར་》,པར།,,,,,,
,,158,5,《པེ་》《སྣར་》,མཐུངས།,,,,,,
,,159,6,《པེ་》《སྣར་》,འདིར།,,,,,,
,,160,7,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,161,8,《པེ་》《སྣར་》,འབེལ།,,,,,,
,,162,9,《པེ་》《སྣར་》,ཀྱང་།,,,,,,
,,163,10,《སྣར་》,སྐྱེས།,,,,,,
,495,164,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,165,2,《པེ་》《སྣར་》,སྐྱེས།,,,,,,
,,166,3,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,167,4,《པེ་》《སྣར་》,ཕྱོགས་མཐུན་གྱུར།,,,,,,
,,168,5,《པེ་》《སྣར་》,ལ།,,,,,,
,,169,6,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,496,170,1,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,171,2,《པེ་》《སྣར་》,བསལ།,,,,,,
,,172,3,《སྣར་》,གྱུར།,,,,,,
,,173,4,《སྣར་》,གིས།,,,,,,
,,174,5,《པེ་》《སྣར་》,ནི།,,,,,,
,,175,6,《པེ་》《སྣར་》,པས།,,,,,,
,,176,7,《པེ་》《སྣར་》,དེས་སྐྱེས།,,,,,,
,,177,8,《པེ་》,ཡི།,,,,,,
,,178,9,《པེ་》《སྣར་》,ཉིད་ཀྱི།,,,,,,
,,179,10,《པེ་》《སྣར་》,ལ།,,,,,,
,497,180,1,《པེ་》《སྣར་》,བུའི།,,,,,,
