མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
ལྷ་ཆེན་པོ་གསུམ་གྱི་སྒྲུབ་ཐབས།,879,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》 ༅། ལྷ་ཆེན་པོ་གསུམ་གྱི་བསྒྲུབ་ཐབས་སོ།།
,,3,2,《པེ་》,བཀྲིས།།
,880,4,1,《པེ་》,ཨེ་ཀ་པྲྀཙྪ། མངྒ་ལཾ།།
