མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,
,,486,2,《པེ་》《སྣར་》,pཀྱི།,,
,386,487,1,《པེ་》,ཆོས་ལས།, 《སྣར་》,མཆོས་ལས།,
,,488,2,《པེ་》《སྣར་》,mམི།,,
,,489,3,《སྣར་》,བརྟག,,
,,490,4,《པེ་》《སྣར་》,mདོན་དུ།,,
,387,491,1,《པེ་》《སྣར་》,གང་གི།,,
,,492,2,《སྣར་》,བ།,,
,,493,3,《པེ་》《སྣར་》,གང་།,,
,,494,4,《པེ་》《སྣར་》,བལྟོས།,,
,,495,5,《པེ་》《སྣར་》,pཉིད།,,
,,496,6,《པེ་》《སྣར་》,བར།,,
,388,497,1,《པེ་》《སྣར་》,mམ།,,
,,498,2,《པེ་》《སྣར་》,pདུ།,,
,,499,3,《པེ་》《སྣར་》,པ།,,
,,500,4,《པེ་》《སྣར་》,བཅས།,,
,,501,5,《པེ་》《སྣར་》,གྲུབ།,,
,,502,6,《པེ་》《སྣར་》,གི།,,
,,503,7,《པེ་》《སྣར་》,མ།,,
,,504,8,《པེ་》《སྣར་》,pདུ་ཏུ།,,
,389,505,1,《པེ་》《སྣར་》,ཏེ།,,
,,506,2,《སྣར་》,ན།,,
,,507,3,《པེ་》《སྣར་》,བ།,,
,390,508,1,《པེ་》《སྣར་》,མ།,,
,,509,2,《པེ་》《སྣར་》,བ།,,
,,510,3,《སྣར་》,བསྟེན།,,
,,511,4,《པེ་》《སྣར་》,བྱུང་།,,
,,512,5,《པེ་》《སྣར་》,བསམས།,,
,,513,6,《པེ་》《སྣར་》,mདེ།,,
,391,514,1,《པེ་》,mརོ།,,
,,515,2,《པེ་》《སྣར་》,ཀྱིས།,,
,,516,3,《པེ་》,mཔ།,,
,,517,4,《པེ་》《སྣར་》,པས།,,
,392,518,1,《པེ་》《སྣར་》,བསྒྱུར།,,
,,519,2,《པེ་》《སྣར་》《ཅོ་》,ནི།,,
,,520,3,《པེ་》《སྣར་》,pདུ།,,
,,521,4,《པེ་》《སྣར་》,mརྣམ་པ།,,
,,522,5,《པེ་》《སྣར་》,ཆ།,,
,,523,6,《པེ་》《སྣར་》,ཇི།,,
,,524,7,《པེ་》《སྣར་》,པར།,,
,,525,8,《པེ་》《སྣར་》,ཀྱི།,,
,,526,9,《པེ་》《སྣར་》,pདུ།,,
,,527,10,《པེ་》《སྣར་》,བརླན།,,
,,528,11,《པེ་》《སྣར་》,བརླན།,,
,,529,12,《པེ་》《སྣར་》,ལྟ།,,
,393,530,1,《པེ་》《སྣར་》,ལ།,,
,,531,2,《པེ་》《སྣར་》,པ།,,
,,532,3,《པེ་》《སྣར་》,སྤྱད།,,
,,533,4,《པེ་》《སྣར་》,ཅའི།,,
,,534,5,《པེ་》《སྣར་》,པའོ།,,
,394,535,1,《པེ་》《སྣར་》,བུ་ཞེས།,,
,,536,2,《པེ་》《སྣར་》,པའི།,,
,,537,3,《པེ་》《སྣར་》,འདྲའོ།,,
,,538,4,《པེ་》《སྣར་》,པ།,,
,,539,5,《པེ་》《སྣར་》,མ།,,
,,540,6,《པེ་》《སྣར་》,མ།,,
,,541,7,《པེ་》《སྣར་》,ལ།,,
,,542,8,《པེ་》《སྣར་》,mམ།,,
,395,543,1,《སྣར་》,དགོང་པ།,,
,,544,2,《པེ་》《སྣར་》,འབྲེལ།,,
,,545,3,《ཅོ་》,འབྱུང་།,,
,,546,4,《པེ་》《སྣར་》,ན།,,
,396,547,1,《པེ་》《སྣར་》,pགི།,,
,,548,2,《པེ་》《སྣར་》,དེའི།,,
,,549,3,《པེ་》《སྣར་》,mཕྱིར།,,
,,550,4,《པེ་》《སྣར་》,དོ།,,
,,551,5,《པེ་》《སྣར་》,བཟུང་།,,
,,552,6,《པེ་》《སྣར་》,mཔ།,,
,,553,7,《པེ་》《སྣར་》,གྱི།,,
,,554,8,《པེ་》《སྣར་》,བརྟེན།,,
,397,555,1,《པེ་》,སྙོམས།,,
,,556,2,《པེ་》《སྣར་》,ཐམས་ཅད།,,
,,557,3,《པེ་》《སྣར་》,བ་དེས།,,
,,558,4,《པེ་》《སྣར་》,འཐོབ།,,
,,559,5,《པེ་》《སྣར་》,ན།,,
,,560,6,《པེ་》《སྣར་》,mཔ་ཎ།,,
,,561,7,《པེ་》《སྣར་》,བསྒྱུར།,,
,,562,8,《པེ་》《སྣར་》,ན།,,
,,563,9,《པེ་》《སྣར་》,ན།,,
,,564,10,《པེ་》《སྣར་》,mཁོང་།,,
,,565,11,《པེ་》《སྣར་》,གིས།,,
,,566,12,《པེ་》《སྣར་》,mམི།,,
,,567,13,《པེ་》《སྣར་》,བྱིས།,,
,,568,14,《པེ་》《སྣར་》,mལ།,,
,398,569,1,《པེ་》《སྣར་》,གསུང་།,,
,,570,2,《པེ་》《སྣར་》,སྒོམ།,,
,,571,3,《པེ་》《སྣར་》,གང་།,,
,,572,4,《པེ་》《སྣར་》,ཀྱི།,,
,,573,5,《པེ་》《སྣར་》,གཞུག,,
,,574,6,《པེ་》《སྣར་》,གཞུག,,
,,575,7,《པེ་》《སྣར་》,mལ།,,
,,576,8,《པེ་》《སྣར་》,གཞུག,,
,,577,9,《པེ་》《སྣར་》,ལྡེམ།,,
,,578,10,《པེ་》《སྣར་》《ཅོ་》,ཀྱི།,,
,,579,11,《པེ་》《སྣར་》,mཔ།,,
,399,580,1,《པེ་》《སྣར་》,mཔོ་མེད།,,
,,581,2,《པེ་》,ན།,,
,,582,3,《པེ་》《སྣར་》,mནི།,,
,,583,4,《སྣར་》,ཀྱིས།,,
,400,584,1,《པེ་》《སྣར་》,མེད་པ་དང་ཡོད་པར།,,
,,585,2,《པེ་》《སྣར་》,mམ།,,
,,586,3,《པེ་》《སྣར་》,དེའི།,,
,,587,4,《པེ་》《སྣར་》,mགི།,,
,401,588,1,《པེ་》《སྣར་》,གཉིས།,,
,,589,2,《པེ་》《སྣར་》,པ།,,
,,590,3,《པེ་》《སྣར་》,ཀྱིས།,,
,,591,4,《པེ་》《སྣར་》,བསྒོམས།,,
,,592,5,《པེ་》《སྣར་》,pསྐྱེས་པའི་ཕྱིར་འཇིག་རྟེན་དུ།,,
,402,593,1,《པེ་》《སྣར་》,mཐ།,,
,,594,2,《པེ་》《སྣར་》,mཞེས་བྱ་བ།,,
,,595,3,《པེ་》《སྣར་》,mལས།,,
,,596,4,《པེ་》《སྣར་》,ཀྱི།,,
,,597,5,《སྣར་》,pཆོས།,,
,,598,6,《པེ་》《སྣར་》,ཀྱི།,,
,,599,7,《པེ་》《སྣར་》,mབ།,,
,,600,8,《པེ་》,pམ།,,
,,601,9,《པེ་》《སྣར་》,སྐུ།,,
,,602,10,《པེ་》《སྣར་》,དབྱིངས།,,
,,603,11,《པེ་》《སྣར་》,མཁས་ཀྱི།,,
,,604,12,《པེ་》《སྣར་》,pཀྱི།,,
,403,605,1,《པེ་》《སྣར་》,བར།,,
,,606,2,《པེ་》《སྣར་》,mལ།,,
,,607,3,《པེ་》《སྣར་》,ཅིའི་ཕྱིར།,,
,,608,4,《པེ་》《སྣར་》,གདགས།,,
,,609,5,《པེ་》《སྣར་》,mམ་ཡིན་པ།,,
,,610,6,《པེ་》《སྣར་》,བ།,,
,,611,7,《པེ་》,mཐ།,,
,,612,8,《པེ་》《སྣར་》,འཕྲོས།,,
,404,613,1,《པེ་》《སྣར་》,བ།,,
,,614,2,《པེ་》《སྣར་》,འགྱུར།,,
,,615,3,《པེ་》《སྣར་》,པའི།,,
,,616,4,《པེ་》《སྣར་》,ཀྱིས།,,
,,617,5,《པེ་》《སྣར་》,pགྱི་སྡུག་བསྔལ།,,
,,618,6,《པེ་》《སྣར་》,སྒྲུབ་པ།,,
,,619,7,《པེ་》《སྣར་》,སྒྲུབ།,,
,,620,8,《པེ་》《སྣར་》,སྐྱོ།,,
,,621,9,《པེ་》《སྣར་》,དོན།,,
,405,622,1,《པེ་》《སྣར་》,mགྱིས།,,
,,623,2,《པེ་》《སྣར་》,བའི།,,
,,624,3,《པེ་》《སྣར་》,ཀྱི།,,
,,625,4,《པེ་》《སྣར་》,mལ།,,
,,626,5,《སྣར་》,བཏོང་།,,
,,627,6,《པེ་》《སྣར་》,བསླང་།,,
,,628,7,《སྣར་》,ལས།,,
,,629,8,《སྣར་》,བཟུང་།,,
,,630,9,《པེ་》《སྣར་》,བའོ།,,
,,631,10,《པེ་》《སྣར་》,བསྡུད།,,
,,632,11,《པེ་》《སྣར་》,ཅིག,,
,406,633,1,《པེ་》《སྣར་》,།། །།,,
,,634,2,《པེ་》,རྟོན།,,
,,635,3,《པེ་》《སྣར་》,mདུ།,,
,,636,4,《པེ་》《སྣར་》,ཏུ།,,
,,637,5,《པེ་》《སྣར་》,རྟོན།,,
,407,638,1,《པེ་》《སྣར་》,pདང་།,,
,,639,2,《པེ་》《སྣར་》,བསྐྱེད།,,
,,640,3,《ཅོ་》,སྦྱོར།,,
,,641,4,《པེ་》《སྣར་》,དཔས།,,
,,642,5,《པེ་》《སྣར་》,གཅོད།,,
,,643,6,《པེ་》,བདུན།,,
,,644,7,《སྣར་》,ཀྱི།,,
,,645,8,《པེ་》《སྣར་》,དཔའ།,,
,,646,9,《པེ་》《སྣར་》,འཐོབ།,,
,408,647,1,《པེ་》《སྣར་》,pཐམས་ཅད།,,
,,648,2,《པེ་》《སྣར་》,mམི།,,
,,649,3,《པེ་》《སྣར་》,pངོ་།,,
,,650,4,《པེ་》,པ།,,
,,651,5,《པེ་》《སྣར་》,mརྣམ།,,
,,652,6,《པེ་》,བཟུང་།,,
,,653,7,《པེ་》,བཟུང་།,,
,,654,8,《སྣར་》,ཀྱིས།,,
,,655,9,《པེ་》《སྣར་》,བཟུང་།,,
,,656,10,《པེ་》《སྣར་》,བསམས།,,
,409,657,1,《པེ་》《སྣར་》,རྟེན།,,
,,658,2,《པེ་》《སྣར་》,སྦྱོར།,,
,,659,3,《པེ་》《སྣར་》,བསྡུས།,,
,,660,4,《པེ་》《སྣར་》,དོན།,,
,,661,5,《པེ་》《སྣར་》,pཡི་གེ།,,
,410,662,1,《པེ་》《སྣར་》,ཀྱིས།,,
,,663,2,《པེ་》《སྣར་》,གི།,,
,,664,3,《པེ་》《སྣར་》,mནི།,,
,,665,4,《པེ་》《སྣར་》,གིས།,,
,,666,5,《པེ་》《སྣར་》,mཔས།,,
,,667,6,《པེ་》《སྣར་》,པའི།,,
,,668,7,《པེ་》《སྣར་》,pཤེས་པར།,,
,411,669,1,《སྣར་》,བཟུང་།,,
,,670,2,《པེ་》《སྣར་》,pནོ།,,
,,671,3,《པེ་》《སྣར་》,བསྒོམས།,,
,,672,4,《པེ་》《སྣར་》,བོ།,,
,,673,5,《པེ་》《སྣར་》,བས།,,
,,674,6,《པེ་》《སྣར་》,pཡང་།,,
,,675,7,《པེ་》《སྣར་》,སྟེ།,,
,,676,8,《པེ་》《སྣར་》,བས།,,
,,677,9,《པེ་》《སྣར་》,གཟུང་།,,
,,678,10,《པེ་》《སྣར་》,པ།,,
,,679,11,《པེ་》《སྣར་》,པས།,,
,412,680,1,《པེ་》《སྣར་》,གིས།,,
,,681,2,《པེ་》《སྣར་》,mགང་།,,
,,682,3,《པེ་》《སྣར་》,mལ།,,
,,683,4,《པེ་》《སྣར་》,mདག,,
,,684,5,《པེ་》《སྣར་》,mརོ།,,
,,685,6,《སྣར་》,བསྒོམས།,,
,,686,7,《པེ་》《སྣར་》,བསྒོམ།,,
,,687,8,《པེ་》《སྣར་》,རྟོགས།,,
,413,688,1,《པེ་》《སྣར་》,ཀྱིས།,,
,,689,2,《པེ་》《སྣར་》,བསྐྱེད།,,
,,690,3,《པེ་》《སྣར་》,ཡོད།,,
,,691,4,《པེ་》《སྣར་》,བརྟན།,,
,,692,5,《པེ་》《སྣར་》,གོང་།,,
,,693,6,《པེ་》《སྣར་》,mདེ།,,
,,694,7,《པེ་》《སྣར་》,ཀྱི།,,
,414,695,1,《པེ་》《སྣར་》,གཡེངས་པའི།,,
,,696,2,《པེ་》,mབྱེད་པ།,,
,,697,3,《པེ་》《སྣར་》,བརྟན།,,
,,698,4,《པེ་》《སྣར་》,pཔ།,,
,,699,5,《པེ་》,གཞི།,,
,,700,6,《པེ་》《སྣར་》,བྱ་བ།,,
,415,701,1,《པེ་》《སྣར་》,འགྱུར།,,
,,702,2,《པེ་》《སྣར་》,ལྟ།,,
,,703,3,《པེ་》《སྣར་》,mནི།,,
,416,704,1,《པེ་》《སྣར་》,བྲིས།,,
,,705,2,《པེ་》《སྣར་》,རྒྱུར།,,
,,706,3,《པེ་》《སྣར་》,mདུ།,,
,,707,4,《པེ་》《སྣར་》,ཐག་པའི་དཔེས་བསྟན་ཏོ།,,
,,708,5,《པེ་》《སྣར་》,གཟུང་།,,
,417,709,1,《སྣར་》,བྱ།,,
,,710,2,《པེ་》《སྣར་》,པར།,,
,,711,3,《པེ་》《སྣར་》,བས།,,
,,712,4,《པེ་》《སྣར་》,mམིང་ནི།,,
,,713,5,《པེ་》《སྣར་》,pཡང་།,,
,418,714,1,《པེ་》《སྣར་》,mརྒྱུན།,,
,,715,2,《སྣར་》,དཔའོ།,,
,,716,3,《སྣར་》,mདཔའ།,,
,,717,4,《པེ་》《སྣར་》,བྱ་ན།,,
,,718,5,《པེ་》《སྣར་》,སྒྲུབ།,,
,419,719,1,《པེ་》《སྣར་》,པ།,,
,,720,2,《པེ་》,བར།,,
,,721,3,《སྣར་》,རྒྱ།,,
,,722,4,《པེ་》,རིགས།,,
,,723,5,《པེ་》《སྣར་》,pལས།,,
,420,724,1,《པེ་》《སྣར་》,ནི།,,
,,725,2,《པེ་》《སྣར་》,བརྟགས།,,
,,726,3,《པེ་》《སྣར་》,གཉིས།,,
,,727,4,《པེ་》《སྣར་》,བརྟགས་པའི་ངོ་བོ་དང་བརྟགས།,,
,,728,5,《པེ་》《སྣར་》,mཔ།,,
,,729,6,《པེ་》,mངོ་བོར་བརྟགས་པ་དང་།,,
,,730,7,《པེ་》《སྣར་》,རྟོག,,
,,731,8,《པེ་》《སྣར་》,བརྟགས།,,
,,732,9,《པེ་》《སྣར་》,pཡང་།,,
,421,733,1,《པེ་》,དུ་མཐོང་།, 《སྣར་》,དུས་ཐོང་།,
,,734,2,《པེ་》《སྣར་》,ཞུགས།,,
,,735,3,《པེ་》《སྣར་》,mཉིད།,,
,,736,4,《སྣར་》,འང་།,,
,,737,5,《པེ་》《སྣར་》,གི།,,
,,738,6,《པེ་》《སྣར་》,གིས།,,
,,739,7,《པེ་》,བཟུང་།,,
,,740,8,《པེ་》《སྣར་》,ནི།,,
,422,741,1,《པེ་》《སྣར་》,རྫོགས།,,
,,742,2,《པེ་》《སྣར་》,mལ།,,
,,743,3,《པེ་》《སྣར་》,ཐམས་ཅད།,,
,,744,4,《པེ་》,pགི།, 《སྣར་》,ག།,
,,745,5,《པེ་》《སྣར་》,གྱི།,,
,423,746,1,《པེ་》《སྣར་》,ལས།,,
,,747,2,《པེ་》《སྣར་》,mཔ།,,
,,748,3,《པེ་》《སྣར་》,pནི།,,
,,749,4,《པེ་》《སྣར་》,ཀྱིས།,,
,,750,5,《པེ་》《སྣར་》,དེས།,,
,,751,6,《པེ་》《སྣར་》,བསྟན།,,
,424,752,1,《པེ་》《སྣར་》,ཀྱི།,,
,,753,2,《སྣར་》,pཔ།,,
,,754,3,《པེ་》《སྣར་》,པའི།,,
,,755,4,《པེ་》《སྣར་》,བས།,,
,,756,5,《པེ་》《སྣར་》,བས།,,
,,757,6,《པེ་》《སྣར་》,ཤིག,,
,,758,7,《པེ་》《སྣར་》,mདག,,
,425,759,1,《སྣར་》,རྫོག,,
,,760,2,《པེ་》《སྣར་》,གཟོད།,,
,,761,3,《སྣར་》,གཟོད།,,
,,762,4,《པེ་》《སྣར་》,ཟབ།,,
,,763,5,《སྣར་》,བརྟགས།,,
,,764,6,《པེ་》《སྣར་》,ལོགས།,,
,,765,7,《པེ་》《སྣར་》,སྟན།,,
,,766,8,《སྣར་》,ཕྱུ།,,
,426,767,1,《པེ་》《སྣར་》,པ།,,
,,768,2,《པེ་》《སྣར་》,སླའོ།,,
,,769,3,《པེ་》《སྣར་》,གིས།,,
,,770,4,《པེ་》《སྣར་》,སླའོ།,,
,,771,5,《པེ་》《སྣར་》,བའོ།,,
,427,772,1,《པེ་》《སྣར་》,དེ།,,
,,773,2,《པེ་》《སྣར་》,mཔ།,,
,,774,3,《སྣར་》,mརོ།,,
,,775,4,《པེ་》《སྣར་》,གཟུང་།,,
,,776,5,《པེ་》《སྣར་》,mཔ།,,
,428,777,1,《པེ་》《སྣར་》,ལས།,,
,,778,2,《པེ་》《སྣར་》,འཁོན།,,
,,779,3,《པེ་》《སྣར་》,pལ།,,
,,780,4,《པེ་》《སྣར་》,pསྦྱོར།,,
,,781,5,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,782,6,《པེ་》《སྣར་》,mརྣམས།,,
,,783,7,《པེ་》《སྣར་》,བསྒྲུབ།,,
,429,784,1,《སྣར་》,གིས།,,
,,785,2,《པེ་》《སྣར་》,བར།,,
,,786,3,《པེ་》,mཔ།,,
,,787,4,《པེ་》《སྣར་》,ཆེ་བ།,,
,,788,5,《པེ་》《སྣར་》,pདུ།,,
,430,789,1,《པེ་》《སྣར་》,mཁྲོ་བ།,,
,,790,2,《པེ་》,མཁོ་བ།, 《སྣར་》,ཁོ་བ།,
,,791,3,《པེ་》《སྣར་》,རྟོག,,
,,792,4,《པེ་》《སྣར་》,བརྟགས།,,
,,793,5,《པེ་》《སྣར་》,pཉིད།,,
,,794,6,《པེ་》《སྣར་》,ཇི།,,
,,795,7,《པེ་》《སྣར་》,ཀྱི།,,
,,796,8,《པེ་》《སྣར་》,mཔ།,,
,431,797,1,《སྣར་》,བདག,,
,,798,2,《པེ་》,འཁྲུག,,
,,799,3,《པེ་》《སྣར་》,བསྟན།,,
,,800,4,《པེ་》《སྣར་》,བཟུང་།,,
,,801,5,《པེ་》《སྣར་》,mནི།,,
,,802,6,《པེ་》《སྣར་》,སྒྲུབ།,,
,,803,7,《སྣར་》,བསྡུད།,,
,432,804,1,《སྣར་》,གིས།,,
,,805,2,《པེ་》《སྣར་》,mཔ།,,
,,806,3,《པེ་》,mལོག་པ།,,
,,807,4,《པེ་》《སྣར་》,པའི།,,
,433,808,1,《པེ་》,ནི།,,
,,809,2,《པེ་》《སྣར་》,ན།,,
,,810,3,《སྣར་》,རྣམས།,,
,,811,4,《པེ་》《སྣར་》,དེ་ལས།,,
,,812,5,《པེ་》《སྣར་》,བཅུའོ།,,
,,813,6,《པེ་》《སྣར་》,mས།,,
,,814,7,《པེ་》《སྣར་》,བུལ།,,
,,815,8,《པེ་》《སྣར་》,བསམ།,,
,,816,9,《པེ་》《སྣར་》,དང་།,,
,434,817,1,《པེ་》《སྣར་》,པ།,,
,,818,2,《པེ་》《སྣར་》,mམེད་པ།,,
,,819,3,《པེ་》《སྣར་》,མངོན།,,
,,820,4,《པེ་》《སྣར་》,pཔ་མེད།,,
,,821,5,《པེ་》《སྣར་》,གང་།,,
,,822,6,《པེ་》《སྣར་》,པོས།,,
,,823,7,《པེ་》《སྣར་》,ལ།,,
,,824,8,《པེ་》,རྒྱུད།, 《སྣར་》,བརྒྱུད།,
,435,825,1,《པེ་》《སྣར་》,གིས།,,
,,826,2,《པེ་》,ཀྱིས།,,
,,827,3,《པེ་》《སྣར་》,འགྱུར།,,
,,828,4,《པེ་》《སྣར་》,དེ་ལ།,,
,,829,5,《པེ་》《སྣར་》,པས།,,
,,830,6,《པེ་》《སྣར་》,སྒྲུབ།,,
,,831,7,《པེ་》《སྣར་》,mམངོན་པར།,,
,,832,8,《པེ་》《སྣར་》,སྒྲུབ།,,
,,833,9,《པེ་》《སྣར་》,pས་གཉིས་པ་ལ།,,
,,834,10,《པེ་》《སྣར་》,གྱིས།,,
,436,835,1,《པེ་》《སྣར་》,གྱིས།,,
,,836,2,《པེ་》《སྣར་》,པ།,,
,,837,3,《པེ་》《སྣར་》,བསྲེག,,
,,838,4,《སྣར་》,mསོ།,,
,,839,5,《པེ་》《སྣར་》,པ།,,
,,840,6,《པེ་》《སྣར་》,གཉི་ག,,
,,841,7,《པེ་》《སྣར་》,mདེ།,,
,,842,8,《པེ་》《སྣར་》,mལ།,,
,,843,9,《སྣར་》,མདུན།,,
,,844,10,《པེ་》《སྣར་》,གྱུར་པ།,,
,437,845,1,《པེ་》《སྣར་》,ཐམས་ཅད།,,
,,846,2,《པེ་》《སྣར་》,mཔ།,,
,,847,3,《པེ་》《སྣར་》,གྱི།,,
,,848,4,《པེ་》《སྣར་》,པས།,,
,,849,5,《པེ་》《སྣར་》,བསྒོམས།,,
,,850,6,《པེ་》《སྣར་》,mས།,,
,438,851,1,《པེ་》《སྣར་》,ན།,,
,,852,2,《པེ་》《སྣར་》,འཐོབ།,,
,,853,3,《པེ་》《སྣར་》,mལ།,,
,,854,4,《པེ་》《སྣར་》,བྱ།,,
,,855,5,《པེ་》《སྣར་》,ལའོ།,,
,,856,6,《སྣར་》,སྒྲུབ།,,
,,857,7,《པེ་》,བསྒོམ།, 《སྣར་》,བསྒོམས།,
,,858,8,《པེ་》《སྣར་》,mཔ།,,
,,859,9,《པེ་》《སྣར་》,གཙོར།,,
,439,860,1,《པེ་》《སྣར་》,བཞིར།,,
,,861,2,《པེ་》《སྣར་》,གང་།,,
,,862,3,《པེ་》《སྣར་》,mཔས།,,
,,863,4,《པེ་》《སྣར་》,བསྒོམ།,,
,,864,5,《པེ་》《སྣར་》,ནི།,,
,,865,6,《པེ་》《སྣར་》,ལྡན།,,
,,866,7,《པེ་》《སྣར་》,ཀྱི།,,
,440,867,1,《པེ་》《སྣར་》,བསྔོ།,,
,,868,2,《པེ་》《སྣར་》,བསྒྲུབས།,,
,,869,3,《པེ་》《སྣར་》,བསྒོམ།,,
,,870,4,《པེ་》《སྣར་》,རྟོགས།,,
,,871,5,《པེ་》《སྣར་》,རྟོགས།,,
,,872,6,《པེ་》《སྣར་》,པ།,,
,,873,7,《པེ་》《སྣར་》,རྟོགས།,,
,,874,8,《སྣར་》,པ།,,
,441,875,1,《པེ་》《སྣར་》,mཡང་།,,
,,876,2,《པེ་》《སྣར་》,སྒོམ།,,
,,877,3,《པེ་》《སྣར་》,mཔ་ཡིན།,,
,,878,4,《པེ་》《སྣར་》,ཡངས།,,
,,879,5,《པེ་》《སྣར་》,པ།,,
,,880,6,《པེ་》《སྣར་》,པ།,,
,,881,7,《པེ་》《སྣར་》,པ།,,
,,882,8,《པེ་》《སྣར་》,mཔ།,,
,442,883,1,《ཅོ་》,ཏོ།,,
,,884,2,《སྣར་》,རྣན།,,
,,885,3,《པེ་》《སྣར་》,བའི།,,
,443,886,1,《སྣར་》,བསྡུད།,,
,,887,2,《པེ་》《སྣར་》,གྱི།,,
,,888,3,《པེ་》《སྣར་》,བཟུང་།,,
,444,889,1,《པེ་》《སྣར་》,བོར།,,
,,890,2,《པེ་》《སྣར་》,འདོགས།,,
,,891,3,《སྣར་》,པར།,,
,,892,4,《པེ་》《སྣར་》,ཀྱི།,,
,,893,5,《པེ་》《སྣར་》,པའོ།,,
,445,894,1,《པེ་》《སྣར་》,ཇི།,,
,,895,2,《པེ་》《སྣར་》,mསུ།,,
,,896,3,《པེ་》《སྣར་》,འཚེ།,,
,,897,4,《པེ་》《སྣར་》,དེ་ལ།,,
,,898,5,《པེ་》《སྣར་》,བཟང་།,,
,,899,6,《པེ་》《སྣར་》,གཏང་།,,
,,900,7,《པེ་》《སྣར་》,mན།,,
,446,901,1,《པེ་》《སྣར་》,ལ།,,
,,902,2,《པེ་》《སྣར་》,བས།,,
,,903,3,《པེ་》《སྣར་》,mཞེས་བྱ་བ།,,
,,904,4,《པེ་》《སྣར་》,mགང་།,,
,,905,5,《པེ་》《སྣར་》,ནས།,,
,447,906,1,《པེ་》《སྣར་》,ཀྱི།,,
,,907,2,《པེ་》《སྣར་》,ལས།,,
,,908,3,《པེ་》《སྣར་》,mསུ།,,
,,909,4,《པེ་》《སྣར་》,པ་ལ།,,
,448,910,1,《པེ་》《སྣར་》,pནི།,,
,,911,2,《པེ་》《སྣར་》,མྱོང་།,,
,,912,3,《པེ་》《སྣར་》,pབྱ།,,
,,913,4,《པེ་》《སྣར་》,པ་སྟེ།,,
,,914,5,《པེ་》《སྣར་》,གཞུག,,
,,915,6,《པེ་》《སྣར་》,mནུས་པ་དང་།,,
,,916,7,《པེ་》《སྣར་》,pཞིག,,
,449,917,1,《པེ་》《སྣར་》,mབྱ།,,
,,918,2,《པེ་》《སྣར་》,ཇི་ལྟར་སྦྱིན་པ་ལ་བདག་པོ་ཡིན་ཞེས་བྱ་བ་ལ། གང་།,,
,,919,3,《པེ་》《སྣར་》,པ་སྟེ།,,
,,920,4,《པེ་》《སྣར་》,pན།,,
,450,921,1,《པེ་》《སྣར་》,mགང་།,,
,,922,2,《པེ་》《སྣར་》,གོས་པའི།,,
,,923,3,《པེ་》《སྣར་》,pནི།,,
,,924,4,《པེ་》《སྣར་》,གཞན།,,
,,925,5,《པེ་》《སྣར་》,ཀྱིས།,,
,,926,6,《པེ་》《སྣར་》,དེ།,,
,451,927,1,《པེ་》,ཕྱིར་དེ་ཉིད།, 《སྣར་》,ཕྱིར་གཉིད།,
,,928,2,《པེ་》《སྣར་》,pདེ།,,
,,929,3,《པེ་》《སྣར་》,པར།,,
,,930,4,《པེ་》《སྣར་》,སྦྱར།,,
,452,931,1,《སྣར་》,སྙམས།,,
,,932,2,《ཅོ་》,སེམས།,,
,,933,3,《པེ་》《སྣར་》,རྟོག,,
,,934,4,《པེ་》《སྣར་》,mམ།,,
,,935,5,《པེ་》《སྣར་》,pདེ།,,
,,936,6,《ཅོ་》,ལྟ་བ།,,
,453,937,1,《པེ་》《སྣར་》,mམེད།,,
,,938,2,《པེ་》《སྣར་》,བྱུང་།,,
,,939,3,《པེ་》《སྣར་》,ལས་ནི།,,
,,940,4,《པེ་》《སྣར་》,mདེ།,,
,454,941,1,《པེ་》,mབ།,,
,,942,2,《པེ་》《སྣར་》,སྒྲུབ།,,
,,943,3,《པེ་》《སྣར་》,pལས་བྱུང་བ།,,
,,944,4,《པེ་》《སྣར་》,བརྟགས།,,
,,945,5,《པེ་》《སྣར་》,mནི།,,
,,946,6,《པེ་》《སྣར་》,བྱ་ལ།,,
,,947,7,《སྣར་》,བརྗོད།,,
,455,948,1,《སྣར་》,རྗོད།,,
,,949,2,《པེ་》《སྣར་》,རྒྱུའི།,,
,,950,3,《པེ་》《སྣར་》,པའི་སྤྱོད་པའི།,,
,,951,4,《པེ་》《སྣར་》,pཕྱིར།,,
,,952,5,《པེ་》《སྣར་》,mཔའི།,,
,,953,6,《ཅོ་》,དཔའི།,,
,,954,7,《པེ་》《སྣར་》,སྟེ།,,
,,955,8,《སྣར་》,pཏུ།,,
,,956,9,《པེ་》《སྣར་》,mབའི་རྩ།,,
,456,957,1,《པེ་》《སྣར་》,འདའ་བར།,,
,457,958,1,《པེ་》《སྣར་》,པོ་དེས།,,
,,959,2,《པེ་》《སྣར་》,pཉིད།,,
,,960,3,《པེ་》《སྣར་》,པ་ཞེས་བྱ་བ་སྟེ། འདི་ལྟར་དེའི་ཕྱིར།,,
,458,961,1,《པེ་》《སྣར་》,pདེ།,,
,,962,2,《པེ་》《སྣར་》,ཀྱི།,,
,459,963,1,《པེ་》《སྣར་》,གེར།,,
,,964,2,《པེ་》《སྣར་》,བར་བྱའོ།,,
,,965,3,《པེ་》《སྣར་》,མི།,,
,,966,4,《པེ་》《སྣར་》,པ།,,
,,967,5,《པེ་》《སྣར་》,བཙུམ།,,
