མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,
,332,105,1,《སྣར་》,pཔ།,,
,,106,2,《པེ་》《སྣར་》,གི།,,
,,107,3,《པེ་》《སྣར་》,mཉིད།,,
,,108,4,《པེ་》《སྣར་》,pནི།,,
,,109,5,《པེ་》《སྣར་》,ལ།,,
,,110,6,《པེ་》《སྣར་》,པས།,,
,,111,7,《པེ་》《སྣར་》,pགི།,,
,,112,8,《པེ་》《སྣར་》,ནི།,,
,,113,9,《པེ་》《སྣར་》,mཀྱི།,,
,,114,10,《པེ་》《སྣར་》,པ།,,
,,115,11,《པེ་》《སྣར་》,mཆོས་ཀྱི།,,
,333,116,1,《པེ་》《སྣར་》,པ།,,
,,117,2,《པེ་》《སྣར་》,ན།,,
,334,118,1,《པེ་》《སྣར་》,ལ།,,
,,119,2,《པེ་》《སྣར་》,mསྐྱེ་བར།,,
,,120,3,《པེ་》《སྣར་》,ལྟར།,,
,335,121,1,《པེ་》《སྣར་》,སྤང་བའི།,,
,,122,2,《པེ་》《སྣར་》,རྣམ།,,
,,123,3,《པེ་》《སྣར་》,དེ།,,
,,124,4,《པེ་》《སྣར་》,རྣམ་ཤེས།,,
,,125,5,《པེ་》《སྣར་》,mཔར།,,
,336,126,1,《པེ་》,བཏོང་།,,
,,127,2,《པེ་》《སྣར་》,mལ།,,
,,128,3,《པེ་》《སྣར་》,mནས།,,
,,129,4,《སྣར་》,འགྲུབ་བོ།,,
,,130,5,《པེ་》《སྣར་》,པ།,,
,,131,6,《པེ་》《སྣར་》,ཐོབ།,,
,,132,7,《པེ་》《སྣར་》,pབདག་གི།,,
,,133,8,《པེ་》《སྣར་》,mབ།,,
,,134,9,《པེ་》《སྣར་》,གཞིག,,
,337,135,1,《པེ་》,mདེ།,,
,,136,2,《པེ་》《སྣར་》,བཟུང་བས།,,
,,137,3,《པེ་》《སྣར་》,དོ།,,
,,138,4,《པེ་》《སྣར་》,pལྡན་པ།,,
,,139,5,《པེ་》《སྣར་》,གྱི།,,
,,140,6,《པེ་》《སྣར་》,དེ་ལ།,,
,,141,7,《པེ་》《སྣར་》,སྐྱེད།,,
,,142,8,《པེ་》《སྣར་》,ཀྱི་སྒོ།,,
,,143,9,《ཅོ་》,པར།,,
,,144,10,《པེ་》《སྣར་》,པ།,,
,338,145,1,《པེ་》,སྤང་བའི།,,
,,146,2,《པེ་》《སྣར་》,བསྐྱེད།,,
,,147,3,《པེ་》《སྣར་》,བསྐྱེད།,,
,,148,4,《པེ་》《སྣར་》,བསྐྱེད།,,
,,149,5,《པེ་》《སྣར་》,འབྲུ།,,
,339,150,1,《པེ་》《སྣར་》,mརོ།,,
,,151,2,《སྣར་》,བ།,,
,,152,3,《པེ་》《སྣར་》,ཅིག,,
,,153,4,《པེ་》《སྣར་》,བས།,,
,,154,5,《པེ་》《སྣར་》,སྲེག,,
,,155,6,《སྣར་》,འདི།,,
,,156,7,《པེ་》《སྣར་》,པོ།,,
,,157,8,《པེ་》《སྣར་》,འགྲུབ།,,
,,158,9,《པེ་》《སྣར་》,འགྲུབ།,,
,,159,10,《པེ་》《སྣར་》,བཟུང།,,
,340,160,1,《པེ་》《སྣར་》,བསྡུས།,,
,,161,2,《པེ་》《སྣར་》,mཔ།,,
,,162,3,《པེ་》,ཏེ།,,
,,163,4,《པེ་》《སྣར་》,mནི།,,
,,164,5,《པེ་》《སྣར་》,དེ།,,
,,165,6,《སྣར་》,བོར།,,
,,166,7,《པེ་》《སྣར་》,པའོ།,,
,,167,8,《སྣར་》,pདུ།,,
,341,168,1,《པེ་》《སྣར་》,སེམས།,,
,,169,2,《པེ་》,mཔ་ཉིད།,,
,,170,3,《པེ་》《སྣར་》,mཔ།,,
,,171,4,《པེ་》《སྣར་》,pདང་།,,
,,172,5,《པེ་》《སྣར་》,ཤེས་བྱའི།,,
,342,173,1,《པེ་》《སྣར་》,mན།,,
,,174,2,《པེ་》《སྣར་》,བསྐྱེད།,,
,,175,3,《པེ་》《སྣར་》,བལྟོས།,,
,,176,4,《པེ་》《སྣར་》,pསྟེ།,,
,,177,5,《པེ་》《སྣར་》,mབ།,,
,,178,6,《པེ་》《སྣར་》,བསྟན།,,
,,179,7,《པེ་》《སྣར་》,བྱའི།,,
