མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,91,3,《པེ་》《སྣར་》,pཔ།,,
,,92,4,《པེ་》《སྣར་》,འཐོབ།,,
,,93,5,《སྣར་》,བྱེད།,,
,,94,6,《པེ་》,སམ།,,
,,95,7,《པེ་》《སྣར་》,mཕྱིར།,,
,20,96,1,《པེ་》《སྣར་》,ཀྱིས།,,
,,97,2,《པེ་》《སྣར་》,ཀྱི།,,
,,98,3,《པེ་》《སྣར་》,ལ།,,
,,99,4,《པེ་》《སྣར་》,སྒོམ།,,
,,100,5,《པེ་》《སྣར་》,pཉིད་ཀྱིས།,,
,,101,6,《པེ་》《སྣར་》,གྱིས།,,
,21,102,1,《པེ་》《སྣར་》,ཕ་རོལ།,,
,,103,2,《པེ་》《སྣར་》,mསྒྲིབ་པས་དེའི།,,
,,104,3,《པེ་》《སྣར་》,mལ།,,
,,105,4,《པེ་》《སྣར་》,mདུ།,,
,,106,5,《པེ་》,བརྟག་པ་དང་བསྒོམ།,《སྣར་》,རྟག་པ་དང་བསྒོམ།,
,,107,6,《པེ་》《སྣར་》,mམི།,,
,22,108,1,《པེ་》《སྣར་》,དྲི།,,
,,109,2,《པེ་》《སྣར་》,སྦྱང་།,,
,,110,3,《པེ་》《སྣར་》,རྟོག,,
,,111,4,《པེ་》《སྣར་》,རྒྱུ།,,
,,112,5,《པེ་》《སྣར་》,རྟོག་སྟེ།  རྣམ་པར་དག་པ་ལ་སེམས་དང་བསམ།,,
,23,113,1,《པེ་》《སྣར་》,mརྣམ་པ།,,
,,114,2,《པེ་》《སྣར་》,བྱང་བ།,,
,,115,3,《པེ་》《སྣར་》,pནས།,,
,,116,4,《པེ་》《སྣར་》,ལ།,,
,,117,5,《པེ་》《སྣར་》,pདང་།,,
,24,118,1,《པེ་》《སྣར་》,ནི།,,
,,119,2,《པེ་》《སྣར་》,ཕྲ་བ་དང་ནི་རགས་པ།,,
,,120,3,《པེ་》,pཔ།,,
,,121,4,《པེ་》《སྣར་》,pབཅུ་པོ་དེ་ཡང་བདག་ཏུ་འཛིན་པ་རྣམ་པ།,,
,25,122,1,《པེ་》《སྣར་》,pཔ།,,
,,123,2,《པེ་》《སྣར་》,བརྟག,,
,,124,3,《པེ་》《སྣར་》,mདེ།,,
,,125,4,《པེ་》《སྣར་》,mཏུ།,,
,,126,5,《པེ་》《སྣར་》,mམ།,,
,,127,6,《པེ་》《སྣར་》,mལྟ།,,
,,128,7,《པེ་》《སྣར་》,mཀྱི།,,
,26,129,1,《པེ་》《སྣར་》,mདེར།,,
,,130,2,《པེ་》《སྣར་》,བྱའོ།,,
,,131,3,《པེ་》《སྣར་》,དྲིར།,,
,,132,4,《པེ་》《སྣར་》,mམ།,,
,,133,5,《པེ་》《སྣར་》,pཡི།,,
,,134,6,《པེ་》《སྣར་》,mདང་།,,
,27,135,1,《པེ་》《སྣར་》,mཤེས་།,,
,,136,2,《པེ་》,mདེ་མ།,《སྣར་》,དེ།,
,,137,3,《པེ་》《སྣར་》,pགྱི་དེ།,,
,,138,4,《པེ་》《སྣར་》,གིས།,,
,,139,5,《པེ་》《སྣར་》,mཀྱིས།,,
,,140,6,《པེ་》《སྣར་》,ཀྱི།,,
,,141,7,《པེ་》《སྣར་》,mབ།,,
,,142,8,《པེ་》《སྣར་》,དེ་ལྟ།,,
,28,143,1,《པེ་》《སྣར་》,ཀྱིས།,,
,,144,2,《པེ་》《སྣར་》,གྱི། ,,
,,145,3,《པེ་》《སྣར་》,ནི།,,
,,146,4,《པེ་》《སྣར་》,mམོ།  །འགོག་པ་་རྣམ་གསུམ།,,
,,147,5,《པེ་》《སྣར་》,pཔ།,,
,,148,6,《པེ་》《སྣར་》,ཀྱི།,,
,,149,7,《པེ་》《སྣར་》,གྱིས།,,
,,150,8,《པེ་》,pཡོངས།,,
,,151,9,《པེ་》《སྣར་》,mབར་བྱ།,,
,29,152,1,《པེ་》《སྣར་》,བར་གྲུབ།,,
,,153,2,《པེ་》《སྣར་》,ནི།,,
,30,154,1,《པེ་》《སྣར་》,རིག,,
,,155,2,《པེ་》《སྣར་》,བསྡུས།,,
,,156,3,《པེ་》《སྣར་》,ནར།,,
,,157,4,《པེ་》《སྣར་》,mརབ་ཏུ་དབྱེ་བའི་དེ་ཁོ་ན་རྩ་བའི་དེ་ཁོ་ནར་ཇི་ལྟར་རིག་པར་བྱ་ཞེ་ན།,,
,,158,5,《པེ་》《སྣར་》,mརྣམ་པར་རིག་པའི་དེ་ཁོ་ན་དང་།,,
,,159,6,《པེ་》《སྣར་》,པ།,,
,31,160,1,《པེ་》《སྣར་》,pཔའི།,,
,,161,2,《པེ་》《སྣར་》,གསུངས།,,
,32,162,1,《པེ་》《སྣར་》,བྱ་བའོ།,,
,,163,2,《པེ་》《སྣར་》,mསོགས་པ།,,
,,164,3,《སྣར་》,བརྟག,,
,,165,4,《པེ་》《སྣར་》,དོ།,,
,,166,5,《པེ་》《སྣར་》,ཀྱིས།,,
,,167,6,《པེ་》《སྣར་》,mན།,,
,,168,7,《པེ་》《སྣར་》,གཟུངས་དག,,
,33,169,1,《པེ་》《སྣར་》,ནོ།,,
,,170,2,《པེ་》《སྣར་》,གྱིས།,,
,34,171,1,《པེ་》《སྣར་》,གྱིས།,,
,,172,2,《པེ་》《སྣར་》,གསོད།,,
,,173,3,《པེ་》《སྣར་》,བྱེད་པའོ།,,
,,174,4,《པེ་》《སྣར་》,བྱེད་དོ།,,
,,175,5,《པེ་》《སྣར་》,འཚོ་བ།,,
,,176,6,《པེ་》《སྣར་》,པར།,,
,35,177,1,《པེ་》《སྣར་》,བཞིན།,,
,,178,2,《པེ་》《སྣར་》,ལས།,,
,,179,3,《པེ་》《སྣར་》,pདང་།,,
,,180,4,《པེ་》《སྣར་》,བརྟགས།,,
,36,181,1,《པེ་》《སྣར་》,ལ།,,
,,182,2,《པེ་》《སྣར་》,བརྟགས།,,
,,183,3,《པེ་》《སྣར་》,mདོན།,,
,,184,4,《པེ་》《སྣར་》,pལ།,,
,,185,5,《པེ་》《སྣར་》,བ།,,
,,186,6,《པེ་》《སྣར་》,པའི།,,
,,187,7,《པེ་》《སྣར་》,mཀྱི།,,
,,188,8,《པེ་》《སྣར་》,པའི།,,
,37,189,1,《པེ་》,།  །,,
,,190,2,《པེ་》《སྣར་》,མའོ།,,
,,191,3,《པེ་》《སྣར་》,སྲད།,,
,,192,4,《པེ་》《སྣར་》,mནི།,,
,,193,5,《པེ་》《སྣར་》,འཇིག,,
,38,194,1,《པེ་》《སྣར་》,ནས།,,
,,195,2,《པེ་》《སྣར་》,mརྣམ་པ།,,
,,196,3,《པེ་》《སྣར་》,ནས།,,
,,197,4,《པེ་》《སྣར་》,བསལ།,,
,,198,5,《པེ་》《སྣར་》,པས།,,
,,199,6,《པེ་》《སྣར་》,དེ།,,
,,200,7,《པེ་》《སྣར་》,ལ།,,
,,201,8,《པེ་》《སྣར་》,སྤངས་པའི།,,
,,202,9,《པེ་》《སྣར་》,བསྒོམས།,,
,,203,10,《པེ་》《སྣར་》,དང་།,,
,,204,11,《པེ་》《སྣར་》,དེ།,,
,,205,12,《པེ་》《སྣར་》,སྤངས་པའི།,,
,39,206,1,《པེ་》《སྣར་》,སྤང་།,,
,,207,2,《པེ་》《སྣར་》,དེ།,,
,,208,3,《པེ་》,སྙམ་སེམས།,《སྣར་》,སྙེམས།,
,40,209,1,《པེ་》《སྣར་》,བསྲབས།,,
,,210,2,《པེ་》《སྣར་》,pརོ།།,,
,,211,3,《པེ་》《སྣར་》,mམི་མཐུན་པའི་ཕྱོགས་དང་མི་འདྲེ་བ་ནའོ། །ཅིའི་ཕྱིར་དད་པ་ལ་སོགས་པ།,,
,,212,4,《པེ་》《སྣར་》,དད་པར་གྱུར་པ་དེ་རྒྱུ་དང་།,,
,,213,5,《པེ་》《སྣར་》,པ།,,
,,214,6,《པེ་》《སྣར་》,པ།,,
,,215,7,《པེ་》《སྣར་》,པ།,,
,,216,8,《པེ་》《སྣར་》,pདྲོ་བར་གྱུར་པ་རྣམས་དང་རྩེ་མོ་དག་གི་ཚེ་དབང་པོ་རྣམས་ལ།  ངེས་འབྱེད་ཆ་མཐུན་གཉིས་གཉིས་སོ།,,
,,217,9,《པེ་》《སྣར་》,གིས།,,
,,218,10,《པེ་》《སྣར་》,བདུན་དུ།,,
,41,219,1,《པེ་》《སྣར་》,mཆོས་རྣམ་པར་འབྱེད་པ་ནི་རང་བཞིན་གྱི་ཡན་ལག་གོ།  །,,
,,220,2,《པེ་》《སྣར་》,གིས།,,
,42,221,1,《པེ་》《སྣར་》,ཀྱི་གོས།,,
,,222,2,《པེ་》《སྣར་》,པའོ།,,
,,223,3,《པེ་》《སྣར་》,པ་དང་དབང་གི།,,
,,224,4,《པེ་》《སྣར་》,བསྡུས།,,
,,225,5,《པེ་》《སྣར་》,སོ།,,
,,226,6,《པེ་》《སྣར་》,mནི།,,
,,227,7,《པེ་》《སྣར་》,pཔ།,,
,43,228,1,《པེ་》《སྣར་》,ཁྱད་པར་དུ།,,
,,229,2,《པེ་》《སྣར་》,mགྱི།,,
,,230,3,《པེ་》《སྣར་》,བུར།,,
,,231,4,《པེ་》《སྣར་》,སྒྲུབ།,,
,,232,5,《པེ་》《སྣར་》,ཐོས།,,
,44,233,1,《པེ་》《སྣར་》,པས།,,
,,234,2,《པེ་》《སྣར་》,པའོ།,,
,,235,3,《པེ་》《སྣར་》,mདེ།,,
,45,236,1,《པེ་》《སྣར་》,མ།,,
,,237,2,《པེ་》《སྣར་》,mཔ།,,
,46,238,1,《པེ་》《སྣར་》,བསྒོམ།,,
,,239,2,《པེ་》,བསྒོམས།,,
,,240,3,《པེ་》《སྣར་》,བ།,,
,,241,4,《པེ་》《སྣར་》,mགོང་མ་ཡང་དག་་་པར་རྩོམ་པའི་སྒོམ་པ་དང་།,,,,,,,
,,242,5,《པེ་》《སྣར་》,བསྒོམ།,,,,,,,
,,243,6,《པེ་》《སྣར་》,བསྒོམ།,,,,,,,
,,244,7,《པེ་》《སྣར་》,བསྒོམ།,,,,,,,
,,245,8,《པེ་》《སྣར་》,mནི་བསྡུས་པ།,,,,,,,
,,246,9,《པེ་》,བསྒྲུབས།,,,,,,,
,,247,10,《པེ་》《སྣར་》,གྲོང་ནས་གྲོང་།,,,,,,,
