མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,834,403,1,《པེ་》《སྣར་》,བྱིས།,,,,,
,,404,2,《པེ་》,mཔ།,,,,,
,,405,3,《པེ་》《སྣར་》,pཀྱི།,,,,,
,,406,4,《པེ་》《སྣར་》,པའི།,,,,,
,,407,5,《པེ་》《སྣར་》,རྟོག,,,,,
,,408,6,《པེ་》《སྣར་》,mདང་།,,,,,
,,409,7,《པེ་》《སྣར་》,mནི།,,,,,
,,410,8,《པེ་》《སྣར་》,འགྲུབ།,,,,,
,,411,9,《པེ་》《སྣར་》,mགི།,,,,,
,,412,10,《པེ་》《སྣར་》,mནི།,,,,,
,,413,11,《པེ་》《སྣར་》,པ།,,,,,
,,414,12,《པེ་》《སྣར་》,བགོས།,,,,,
,,415,13,《པེ་》《སྣར་》,བུ།,,,,,
,835,416,1,《སྣར་》,པར།,,,,,
,,417,2,《པེ་》《སྣར་》,རིགས།,,,,,
,,418,3,《པེ་》《སྣར་》,mདང་།,,,,,
,,419,4,《པེ་》《སྣར་》,mརྣམ་པར།,,,,,
,,420,5,《པེ་》《སྣར་》,སྐྱེ་བ།,,,,,
,,421,6,《པེ་》《སྣར་》,སྐྱེ་བ།,,,,,
,,422,7,《པེ་》《སྣར་》,སྐྱེ་བ།,,,,,
,,423,8,《པེ་》《སྣར་》,རྒྱུན།,,,,,
,,424,9,《པེ་》《སྣར་》,གླང་།,,,,,
,,425,10,《པེ་》,རུ།,,,,,
,,426,11,《པེ་》《སྣར་》,pཔ།,,,,,
,836,427,1,《པེ་》《སྣར་》,མདབ།,,,,,
,,428,2,《པེ་》《སྣར་》,རྟོག,,,,,
,,429,3,《པེ་》《སྣར་》,པར།,,,,,
,,430,4,《པེ་》,pབ།,,,,,
,837,431,1,《སྣར་》,ཤེལ།,,,,,
,,432,2,《པེ་》《སྣར་》,བ།,,,,,
,,433,3,《པེ་》《སྣར་》,mཞེས་བྱའོ།,,,,,
,,434,4,《པེ་》《སྣར་》,བས།,,,,,
,,435,5,《པེ་》《སྣར་》,mསྐྱེས།,,,,,
,,436,6,《པེ་》,ཡས།,,,,,
,,437,7,《པེ་》《སྣར་》,པ།,,,,,
,,438,8,《པེ་》《སྣར་》,པ།,,,,,
,838,439,1,《པེ་》《སྣར་》,mམ།,,,,,
,,440,2,《པེ་》《སྣར་》,mལ།,,,,,
,,441,3,《པེ་》《སྣར་》,དེ།,,,,,
,,442,4,《སྣར་》,བསྒོམས།,,,,,
,,443,5,《པེ་》《སྣར་》,རིགས།,,,,,
,,444,6,《པེ་》《སྣར་》,བར།,,,,,
,,445,7,《པེ་》《སྣར་》,mནི།,,,,,
,,446,8,《པེ་》《སྣར་》,pཔ།,,,,,
,,447,9,《པེ་》《སྣར་》,པ།,,,,,
,,448,10,《པེ་》《སྣར་》,mའོད།,,,,,
,,449,11,《པེ་》《སྣར་》,mརྣམ་པའི།,,,,,
,839,450,1,《པེ་》《སྣར་》,pཀྱིས།,,,,,
,,451,2,《པེ་》《སྣར་》,pམ་རྟོགས་པའི་དང་།,,,,,
,,452,3,《པེ་》,གཞི།,,,,,
,,453,4,《པེ་》,པས།,,,,,
,,454,5,《པེ་》《སྣར་》,ཆུད་མ་པ་བསྒོམ་པ།,,,,,
,,455,6,《སྣར་》,པོ།,,,,,
,,456,7,《པེ་》《སྣར་》,mཕྱིར།,,,,,
,840,457,1,《པེ་》《སྣར་》,ལས།,,,,,
,,458,2,《པེ་》《སྣར་》,mམི།,,,,,
,,459,3,《པེ་》《སྣར་》,mསུ།,,,,,
,,460,4,《པེ་》《སྣར་》,བཤེས།,,,,,
,,461,5,《པེ་》《སྣར་》,mཔ།,,,,,
,,462,6,《པེ་》《སྣར་》,mདོ།།,,,,,
,,463,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,464,8,《པེ་》《སྣར་》,pལས་ཀྱི།,,,,,
,,465,9,《པེ་》《སྣར་》,སྐྱེས་པར།,,,,,
,,466,10,《པེ་》《སྣར་》,ཤེས་པས།,,,,,
,,467,11,《པེ་》《སྣར་》,mརྣམ་པར།,,,,,
,841,468,1,《སྣར་》,ལ།,,,,,
,,469,2,《པེ་》《སྣར་》,mཔར།,,,,,
,,470,3,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,,471,4,《པེ་》《སྣར་》,pཔའི།,,,,,
,,472,5,《པེ་》《སྣར་》,mནི།,,,,,
,,473,6,《པེ་》《སྣར་》,ཞེས།,,,,,
,,474,7,《པེ་》《སྣར་》,བསྒོས།,,,,,
,,475,8,《པེ་》《སྣར་》,mདྲུག,,,,,
,,476,9,《པེ་》《སྣར་》,mརྣམ་པར་ཤེས་པ་དྲུག་གི།,,,,,
,842,477,1,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,478,2,《པེ་》《སྣར་》,ཤིག,,,,,
,,479,3,《པེ་》《སྣར་》,ལྔའི།,,,,,
,,480,4,《པེ་》《སྣར་》,གྱིས།,,,,,
,,481,5,《པེ་》《སྣར་》,བ།,,,,,
,,482,6,《པེ་》《སྣར་》,mརྣམ་པའི་རྣམ་པར་རིག་པ།,,,,,
,843,483,1,《པེ་》《སྣར་》,mདེ་ཉིད་ཀྱི་ཕྱིར།,,,,,
,,484,2,《པེ་》《སྣར་》,ཞེས།,,,,,
,,485,3,《པེ་》《སྣར་》,pཔ།,,,,,
,,486,4,《པེ་》《སྣར་》,ཞེས།,,,,,
,,487,5,《པེ་》《སྣར་》,སྲེད།,,,,,
,,488,6,《སྣར་》,པས།,,,,,
,,489,7,《པེ་》《སྣར་》,པ།,,,,,
,,490,8,《པེ་》《སྣར་》,རྒྱགས།,,,,,
,,491,9,《པེ་》《སྣར་》,pབ།,,,,,
,,492,10,《པེ་》《སྣར་》,mཡང་།,,,,,
,,493,11,《པེ་》《སྣར་》,pབ།,,,,,
,844,494,1,《པེ་》,mཔ།,,,,,
,,495,2,《པེ་》《སྣར་》,སྐྱེ།,,,,,
,,496,3,《པེ་》《སྣར་》,mཔ།,,,,,
,,497,4,《སྣར་》,འཇོམ།,,,,,
,,498,5,《པེ་》《སྣར་》,ཅན་གྱི།,,,,,
,,499,6,《པེ་》《སྣར་》,བརྙིངས།,,,,,
,,500,7,《པེ་》《སྣར་》,གཅེར།,,,,,
,,501,8,《པེ་》《སྣར་》,རྒུ།,,,,,
,,502,9,《པེ་》《སྣར་》,ཁར།,,,,,
,,503,10,《པེ་》《སྣར་》,བརྙིངས།,,,,,
,,504,11,《པེ་》《སྣར་》,འགྱུར་བའི།,,,,,
,,505,12,《པེ་》《སྣར་》,ན།,,,,,
,,506,13,《སྣར་》,པར།,,,,,
,845,507,1,《པེ་》《སྣར་》,འཐུན།,,,,,
,,508,2,《པེ་》《སྣར་》,བློང་།,,,,,
,,509,3,《པེ་》《སྣར་》,བརྙིངས།,,,,,
,,510,4,《པེ་》《སྣར་》,ཞན།,,,,,
,,511,5,《སྣར་》,འགགས།,,,,,
,,512,6,《སྣར་》,གི།,,,,,
,,513,7,《པེ་》《སྣར་》,བརྐམས།,,,,,
,,514,8,《སྣར་》,སོགས།,,,,,
,,515,9,《པེ་》《སྣར་》,བའི།,,,,,
,,516,10,《སྣར་》,པའོ།,,,,,
,846,517,1,《པེ་》《སྣར་》,pནི།,,,,,
,,518,2,《པེ་》《སྣར་》,དེ།,,,,,
,,519,3,《པེ་》《སྣར་》,པ།,,,,,
,,520,4,《པེ་》《སྣར་》,ཀྱེ།,,,,,
,,521,5,《པེ་》《སྣར་》,སོ་སོ།,,,,,
,,522,6,《པེ་》《སྣར་》,ཅིག,,,,,
,,523,7,《པེ་》《སྣར་》,ཅིག,,,,,
,,524,8,《པེ་》《སྣར་》,བར།,,,,,
,,525,9,《པེ་》《སྣར་》,ཅི།,,,,,
,,526,10,《པེ་》《སྣར་》,སྨྲས།,,,,,
,,527,11,《པེ་》《སྣར་》,ལྔ་པའི།,,,,,
,,528,12,《པེ་》《སྣར་》,བགེགས།,,,,,
,,529,13,《པེ་》《སྣར་》,རྗེས་སུ་དྲན་ནས་སྔོན་རྒོད་ཀྱི།,,,,,
,847,530,1,《པེ་》,ཡི།,,,,,
,,531,2,《པེ་》《སྣར་》,mསྔོན།,,,,,
,,532,3,《སྣར་》,mཔ།,,,,,
,,533,4,《པེ་》《སྣར་》,mཔ།,,,,,
,,534,5,《པེ་》《སྣར་》,pཔ།,,,,,
,,535,6,《པེ་》《སྣར་》,མིན།,,,,,
,,536,7,《པེ་》《སྣར་》,mསྐོམ་པའི་ཕྱིར་ཞེས་བྱ་བ་ནི།,,,,,
,,537,8,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,848,538,1,《པེ་》《སྣར་》,mགིས།,,,,,
,,539,2,《སྣར་》,རྣམས་རྟགས།,,,,,
,,540,3,《པེ་》《སྣར་》,mཉེ་བར།,,,,,
,849,541,1,《སྣར་》,མི།,,,,,
,,542,2,《པེ་》《སྣར་》,སྐྱེ་གནས་སྔོན།,,,,,
,,543,3,《པེ་》,ཆག་ཐོགས།,《སྣར་》,ཆག་ཐོག,,,
,,544,4,《པེ་》《སྣར་》,འདུག,,,,,
,,545,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,546,6,《པེ་》,གིས།,,,,,
,850,547,1,《པེ་》《སྣར་》,pརྒྱུན་ཏུ།,,,,,
,,548,2,《པེ་》《སྣར་》,སྲིད།,,,,,
,,549,3,《པེ་》《སྣར་》,ལ།,,,,,
,,550,4,《པེ་》《སྣར་》,གྱིས།,,,,,
,,551,5,《པེ་》《སྣར་》,mདང་།,,,,,
,,552,6,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,553,7,《པེ་》《སྣར་》,ལས།,,,,,
,,554,8,《པེ་》《སྣར་》,པར་ཤེས།,,,,,
,,555,9,《པེ་》《སྣར་》,བརླན།,,,,,
,,556,10,《པེ་》《སྣར་》,པ།,,,,,
,,557,11,《པེ་》,mདང་།,,,,,
,,558,12,《པེ་》《སྣར་》,mཡང་།,,,,,
,851,559,1,《པེ་》《སྣར་》,mམ་རིག་པ་ཡང་ཞེས་བྱ་བ་ལ་སོགས་པ་ནི།,,,,,
,,560,2,《པེ་》《སྣར་》,གི།,,,,,
,,561,3,《པེ་》《སྣར་》,དེ།,,,,,
,,562,4,《པེ་》《སྣར་》,གྱིས།,,,,,
,,563,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,564,6,《པེ་》《སྣར་》,mདང་།,,,,,
,,565,7,《པེ་》《སྣར་》,རུང་བར།,,,,,
,852,566,1,《པེ་》《སྣར་》,mསེམས་ཀྱང་།,,,,,
,,567,2,《པེ་》《སྣར་》,mགཞོན་ནུ་དང་།,,,,,
,,568,3,《པེ་》,སྐྱེས།,,,,,
,,569,4,《པེ་》,pགི།,,,,,
,,570,5,《པེ་》《སྣར་》,pཉིད།,,,,,
,,571,6,《པེ་》《སྣར་》,སྐྱེད།,,,,,
,853,572,1,《པེ་》《སྣར་》,གྱིས།,,,,,
,,573,2,《པེ་》《སྣར་》,གིས།,,,,,
,,574,3,《པེ་》《སྣར་》,མིང་།,,,,,
,,575,4,《པེ་》《སྣར་》,mལ།,,,,,
,,576,5,《པེ་》《སྣར་》,སྐྱེད།,,,,,
,,577,6,《པེ་》《སྣར་》,ལ་བདག་བདག་གི་ཞེས།,,,,,
,,578,7,《པེ་》《སྣར་》,མཆེད།,,,,,
,854,579,1,《པེ་》《སྣར་》,གི།,,,,,
,,580,2,《པེ་》《སྣར་》《ཅོ་》,སྒྲིབས།,,,,,
,,581,3,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,582,4,《པེ་》《སྣར་》,གི།,,,,,
,,583,5,《པེ་》《སྣར་》,གི།,,,,,
,,584,6,《སྣར་》,mབ།,,,,,
,,585,7,《པེ་》《སྣར་》,ཡིར་འཛིན།,,,,,
,,586,8,《པེ་》《སྣར་》,ལྟ་སྟེ།,,,,,
,,587,9,《པེ་》《སྣར་》,རྟོག,,,,,
,855,588,1,《པེ་》《སྣར་》,mའཇིག་རྟེན།,,,,,
,,589,2,《པེ་》,ལྟ་ན།,,,,,
,,590,3,《པེ་》《སྣར་》,mངོ་།,,,,,
,,591,4,《པེ་》《སྣར་》,བ།,,,,,
,,592,5,《པེ་》《སྣར་》,ལས།,,,,,
,856,593,1,《པེ་》《སྣར་》,ནོ།།,,,,,
,,594,2,《སྣར་》,བའི།,,,,,
,,595,3,《པེ་》《སྣར་》,mཡང་།,,,,,
,,596,4,《པེ་》《སྣར་》,mངུ་།,,,,,
,,597,5,《པེ་》《སྣར་》,མཚམ།,,,,,
,,598,6,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,599,7,《པེ་》,ཕྱིར།,,,,,
,857,600,1,《པེ་》《སྣར་》,པ།,,,,,
,,601,2,《པེ་》《སྣར་》,mཀྱང་།,,,,,
,858,602,1,《པེ་》《སྣར་》,པའོ།,,,,,
,,603,2,《པེ་》《སྣར་》,ཆར།,,,,,
,,604,3,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,605,4,《པེ་》《སྣར་》,འགག,,,,,
,,606,5,《པེ་》《སྣར་》,མཐོ།,,,,,
,,607,6,《པེ་》《སྣར་》,mརྒྱུ།,,,,,
,,608,7,《པེ་》《སྣར་》,mཉིད།,,,,,
,859,609,1,《པེ་》《སྣར་》,པའོ།,,,,,
,,610,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,611,3,《པེ་》《སྣར་》,འཕྲོག,,,,,
,,612,4,《པེ་》《སྣར་》,mབདག,,,,,
,,613,5,《པེ་》《སྣར་》,བོའི།,,,,,
,860,614,1,《པེ་》,pཕུང་།,,,,,
,,615,2,《པེ་》《སྣར་》,mཏུ།,,,,,
,,616,3,《སྣར་》,སྙན།,,,,,
,,617,4,《པེ་》《སྣར་》,མིང་།,,,,,
,,618,5,《པེ་》《སྣར་》,mརམ།,,,,,
,,619,6,《པེ་》《སྣར་》,mརམ།,,,,,
,861,620,1,《པེ་》《སྣར་》,པའམ།,,,,,
,,621,2,《སྣར་》,mདོ།,,,,,
,,622,3,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,623,4,《པེ་》《སྣར་》,ཅི།,,,,,
,,624,5,《པེ་》《སྣར་》,mནི།,,,,,
,,625,6,《པེ་》《སྣར་》,པ།,,,,,
,,626,7,《པེ་》《སྣར་》,བ་དང་།,,,,,
,,627,8,《པེ་》《སྣར་》,སློང་།,,,,,
,,628,9,《པེ་》《སྣར་》,བལྟ།,,,,,
,,629,10,《པེ་》,pགང་དད་པ།,《སྣར་》,pགང་དང་བ།,,,
,,630,11,《པེ་》《སྣར་》,ལས་བྱས།,,,,,
,,631,12,《པེ་》《སྣར་》,mནི།,,,,,
,,632,13,《པེ་》《སྣར་》,བྱ་བ།,,,,,
,,633,14,《སྣར་》,དང་།,,,,,
,,634,15,《པེ་》《སྣར་》,བསླངས་པའི།,,,,,
,,635,16,《པེ་》《སྣར་》,སྨྲས་པ།,,,,,
,862,636,1,《སྣར་》,ན།,,,,,
,,637,2,《པེ་》《སྣར་》,ཏུ།,,,,,
,,638,3,《པེ་》《སྣར་》,mདང་།,,,,,
,,639,4,《པེ་》《སྣར་》,འཇིག་རྟེན།,,,,,
,,640,5,《པེ་》《སྣར་》,pན།,,,,,
,,641,6,《པེ་》,རྩྭ་དཱུརྦ་པ།,《སྣར་》,རྩ་དུར་ར།,,,
,,642,7,《པེ་》《སྣར་》,གྷི་ཝཾ་དང་ཞི་གཞོལ།,,,,,
,863,643,1,《པེ་》《སྣར་》,ལྟར།,,,,,
,,644,2,《པེ་》,ནི།,,,,,
,,645,3,《པེ་》《སྣར་》,ཏཱ།,,,,,
,,646,4,《པེ་》《སྣར་》,དུས།,,,,,
,,647,5,《པེ་》《སྣར་》,ཡིས།,,,,,
,,648,6,《པེ་》《སྣར་》,mམ།,,,,,
,864,649,1,《པེ་》《སྣར་》,རྒྱུ་ནི།,,,,,
,,650,2,《པེ་》《སྣར་》,pཔ།,,,,,
,,651,3,《པེ་》《སྣར་》,རྒྱུ།,,,,,
,,652,4,《པེ་》《སྣར་》,བསྒོམ།,,,,,
,,653,5,《པེ་》《སྣར་》,སྲེགས།,,,,,
,,654,6,《པེ་》《སྣར་》,འགགས།,,,,,
,,655,7,《པེ་》《སྣར་》,pབལྟ་བའི་གནས་སོ།,,,,,
,,656,8,《པེ་》《སྣར་》,pཞེས་བྱ་བ།,,,,,
,,657,9,《པེ་》《སྣར་》,པ།,,,,,
,,658,10,《པེ་》《སྣར་》,བལྟ།,,,,,
,,659,11,《པེ་》《སྣར་》,pཡང་དག,,,,,
,865,660,1,《པེ་》《སྣར་》,ལྡན་པ།,,,,,
,,661,2,《པེ་》《སྣར་》,གིས།,,,,,
,,662,3,《པེ་》,བསྟེན།,《སྣར་》,བརྟེན།,,,
,,663,4,《སྣར་》,གྱི།,,,,,
,,664,5,《པེ་》《སྣར་》,pཔ།,,,,,
,866,665,1,《པེ་》《སྣར་》,ལ།,,,,,
,,666,2,《པེ་》《སྣར་》,pཐོབ་སྟེ།,,,,,
,,667,3,《པེ་》《སྣར་》,ན།,,,,,
,,668,4,《པེ་》《སྣར་》,པ།,,,,,
,867,669,1,《པེ་》《སྣར་》,གིས།,,,,,
,,670,2,《པེ་》《སྣར་》,mརྟོག་པ་རྣམ་པར།,,,,,
,,671,3,《པེ་》《སྣར་》,པར།,,,,,
,,672,4,《པེ་》《སྣར་》,སྟོན་རྒོད།,,,,,
,,673,5,《པེ་》《སྣར་》,པའི།,,,,,
,,674,6,《པེ་》《སྣར་》,དོ།།,,,,,
,,675,7,《པེ་》《སྣར་》,mཔ་དང་ལྡན།,,,,,
,,676,8,《པེ་》《སྣར་》,ཤེས།,,,,,
,,677,9,《པེ་》《སྣར་》,འཕགས།,,,,,
,,678,10,《པེ་》《སྣར་》,གིས།,,,,,
,,679,11,《པེ་》《སྣར་》,འབྱམས།,,,,,
,,680,12,《པེ་》《སྣར་》,པས།,,,,,
,868,681,1,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,682,2,《སྣར་》,གི།,,,,,
,,683,3,《པེ་》《སྣར་》,འབྱམས།,,,,,
,,684,4,《པེ་》,གིས།,,,,,
,,685,5,《པེ་》《སྣར་》,mཔས།,,,,,
,,686,6,《པེ་》《སྣར་》,བསླང་བ།,,,,,
,,687,7,《པེ་》《སྣར་》,བླང་བ།,,,,,
,,688,8,《པེ་》《སྣར་》,གི།,,,,,
,,689,9,《པེ་》《སྣར་》,pནི།,,,,,
,,690,10,《པེ་》《སྣར་》,ན།,,,,,
,,691,11,《པེ་》《སྣར་》,pཡང་།,,,,,
,,692,12,《པེ་》《སྣར་》,སྐུ།,,,,,
,,693,13,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,694,14,《པེ་》《སྣར་》,གྱིས།,,,,,
,869,695,1,《པེ་》《སྣར་》,བ།,,,,,
,,696,2,《པེ་》《སྣར་》,ཆ།,,,,,
,,697,3,《པེ་》,བསྒོམ་ན།,《སྣར་》,བསྒོམ་ནས།,,,
,,698,4,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,699,5,《པེ་》《སྣར་》,pབ།,,,,,
,,700,6,《པེ་》《སྣར་》,བས།,,,,,
,,701,7,《པེ་》《སྣར་》,བར།,,,,,
,870,702,1,《པེ་》《སྣར་》,རིམས་ཀྱི།,,,,,
,,703,2,《པེ་》《སྣར་》,བ།,,,,,
,,704,3,《པེ་》《སྣར་》,རིགས།,,,,,
,,705,4,《པེ་》《སྣར་》,pངེས་པར་སྒྲུབ་པ་དང་།,,,,,
,,706,5,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,707,6,《པེ་》《སྣར་》,རྟོག,,,,,
,871,708,1,《པེ་》《སྣར་》,pདེ་སྐད།,,,,,
,,709,2,《པེ་》《སྣར་》,mཚོགས་ཀྱིས།།,,,,,
,,710,3,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,711,4,《པེ་》《སྣར་》,རང་།,,,,,
,,712,5,《པེ་》《སྣར་》,རང་སྟེའོ།,,,,,
,,713,6,《པེ་》《སྣར་》,pཔར།,,,,,
,,714,7,《སྣར་》,པ།,,,,,
,,715,8,《པེ་》《སྣར་》,pསེམས་དཔའ་ཆེན་པོ།,,,,,
,,716,9,《པེ་》《སྣར་》,པས།,,,,,
,,717,10,《པེ་》《སྣར་》,རང་བ།,,,,,
,872,718,1,《པེ་》《སྣར་》,པ།,,,,,
,,719,2,《པེ་》《སྣར་》,mཆེན་པོ།,,,,,
,,720,3,《པེ་》《སྣར་》,mབ།,,,,,
,,721,4,《པེ་》《སྣར་》,ཞུས།,,,,,
