མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,107,7,《པེ་》《སྣར་》,སྒོམ།,
,,108,8,《པེ་》《སྣར་》,པའོ།,
,,109,9,《པེ་》《སྣར་》《ཅོ་》,བཞི།,
,,110,10,《པེ་》《སྣར་》,བསོགས།,
,,111,11,《པེ་》《སྣར་》,བསྒྱུར།,
,,112,12,《པེ་》《སྣར་》,པ་སྟེ།,
,,113,13,《པེ་》《སྣར་》,བདུན།,
,,114,14,《པེ་》《སྣར་》,བཞིན།,
,,115,15,《པེ་》《སྣར་》,གཉིས་ཀ་བཞན་གྱིས།,
,,116,16,《པེ་》《སྣར་》,ཡིས།,
,,117,17,《པེ་》《སྣར་》,སྦྱར།,
,1329,118,1,《པེ་》《སྣར་》,གིས།,
,,119,2,《པེ་》《སྣར་》,ས།,
,,120,3,《པེ་》《སྣར་》,ཞེས།,
,,121,4,《པེ་》《སྣར་》,བཞི་ཞེས།,
,,122,5,《པེ་》《སྣར་》,སྒོམ།,
,,123,6,《པེ་》《སྣར་》,གསུངས།,
,,124,7,《པེ་》《སྣར་》,ཡོད།,
,1330,125,1,《པེ་》《སྣར་》,སྒོམ།,
,,126,2,《པེ་》,གསུངས་པ་ནི།,《སྣར་》,གསུངས་པ་ན།
,,127,3,《པེ་》《སྣར་》,གསུངས།,
,,128,4,《སྣར་》,ཀྱིས།,
,,129,5,《པེ་》《སྣར་》,མེད།,
,,130,6,《པེ་》《སྣར་》,ཡིས།,
,,131,7,《པེ་》《སྣར་》,ཡོད།,
,,132,8,《པེ་》《སྣར་》,གསུངས། །སྒོམ།,
,,133,9,《པེ་》《སྣར་》,རྒྱུད།,
,,134,10,《པེ་》《སྣར་》,བརྟན།,
,,135,11,《པེ་》《སྣར་》,བསྟེན།,
,1331,136,1,《པེ་》《སྣར་》,བསྐྱེད་པའི།,
,,137,2,《པེ་》《སྣར་》,བཞག,
,,138,3,《པེ་》《སྣར་》,ཡིས།,
,,139,4,《པེ་》《སྣར་》,ཟླས།,
,,140,5,《སྣར་》,ནི།,
,,141,6,《པེ་》《སྣར་》,བསྒོམས།,
,,142,7,《པེ་》《སྣར་》,ལ།,
,,143,8,《པེ་》《སྣར་》,སོ།,
,,144,9,《པེ་》《སྣར་》,བསྒོམ།,
,1332,145,1,《པེ་》《སྣར་》,སྐྱེ།,
,,146,2,《པེ་》《སྣར་》,ས།,
,,147,3,《པེ་》《སྣར་》,བས།,
,,148,4,《པེ་》《སྣར་》,གཅིག,
,,149,5,《པེ་》《སྣར་》,དཔག་པའི་དགོས།,
,,150,6,《པེ་》《སྣར་》,བསྒོམ།,
,,151,7,《པེ་》《སྣར་》,བརྗོད།,
,,152,8,《པེ་》《སྣར་》,བ།,
,,153,9,《པེ་》《སྣར་》,བྱའི།,
,,154,10,《སྣར་》,རྟོགས།,
,,155,11,《པེ་》《སྣར་》,ཡིས།,
,1333,156,1,《པེ་》《སྣར་》,བླངས།,
,,157,2,《པེ་》《སྣར་》,ཕམ།,
,,158,3,《སྣར་》,ཚེ།,
,,159,4,《པེ་》《སྣར་》,ནི།,
,,160,5,《པེ་》《སྣར་》,ཏེ།,
,,161,6,《སྣར་》,ཐགས།,
,,162,7,《པེ་》《སྣར་》,པ།,
,,163,8,《པེ་》《སྣར་》,བསྐྱེད་པར།,
,,164,9,《པེ་》《སྣར་》,ཡིས།,
,,165,10,《པེ་》《སྣར་》,མཐར་ལམ་སྒོམ་ལམ་གྱིས།,
,1334,166,1,《པེ་》《སྣར་》,སྒོམ།,
,,167,2,《པེ་》《སྣར་》,ཕྱི་མའི།,
,,168,3,《པེ་》《སྣར་》,ནས།,
,,169,4,《པེ་》《སྣར་》,དཔོགས།,
,,170,5,《པེ་》《སྣར་》,དཔོགས།,
,,171,6,《པེ་》《སྣར་》,གྱི་དཔོགས།,
,,172,7,《པེ་》《སྣར་》,དཔགས།,
,,173,8,《པེ་》《སྣར་》,སྐྱེད།,
,,174,9,《སྣར་》,ཡིས།,
,,175,10,《པེ་》《སྣར་》,མོ།,
,,176,11,《པེ་》《སྣར་》,གྱིས།,
,,177,12,《པེ་》《སྣར་》,སྒོམ།,
,,178,13,《པེ་》《སྣར་》,ནི།,
,,179,14,《པེ་》《སྣར་》,གཉིས།,
,,180,15,《པེ་》《སྣར་》,mདོ།,
,,181,16,《པེ་》《སྣར་》,བཟློས།,
,,182,17,《པེ་》《སྣར་》,ཆུས་ཁྱེར་དཔེར།,
,1335,183,1,《པེ་》《སྣར་》,གཉིས།,
,,184,2,《པེ་》《སྣར་》,གསུངས།,
,,185,3,《པེ་》《སྣར་》,གསུངས་པས།,
,,186,4,《པེ་》《སྣར་》,ལ།,
,,187,5,《སྣར་》,ཐག,
,,188,6,《པེ་》《སྣར་》,གསུངས།,
,,189,7,《པེ་》《སྣར་》,གཏིང་ཚིག,
,,190,8,《སྣར་》,ཀྱིས།,
,,191,9,《པེ་》,དེ་ན།,《སྣར་》,དེ་ནི།
,,192,10,《པེ་》《སྣར་》,བཟློས།,
,,193,11,《པེ་》《སྣར་》,གསུངས་ཏེ།,
,,194,12,《སྣར་》,ཤྟི།,
,,195,13,《པེ་》《སྣར་》,ལ་མཁས་པའི།,
,,196,14,《པེ་》《སྣར་》,རྟགས།,
,1336,197,1,《པེ་》《སྣར་》,རིམ་ཡང་།,
,,198,2,《སྣར་》,རྒྱུ།,
,,199,3,《པེ་》,གྱིས།,
,,200,4,《པེ་》《སྣར་》,བཏགས་ཤེས།,
,,201,5,《པེ་》《སྣར་》,ཡིས།,
,,202,6,《པེ་》《སྣར་》,བྱུང་།,
,,203,7,《པེ་》《སྣར་》,སྤངས།,
,,204,8,《པེ་》《སྣར་》,བྱུང་།,
,,205,9,《པེ་》《སྣར་》,རྟོགས།,
,1337,206,1,《པེ་》《སྣར་》,འཕྲུལ།,
,,207,2,《པེ་》《སྣར་》,རྟོགས་བཅས་རྟོགས།,
,,208,3,《པེ་》《སྣར་》,ཡིས།,
,,209,4,《པེ་》《སྣར་》,རྟོགས།,
,,210,5,《པེ་》《སྣར་》,གིས།,
,,211,6,《པེ་》《སྣར་》,རྟོགས།,
,,212,7,《པེ་》《སྣར་》,ནི།,
,,213,8,《པེ་》《སྣར་》,རྟོགས།,
,,214,9,《པེ་》《སྣར་》,རྟོགས།,
,,215,10,《པེ་》《སྣར་》,བསལ།,
,,216,11,《པེ་》《སྣར་》,རྟོགས།,
,1338,217,1,《པེ་》,སྡུས།,
,,218,2,《པེ་》《སྣར་》,ལོག་པར་བསྒྲུབ།,
,,219,3,《པེ་》《སྣར་》,སུ།,
,,220,4,《པེ་》《སྣར་》,བསྒྲུབ།,
,,221,5,《པེ་》《སྣར་》,ནི།,
,,222,6,《སྣར་》,པས།,
,,223,7,《པེ་》《སྣར་》,སོ།,
,,224,8,《སྣར་》,ཡོང་།,
,,225,9,《པེ་》《སྣར་》,འདུག,
,,226,10,《པེ་》《སྣར་》,གསུང་།,
,,227,11,《པེ་》《སྣར་》,གསུང་།,
,,228,12,《པེ་》《སྣར་》,ཀྱིས།,
,,229,13,《པེ་》《སྣར་》,ཞེས།,
,,230,14,《པེ་》《སྣར་》,ཡིན།,
,1339,231,1,《སྣར་》,གྱིས།,
,,232,2,《པེ་》,ལྗོག,
,,233,3,《པེ་》《སྣར་》,མཆེད།,
,,234,4,《པེ་》《སྣར་》,པ།,
,,235,5,《པེ་》《སྣར་》,ནི།,
,,236,6,《པེ་》《སྣར་》,གྲུབ།,
,,237,7,《པེ་》,གྱིས།,
,,238,8,《པེ་》《སྣར་》,འོག,
,,239,9,《པེ་》《སྣར་》,དུ།,
,,240,10,《པེ་》《སྣར་》,རྒྱན།,
,,241,11,《པེ་》《སྣར་》,རྗོད།,
,1340,242,1,《པེ་》《སྣར་》,ནི།,
,,243,2,《པེ་》《སྣར་》,mདེ་ལྟ་བ་དང་དེ་ལྟ་བུར།།,
,,244,3,《སྣར་》,མ།,
,,245,4,《པེ་》《སྣར་》,ཡིས།,
,,246,5,《པེ་》《སྣར་》,འགོད།,
,,247,6,《པེ་》《སྣར་》,ཟླས།,
,,248,7,《པེ་》《སྣར་》,ལ།,
,,249,8,《སྣར་》,བྱ་བ།,
,,250,9,《པེ་》,རྟོགས།,
,,251,10,《པེ་》《སྣར་》,དོན་བསྡུས།,
,,252,11,《པེ་》《སྣར་》,ལོཙྪ།,
,,253,12,《པེ་》《སྣར་》,mབའོ།,
,,254,13,《པེ་》《སྣར་》,pསླད་ཀྱི་དཔལ་བསམ་ཡས་ལྷུན་གྱི་གྲུབ་པའི་རིག་པ་འབྱུང་བའི་གནས་སུ། དཱི་པཾ་ཀ་ར་ཤྲཱི་ཛྙཱ་ནས་ཉི་ཁྲི་བཤད་པའི་དུས་སུ་འདིར་བཤད་པ་ནས་བཏོན། ཕྱིས་ལོ་པཎ་གཉིས་ཀྱིས་བི་བར་ཏ་ཡིས་གསུངས་པ་དག་པའི་དཔེར་ཚུད་པའོ། །འདི་དཔེ་ཕྱི་མོ་དང་བི་བར་ཏ་དང་རྒྱ་དཔེ་གསུམ་མཆིམས་ཕུ་ན། བེེ་རོ་ཙ་ནས་བསྒྱུར་བའི་འབུམ་ཤ་སྒྲོ་ཅན་གྱིས་ནང་ན་ཡོད་དོ་སྐད། བཀྲ་ཤིས། །,
