མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།
,85,2,1,《པེ་》《སྣར་》,mབ།
,86,3,1,《པེ་》《སྣར་》,བཅས།
,,4,2,《པེ་》《སྣར་》,སྟོད།
,,5,3,《པེ་》《སྣར་》,ཧོཾ་བཅུ་བཙུགས།
,,6,4,《པེ་》《སྣར་》,གི།
,,7,5,《པེ་》《སྣར་》,ཐ།
,,8,6,《པེ་》《སྣར་》,བ།
,,9,7,《པེ་》《སྣར་》,ཀྱི།
,,10,8,《པེ་》《སྣར་》,ཀྱི།
,87,11,1,《པེ་》《སྣར་》,དབྱུག
,,12,2,《སྣར་》,བཙིགས།
,,13,3,《པེ་》《སྣར་》,བཻ།
,,14,4,《པེ་》《སྣར་》,བཟློག
,,15,5,《པེ་》《སྣར་》,mབསྐྱེད་དོ།།
,,16,6,《པེ་》《སྣར་》,པར།
,,17,7,《པེ་》《སྣར་》,ཆེ།
,88,18,1,《པེ་》《སྣར་》,སྟེ།
,,19,2,《པེ་》《སྣར་》,མཤྩཎྜ་བཛྲ་ཀྲོ་དྷ།
,,20,3,《པེ་》《སྣར་》,ན།
,,21,4,《པེ་》《སྣར་》,ཛྭཱ་ལ་ཛྭཱ།
,,22,5,《པེ་》《སྣར་》,ཛྭ་བཱ།
,,23,6,《པེ་》《སྣར་》,སྤངས་སྟེངས།
,89,24,1,《པེ་》《སྣར་》,བཀང་།
,,25,2,《པེ་》《སྣར་》,རངས་པར།
