མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
ཐེག་པ་ཆེན་པོ་བསྡུས་པ།,3,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《སྣར་》,ས།,,,,,,
,,4,3,《པེ་》《སྣར་》,mབམ་པོ་དང་པོ། བཅོམ་ལྡན་འདས་འཕགས་པ་འོད་དཔག་ཏུ་མེད་པ་དང་།,,,,,,
,,5,4,《པེ་》《སྣར་》,ཤེས་བྱའི།,,,,,,
,,6,5,《པེ་》《སྣར་》,ཤེས་བྱའི།,,,,,,
,4,7,1,《པེ་》《སྣར་》,mདེ།,,,,,,
,,8,2,《པེ་》,mཔར།,,,,,,
,,9,3,《པེ་》《སྣར་》,mདེ་ལ།,,,,,,
,,10,4,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,11,5,《སྣར་》《ཅོ་》,ཀྱིས།,,,,,,
,,12,6,《པེ་》《སྣར་》,མདོའི།,,,,,,
,,13,7,《སྣར་》,ཀྱིས།,,,,,,
,,14,8,《པེ་》《སྣར་》,དེས།,,,,,,
,,15,9,《པེ་》《སྣར་》,pཔོ།,,,,,,
,,16,10,《པེ་》《སྣར་》,སྒོམ་པར།,,,,,,
,,17,11,《ཅོ་》,ནོ།,,,,,,
,5,18,1,《སྣར་》,mརྣམས།,,,,,,
,,19,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,20,3,《པེ་》《སྣར་》,དཀར།,,,,,,
,6,21,1,《པེ་》《སྣར་》,རིམ།,,,,,,
,,22,2,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,23,3,《སྣར་》,དབང་།,,,,,,
,,24,4,《པེ་》《སྣར་》,པར་བྱ་བའི་ཕྱིར།,,,,,,
,,25,5,《པེ་》《སྣར་》,ལ།,,,,,,
,,26,6,《པེ་》《སྣར་》,རྟོག་པ།,,,,,,
,,27,7,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,7,28,1,《པེ་》《སྣར་》,ཐོབ།,,,,,,
,,29,2,《པེ་》《སྣར་》,པོར།,,,,,,
,,30,3,《པེ་》《སྣར་》,བོ་བཞིན་དུ།,,,,,,
,,31,4,《པེ་》《སྣར་》,ཐམས་ཅད།,,,,,,
,,32,5,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,33,6,《པེ་》《སྣར་》,mལུས་ཐམས་ཅད་ཉེ་བར་ལེན་པའི་གནས་སུ་འགྱུར་བའི་ཕྱིར།,,,,,,
,,34,7,《པེ་》,གཟུང་།,,,,,,
,,35,8,《པེ་》《སྣར་》,mན།,,,,,,
,8,36,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,37,2,《པེ་》《སྣར་》,པ།,,,,,,
,,38,3,《པེ་》《སྣར་》,དག,,,,,,
,,39,4,《པེ་》《སྣར་》,pསེམས་པའི།,,,,,,
,,40,5,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,41,6,《པེ་》《སྣར་》,པ་པ།,,,,,,
,,42,7,《པེ་》《སྣར་》,ང་བོ།,,,,,,
,9,43,1,《སྣར་》,pཔ།,,,,,,
,,44,2,《པེ་》《སྣར་》,པར།,,,,,,
,,45,3,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,46,4,《སྣར་》,mརྣམ་པ།,,,,,,
,,47,5,《སྣར་》,ནི།,,,,,,
,,48,6,《པེ་》《སྣར་》,འཁྱུད།,,,,,,
,,49,7,《པེ་》,mན།,,,,,,
,10,50,1,《པེ་》《སྣར་》,ཤེས།,,,,,,
