མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,107,3,《པེ་》《སྣར་》,བར།,
,,108,4,《པེ་》《སྣར་》,པ།,
,,109,5,《པེ་》《སྣར་》,མཐའ་མར་བསད།,
,549,110,1,《པེ་》《སྣར་》,གཏོན་ཏེ།,
,,111,2,《པེ་》《སྣར་》,བསླབས།,
,,112,3,《པེ་》《སྣར་》,བཅད།,
,,113,4,《པེ་》,བྱའོ།,
,,114,5,《པེ་》《སྣར་》,ཛི།,
,,115,6,《པེ་》,བརྣ།,
,,116,7,《པེ་》《སྣར་》,དཀྲི།,
,550,117,1,《པེ་》《སྣར་》,བསམ།,
,,118,2,《པེ་》《སྣར་》,སྒྲུབ།,
,,119,3,《པེ་》,པོ་ལ་དུག་པོར།,《སྣར་》,པོ་ལ་དུག་སྤོ།
,,120,4,《པེ་》《སྣར་》,བསྡུད།,
,,121,5,《པེ་》《སྣར་》,བཏང་བར།,
,551,122,1,《པེ་》《སྣར་》,བཞག,
,,123,2,《པེ་》《སྣར་》,བཞག,
,,124,3,《པེ་》《སྣར་》,mཔ།,
,,125,4,《པེ་》《སྣར་》,ལ།,
,,126,5,《པེ་》《སྣར་》,པདྨ།,
,,127,6,《པེ་》,pབ།,
,,128,7,《པེ་》《སྣར་》,བཟུང་།,
,,129,8,《པེ་》,རླབས།,《སྣར་》,བརླབས།
,552,130,1,《པེ་》,ཀི།,
,,131,2,《པེ་》《སྣར་》,སྣང་།,
,553,132,1,《པེ་》《སྣར་》,མཚམ།,
,,133,2,《པེ་》《སྣར་》,mཉིད།,
,,134,3,《པེ་》《སྣར་》,mདུ།,
,,135,4,《པེ་》《སྣར་》,ཉིད།,
,,136,5,《པེ་》《སྣར་》,གི།,
,,137,6,《པེ་》《སྣར་》,པའི་དམ་པ།,
,,138,7,《པེ་》《སྣར་》,བསྒྲུབ།,
,,139,8,《པེ་》,གཟུགས་སོ།,
,,140,9,《པེ་》《སྣར་》,གཟུང་ལ།,《སྣར་》,བཟུང་ལ།
,,141,10,《པེ་》《སྣར་》,བསད།,
,554,142,1,《པེ་》《སྣར་》,པར།,
,,143,2,《པེ་》,གྱིས་བཅུད་ཀྱི།,《སྣར་》,གྱི་བཅུད་ཀྱི།
,,144,3,《པེ་》《སྣར་》,བརྒྱན་གྱི།,
,,145,4,《པེ་》《སྣར་》,པས།,
,,146,5,《པེ་》《སྣར་》,བཞག,
,,147,6,《པེ་》《སྣར་》,རིག,
,,148,7,《པེ་》《སྣར་》,mནི།,
,555,149,1,《པེ་》《སྣར་》,ཏོ།,
,,150,2,《པེ་》《སྣར་》,དྲེག,
,,151,3,《པེ་》《སྣར་》,mཔར།,
,,152,4,《པེ་》,བསྩོལ།,
,,153,5,《པེ་》《སྣར་》,mབླ་ན་མེད་པའི་ཡང་།,
,,154,6,《པེ་》《སྣར་》,གྱིས།,
,,155,7,《སྣར་》,mལ།,
,,156,8,《པེ་》《སྣར་》,རྩོལ།,
,,157,9,《པེ་》,བླུག,
,,158,10,《པེ་》,བསམ།,
,,159,11,《པེ་》《སྣར་》,པས།,
,556,160,1,《པེ་》《སྣར་》,mཡང་།,
,,161,2,《པེ་》《སྣར་》,གནས།,
,,162,3,《པེ་》《སྣར་》,མོའི།,
,,163,4,《པེ་》《སྣར་》,mན།,
,557,164,1,《སྣར་》,འབྱེད།,
,,165,2,《པེ་》《སྣར་》,mརྡོ་རྗེའི།,
,,166,3,《པེ་》《སྣར་》,mནས།,
,,167,4,《པེ་》《སྣར་》,mཞུས་ཏེ།,
,,168,5,《པེ་》,pམངྒཱལཾ། །,《སྣར་》,pབཀྲ་ཤིས། །
