མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།
,73,2,1,《པེ་》《སྣར་》,མཆོག
,,3,2,《པེ་》《སྣར་》,པོ།
,74,4,1,《པེ་》《སྣར་》,པོ།
,,5,2,《པེ་》《སྣར་》,mམ།
,,6,3,《པེ་》《སྣར་》,mསྒྲ་གྲག
,,7,4,《པེ་》《སྣར་》,mཧ་ཏ།
,,8,5,《པེ་》《སྣར་》,mཧྱེ།
,75,9,1,《པེ་》《སྣར་》,སྤྱན།
,,10,2,《པེ་》《སྣར་》,བསྟོད་པར།
,,11,3,《པེ་》《སྣར་》,པར།
,,12,4,《པེ་》《སྣར་》,བཟངས།
