མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,,86,3,《པེ་》《སྣར་》,རྡུང་།,,,,,,
,,87,4,《པེ་》《སྣར་》,འཁུར།,,,,,,
,,88,5,《པེ་》《སྣར་》,གཅད།,,,,,,
,,89,6,《པེ་》《སྣར་》,རྣ།,,,,,,
,,90,7,《པེ་》《སྣར་》,རྒྱར།,,,,,,
,,91,8,《པེ་》《སྣར་》,མི།,,,,,,
,,92,9,《པེ་》《སྣར་》,རྩེ།,,,,,,
,,93,10,《པེ་》《སྣར་》,པ།,,,,,,
,,94,11,《པེ་》,འཆེས།;《སྣར་》,བ་ཆེས།,,,,,
,746,95,1,《པེ་》《སྣར་》,ཐིག,,,,,,
,,96,2,《པེ་》《སྣར་》,འདྲུལ།,,,,,,
,,97,3,《པེ་》《སྣར་》,ན།,,,,,,
,,98,4,《པེ་》《སྣར་》,མ་འདྲེས།,,,,,,
,,99,5,《པེ་》《སྣར་》,བུར།,,,,,,
,,100,6,《པེ་》《སྣར་》,སྐྱོབ།,,,,,,
,,101,7,《པེ་》《སྣར་》,གསུངས།,,,,,,
,,102,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,103,9,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,,,,,
,,104,10,《སྣར་》,རྒྱུ།,,,,,,
,,105,11,《པེ་》《སྣར་》,འགྲོའོ།,,,,,,
,,106,12,《པེ་》《སྣར་》,བཞིན།,,,,,,
,,107,13,《པེ་》《སྣར་》,སྟན་འགན།,,,,,,
,,108,14,《པེ་》《སྣར་》,ན།,,,,,,
,,109,15,《པེ་》,pདང་།,,,,,,
,747,110,1,《པེ་》《སྣར་》,གཏིང་།,,,,,,
,,111,2,《པེ་》《སྣར་》,སླད།,,,,,,
