མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
དཔལ་ནག་པོ་ཆེན་པོ་ཡུམ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ། ,1617,2,1,《པེ་》《སྣར་》,༄༅། །དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།,
,,3,2,《པེ་》《སྣར་》,ས།,
,,4,3,《སྣར་》,ཤྲི།
,,5,4,《པེ་》《སྣར་》,ན།
,,6,5,《པེ་》《སྣར་》,རྣམས།
,,7,6,《པེ་》《སྣར་》,པོ།
,1618,8,1,《པེ་》《སྣར་》,ཡི།
,,9,2,《པེ་》,རྒྱན།
,,10,3,《པེ་》《སྣར་》,མོ་ཆེན་པོ།
,,11,4,《པེ་》《སྣར་》,ཧྲཱིཿ།
,,12,5,《པེ་》《སྣར་》,གཙིག།
,,13,6,《པེ་》《སྣར་》,pན།
,1619,14,1,《པེ་》《སྣར་》,ཀྲ།
,,15,2,《པེ་》《སྣར་》,རཀྵ།
,,16,3,《པེ་》《སྣར་》,mབ།
,,17,4,《པེ་》《སྣར་》,ཀླག
,,18,5,《པེ་》《སྣར་》,ཊི།
,,19,6,《པེ་》《སྣར་》,ལྔའི།
,,20,7,《པེ་》《སྣར་》,རྩིའི།
,,21,8,《པེ་》《སྣར་》,བྱས།
,,22,9,《པེ་》,ལིཾ།,《སྣར་》,མ་ལིཾ།
,,23,10,《པེ་》《སྣར་》,pཊྚ།
,,24,11,《པེ་》《སྣར་》,ཀཱ།
,,25,12,《པེ་》《སྣར་》,ཥོ྅་པཥྩ་མ་ཀ་ལོ྅་ཡྃ། ཡ་དི་ཏྭཾ། པྲ་ཏི་ཛྙཾ།
,,26,13,《པེ་》《སྣར་》,དེ་མཾ།
,,27,14,《པེ་》《སྣར་》,mཡཱ།
,,28,15,《པེ་》《སྣར་》,དུཥྚཾ་ཁ་ཁཱ།
,,29,16,《སྣར་》,མ།
,,30,17,《པེ་》《སྣར་》,ཞེས།
,,31,18,《པེ་》《སྣར་》,ལི།
,,32,19,《པེ་》《སྣར་》,pསྭཱ་ཧཱ།
,,33,20,《པེ་》《སྣར་》,མོ།
,1620,34,1,《སྣར་》,ཀ
,,35,2,《པེ་》《སྣར་》,མའི་འོ།
,,36,3,《པེ་》,ཝ་ར་ཊཱི།,《སྣར་》,ཝ་རཱ་ཌཱི།
,,37,4,《པེ་》《སྣར་》,ཝ་ར་ཊིའི།
,,38,5,《པེ་》《སྣར་》,བེཏྟཱ་ལི།
,,39,6,《སྣར་》,།། །།
,,40,7,《པེ་》《སྣར་》,ཚོན།
,,41,8,《པེ་》《སྣར་》,པས།
,1621,42,1,《པེ་》《སྣར་》,བྱ་ཞིང་།
,,43,2,《པེ་》《སྣར་》,pལ།
,,44,3,《པེ་》,mམ།
,,45,4,《པེ་》,བགོགས།
,,46,5,《པེ་》《སྣར་》,ཡ།
,,47,6,《པེ་》《སྣར་》,ཞེས།
,,48,7,《པེ་》,ཀྱིས།
,1622,49,1,《སྣར་》,རིངས།
,,50,2,《པེ་》《སྣར་》,དུཥྚན་དི་ནི།
,,51,3,《པེ་》《སྣར་》,ལཱི།
,,52,4,《པེ་》《སྣར་》,དུཥྚན་དེ།
,,53,5,《པེ་》《སྣར་》,pཧཱུཾ་ཧཱུཾ།
,,54,6,《པེ་》《སྣར་》,ལྔ་སྔགས་ནི།
,,55,7,《པེ་》《སྣར་》,གྱིས།
,,56,8,《པེ་》《སྣར་》,ཧོཿས།
,,57,9,《པེ་》《སྣར་》,པྲ།
,,58,10,《པེ་》《སྣར་》,རྩལ།
,,59,11,《པེ་》,ཐར་ག,《སྣར་》,བཙུག
,,60,12,《པེ་》《སྣར་》,ཐང་ག
,,61,13,《པེ་》《སྣར་》,མཐོ།
,,62,14,《པེ་》《སྣར་》,བྱུག་པར།
,,63,15,《པེ་》《སྣར་》,རྗེ།
,,64,16,《པེ་》《སྣར་》,ཡུང་།
,1623,65,1,《པེ་》《སྣར་》,གསལ།
,,66,2,《སྣར་》,བསད།
,,67,3,《པེ་》《སྣར་》,ཀྱིས་ཙང་།
,,68,4,《པེ་》《སྣར་》,གཡས།
,1624,69,1,《པེ་》《སྣར་》,mཅན།
,,70,2,《པེ་》《སྣར་》,བཱ།
,,71,3,《པེ་》《སྣར་》,མངའ།
,,72,4,《པེ་》《སྣར་》,ལོཙྖ།
