མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,108,5,《པེ་》《སྣར་》,བརྟགས།,
,,109,6,《པེ་》《སྣར་》,རྟོགས།,
,,110,7,《པེ་》《སྣར་》,གཉེན།,
,,111,8,《པེ་》《སྣར་》,ཡིད།,
,328,112,1,《པེ་》《སྣར་》,ཀྱི།,
,,113,2,《པེ་》《སྣར་》,གི།,
,,114,3,《པེ་》《སྣར་》,ཙམ་དུ།,
,,115,4,《པེ་》《སྣར་》,ཆོས།,
,,116,5,《པེ་》《སྣར་》,ཡི།,
,,117,6,《པེ་》《སྣར་》,ས།,
,,118,7,《པེ་》《སྣར་》,བཏོན།,
,,119,8,《སྣར་》,གྱི།,
,,120,9,《པེ་》《སྣར་》,ཀྱི།,
,329,121,1,《པེ་》《སྣར་》,རིགས།,
,,122,2,《པེ་》《སྣར་》,མིན།,
,,123,3,《པེ་》《སྣར་》,།། །།,
