མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,93,2,《པེ་》《སྣར་》,mཔ།,
,,94,3,《པེ་》《སྣར་》,པས།,
,,95,4,《པེ་》《སྣར་》,mཅན།,
,,96,5,《པེ་》《སྣར་》,pགི།,
,,97,6,《པེ་》《སྣར་》,ཞམ།,
,,98,7,《པེ་》《སྣར་》,བསྟན།,
,661,99,1,《པེ་》《སྣར་》,ཏོ། །དེས་ནི་ཞམ།,
,,100,2,《པེ་》《སྣར་》,pརྣམ་པར།,
,,101,3,《སྣར་》,mལ།,
,,102,4,《པེ་》《སྣར་》,དཔའི།,
,662,103,1,《པེ་》《སྣར་》,ཀྱིས།,
,,104,2,《པེ་》《སྣར་》,pམ།,
,,105,3,《པེ་》《སྣར་》,ཊི། ཀྵན་ཊི།,
,,106,4,《པེ་》《སྣར་》,pགང་ཡང་།,
,,107,5,《པེ་》《སྣར་》,pའདི།,
,,108,6,《པེ་》《སྣར་》,pཔ་ཉིད།,
,,109,7,《པེ་》《སྣར་》,pདེ་དག,
,,110,8,《པེ་》《སྣར་》,mཀྱི།,
,,111,9,《སྣར་》,pདེ།,
,663,112,1,《པེ་》《སྣར་》,སྟོང་པ་ཀུན་ཏུ།,
,,113,2,《པེ་》《སྣར་》,pནི།,
,,114,3,《པེ་》《སྣར་》,pབ།,
,,115,4,《པེ་》《སྣར་》,བྱས་ཏེ།,
,,116,5,《པེ་》《སྣར་》,གིས།,
,,117,6,《པེ་》《སྣར་》,འཁྲུགས།,
,,118,7,《པེ་》《སྣར་》,pབྱེད་པར།,
,664,119,1,《པེ་》《སྣར་》,བརླབས་ཏེ།,
,,120,2,《པེ་》《སྣར་》,pགོང་མ།,
,,121,3,《པེ་》,ཆེད།,《སྣར་》,ཚད།
,,122,4,《པེ་》《སྣར་》,གྲུབ།,
,,123,5,《པེ་》《སྣར་》,དང་། སྔོན་མ།,
,,124,6,《པེ་》《སྣར་》,ཐོས།,
,,125,7,《པེ་》,པའི།,《སྣར་》,པོའི།
,,126,8,《པེ་》《སྣར་》,དཔའ།,
,,127,9,《པེ་》《སྣར་》,གཟུགས་པའི།,
