མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,709,108,1,《པེ་》,པུ།
,,109,2,《པེ་》《སྣར་》,ཀའི།
,,110,3,《པེ་》,ཕྱིན།
,,111,4,《པེ་》,བྱུག
,,112,5,《པེ་》《སྣར་》,བྷི་ཏ།
,,113,6,《པེ་》《སྣར་》,རི།
,710,114,1,《པེ་》,ཎྜུ།
,,115,2,《པེ་》,སོའི།
,,116,3,《པེ་》,ཋཱའི།,《སྣར་》,ཐཱའི།
,,117,4,《པེ་》,རྀ་ཥྀ།
,,118,5,《པེ་》《སྣར་》,ཐག
,,119,6,《པེ་》,ཝརྞསེ།
,,120,7,《པེ་》,བྲྀ།
,,121,8,《པེ་》,བཾ།,《སྣར་》,བམ།
,,122,9,《པེ་》,ཧྭའི།
,,123,10,《པེ་》《སྣར་》,པྲྀ་ཥྲ།
,,124,11,《པེ་》,ཐག་བྱུང་།,《སྣར་》,ཐག་བྱུགས།
,711,125,1,《པེ་》《སྣར་》,བ།
,,126,2,《པེ་》《སྣར་》,པཱ།
,,127,3,《པེ་》,བྷྲིག།
,,128,4,《པེ་》,ཛཾ།
,,129,5,《པེ་》《སྣར་》,མར།
,,130,6,《པེ་》,ཐུགས།
,,131,7,《སྣར་》,ཏིག
,,132,8,《པེ་》《སྣར་》,pཏིལ་གྱིས།
,,133,9,《པེ་》《སྣར་》,mཔར།
,,134,10,《པེ་》,འཕྲས།
,712,135,1,《པེ་》《སྣར་》,སྐྱེས།
,,136,2,《སྣར་》,གུ།
,,137,3,《པེ་》《སྣར་》,ནས།
,,138,4,《སྣར་》,རྣམ།
,,139,5,《སྣར་》,ཙིབ།
,,140,6,《པེ་》《སྣར་》,བྱུགས།
,,141,7,《པེ་》《སྣར་》,དུ།
,,142,8,《པེ་》,དུ།,《སྣར་》,mལས།
,,143,9,《པེ་》《སྣར་》,བྲྀཀྵ།
,,144,10,《པེ་》《སྣར་》,ཤྲིངྒ།
,,145,11,《པེ་》,ན་གྣིནཱ།
,713,146,1,《སྣར་》,ཕ།
,,147,2,《པེ་》《སྣར་》,ཙ།
