མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གྱི་ཆོ་ག་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་འགྲེལ་པ།,363,2,1,《པེ་》,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གྱི་ཆོ་ག་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་འགྲེལ་པ་བཞུགས། ,《སྣར་》,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གྱི་ཆོ་ག་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་འགྲེལ་པ་བཞུགས་སོ།།,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཀ་ལ་བཾ་ནཱ།,,,,,,
,,4,3,《པེ་》,mལ།,,,,,,
,,5,4,《པེ་》,རྒྱུད།,,,,,,
,,6,5,《སྣར་》,བསྙེད།,,,,,,
,364,7,1,《པེ་》《སྣར་》,mཔར།,,,,,,
,,8,2,《པེ་》,pཉིད།,,,,,,
,,9,3,《པེ་》,གཉེན།,,,,,,
,,10,4,《པེ་》,མཐའ།,,,,,,
,,11,5,《པེ་》《སྣར་》,pཔོ།,,,,,,
,,12,6,《པེ་》,mསྟེ།,,,,,,
,,13,7,《པེ་》,སྐྱེད།,,,,,,
,,14,8,《པེ་》,གངྒའི།,《སྣར་》,གངྒཱ།,,,,,
,,15,9,《སྣར་》,ཀྱི།,,,,,,
,,16,10,《སྣར་》,ཀྱི།,,,,,,
,,17,11,《སྣར་》,བཏད།,,,,,,
,,18,12,《སྣར་》,གཅིག,,,,,,
,,19,13,《པེ་》,པས་ཏེ།,,,,,,
,,20,14,《སྣར་》,བར།,,,,,,
,,21,15,《སྣར་》,སྟང་སྟེ།,,,,,,
,365,22,1,《སྣར་》,གྱིས།,,,,,,
,,23,2,《པེ་》,གདུགས།,,,,,,
,,24,3,《པེ་》,pབ།,,,,,,
,,25,4,《པེ་》,སྦྲུབ།,,,,,,
,,26,5,《པེ་》,དང་དང་དཔྲལ་བ།,《སྣར་》,དང་དཔྲལ་བ།,,,,,
,,27,6,《པེ་》,pམཁའ་འགྲོ་ལ་སོགས་པ་ཐམས་ཅད་འདུལ་བ་དང་།,,,,,,
,366,28,1,《པེ་》,mཔ་ནི།,,,,,,
,,29,2,《སྣར་》,དེ་ནས།,,,,,,
,,30,3,《སྣར་》,འཇིགས།,,,,,,
,,31,4,《སྣར་》,mནམ།,,,,,,
,,32,5,《པེ་》,mཔ་དྲེགས།,《སྣར་》,པ་དྲེག,,,,,
,,33,6,《པེ་》,སྡང་བར།,,,,,,
,,34,7,《སྣར་》,བཟང་།,,,,,,
,,35,8,《སྣར་》,འདབས་བཟང་།,,,,,,
,,36,9,《པེ་》,གི།,,,,,,
,,37,10,《པེ་》,mཀྱིས།,《སྣར་》,ཀྱི།,,,,,
,,38,11,《པེ་》《སྣར་》,པ་ཁྲིས།,,,,,,
,,39,12,《པེ་》,གདུགས་པ་ཅན་རྣམས།,《སྣར་》,དུག་པ་ཅན་རྣམ།,,,,,
,,40,13,《པེ་》,གནོན།,,,,,,
,,41,14,《སྣར་》,mདང་།,,,,,,
,367,42,1,《པེ་》,བརླག,,,,,,
,,43,2,《པེ་》,ལོ།,,,,,,
,,44,3,《སྣར་》,འཁྲུགས།,,,,,,
,,45,4,《པེ་》,དཔའ་སྐོང་།,,,,,,
,,46,5,《པེ་》,འཆི།,,,,,,
,,47,6,《པེ་》,བརླག,《སྣར་》,རླགས།,,,,,
,,48,7,《པེ་》,སྐུན།,,,,,,
,,49,8,《པེ་》,པས་ན།,,,,,,
,,50,9,《སྣར་》,pགནས།,,,,,,
,,51,10,《སྣར་》,ཀྱི།,,,,,,
,,52,11,《པེ་》,mསྨོས་པ་ལ། དེ་ནས་ཞེས།,,,,,,
,,53,12,《སྣར་》,ཀྱི།,,,,,,
,,54,13,《སྣར་》,གསུངས་པ།,,,,,,
,,55,14,《སྣར་》,ཀྱི།,,,,,,
,368,56,1,《པེ་》,མོ།,,,,,,
,,57,2,《སྣར་》,གི།,,,,,,
,,58,3,《པེ་》,mདེ་དག,,,,,,
,,59,4,《པེ་》《སྣར་》,བཱན།,,,,,,
,,60,5,《སྣར་》,གཱ།,,,,,,
,,61,6,《སྣར་》,ཏི།,,,,,,
,,62,7,《པེ་》《སྣར་》,བདག་པོའོ།,,,,,,
,,63,8,《པེ་》《སྣར་》,དོ།,,,,,,
,,64,9,《པེ་》,ནི་ལཱྃ།,,,,,,
,,65,10,《པེ་》,རཱཾ།,,,,,,
,,66,11,《པེ་》,དོ།,,,,,,
,,67,12,《པེ་》,ཧྲི་ད་ཡཾ།,《སྣར་》,ཧྲི་ད་ཡམ།,,,,,
,,68,13,《སྣར་》,གི།,,,,,,
,,69,14,《པེ་》,ངཱ།,,,,,,
,,70,15,《སྣར་》,མདོར།,,,,,,
,,71,16,《པེ་》,ཨུ་ཏྤད།,,,,,,
,,72,17,《པེ་》,pཏི་ཞེས་པ།,《སྣར་》,pཏི་ཞེ་པ།,,,,,
,,73,18,《པེ་》,བུདྷ་བུདྷ།,,,,,,
,,74,19,《པེ་》,གྱིས།,,,,,,
,,75,20,《སྣར་》,ཿ།,,,,,,
,,76,21,《པེ་》,བདྷེག,,,,,,
,369,77,1,《པེ་》《སྣར་》,ཧྲི།,,,,,,
,,78,2,《པེ་》《སྣར་》,ཆོམ།,,,,,,
,,79,3,《པེ་》《སྣར་》,མ།,,,,,,
,,80,4,《པེ་》,ཆོམ་ཞིག,《སྣར་》,ཆོམ་ཤིག,,,,,
,,81,5,《པེ་》,རཱ།,,,,,,
,,82,6,《པེ་》,ཆོམ་ཞིག,《སྣར་》,ཆོམ་ཤིག,,,,,
,,83,7,《པེ་》,ཀྱིས་སྟོབས་ཆོམ་ཞིག,《སྣར་》,ཀྱི་སྟོབས་ཆོམ་ཤིག,,,,,
,,84,8,《པེ་》《སྣར་》,གི།,,,,,,
,,85,9,《སྣར་》,གཱ།,,,,,,
,,86,10,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,87,11,《པེ་》《སྣར་》,དཱ་ར་ཎཱ།,,,,,,
,,88,12,《པེ་》《སྣར་》,ཟུང་ཞིག,,,,,,
,,89,13,《སྣར་》,གི།,,,,,,
,,90,14,《སྣར་》,ཀྱི།,,,,,,
,,91,15,《པེ་》《སྣར་》,གོད་ཏྶཱ་ད།,,,,,,
,,92,16,《པེ་》,mགིས།,,,,,,
,,93,17,《པེ་》,མཱ།,,,,,,
