མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
ཐམས་ཅད་གྲུབ་པ་དཔལ་འཕེལ་ལྷ་མོ་ལ་བསྟོད་པ།,253,2,1,,མཚན་བྱང་འདི་《པེ་》ལྟར་བཀོད།,
,,3,2,《པེ་》,mརྣམ།,
,254,4,1,《པེ་》,སྒྱུར།,
