མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།
,83,2,1,《པེ་》《སྣར་》,mབར།
,84,3,1,《པེ་》《སྣར་》,ལེ་རྩེ།
,,4,2,《པེ་》《སྣར་》,ལིང་།
,,5,3,《པེ་》《སྣར་》,ལིང་།
,,6,4,《པེ་》《སྣར་》,བབ།
,,7,5,《པེ་》《སྣར་》,རིགས།
,,8,6,《པེ་》《སྣར་》,mཔ།
,,9,7,《པེ་》《སྣར་》,གའི།
,,10,8,《པེ་》《སྣར་》,བསྒྱུར།
,,11,9,《པེ་》《སྣར་》,དྷི།
,,12,10,《པེ་》《སྣར་》,mཔ།
,,13,11,《པེ་》《སྣར་》,སྲུངས།
,,14,12,《པེ་》《སྣར་》,པ།
,,15,13,《པེ་》《སྣར་》,གུང་མོ།
,85,16,1,《པེ་》《སྣར་》,pལ།
,,17,2,《པེ་》《སྣར་》,pབ།
,,18,3,《པེ་》《སྣར་》,pབརྒྱ།
,,19,4,《པེ་》《སྣར་》,བརྐྱལ།
,,20,5,《པེ་》《སྣར་》,བསྐང་།
,,21,6,《པེ་》《སྣར་》,བཏང་།
