མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ། ,1365,2,1,《པེ་》《སྣར་》,༄༅། །མགོན་པོ་ནག་པོའི་སྒྲུབ་ཐབས་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་པཎྜི་ཏ་འབུམ་ཕྲག་གསུམ་པ་དང་ལོ་ཙ་བ་དགེ་སློང་དར་མ་གྲགས་ཀྱི་འགྱུར། གཤིན་རྗེ་ཚེ་བདག་ནག་པོའི་སྒྲུབ་ཐབས་གཏོར་མ་ཁྲུས་ཆོག་དང་བཅས་པ་ནག་པོ་པས་མཛད་པ་པཎྜི་ཏ་དེ་ཉིད་དང་ལོ་ཙ་བ་དར་མ་གྲགས་ཀྱི་འགྱུར།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,mསཱ་དྷ་ན་ཀྲ་མ།
,,4,3,《པེ་》《སྣར་》,mཞེས་བྱ་བ།
,,5,4,《པེ་》《སྣར་》,པས།
,,6,5,《པེ་》《སྣར་》,རྙས།
,,7,6,《པེ་》《སྣར་》,སྒྲལ།
,,8,7,《པེ་》《སྣར་》,མ།
,,9,8,《པེ་》,གི།,《སྣར་》,གིས།
,1366,10,1,《པེ་》《སྣར་》,ཨད་མ་ཀོ།
,,11,2,《པེ་》《སྣར་》,གཉིས་མ་འདུས།
,,12,3,《པེ་》《སྣར་》,རྡེབ།
,,13,4,《སྣར་》,པ།
,,14,5,《པེ་》《སྣར་》,ར་ག
,,15,6,《པེ་》《སྣར་》,དྲང་སྟེ།
,,16,7,《པེ་》,ཿབཾ་ཧོ།
,,17,8,《པེ་》《སྣར་》,ན་ག
,,18,9,《པེ་》《སྣར་》,གླ་བ།
,1367,19,1,《པེ་》《སྣར་》,ཏོག
,,20,2,《པེ་》《སྣར་》,ཧྲི།
,,21,3,《པེ་》《སྣར་》,བྱ།
,,22,4,《པེ་》《སྣར་》,ཨརྒྷཾ་བྷ་ལིང།
,,23,5,《པེ་》,mཁཱ་ཧི།
,,24,6,《པེ་》《སྣར་》,mཚར་གཅོད་བྱང་ཆུབ་སེམས་དཔའ་སྟེ།།
,,25,7,《པེ་》《སྣར་》,འཇིགས།
,,26,8,《པེ་》《སྣར་》,ཁྱོད།
,,27,9,《པེ་》《སྣར་》,བསྒྲུབས།
,,28,10,《པེ་》《སྣར་》,བཏུབས།
,,29,11,《པེ་》《སྣར་》,གྷུ་ན་ཧྲི།
,,30,12,《པེ་》《སྣར་》,ཏི།
,1368,31,1,《པེ་》《སྣར་》,གསང་བའི།
,,32,2,《སྣར་》,གདུང་།
,,33,3,《པེ་》《སྣར་》,བྲུས།
,,34,4,《པེ་》《སྣར་》,བྲིས་པར།
,,35,5,《པེ་》《སྣར་》,བྲིས།
,,36,6,《པེ་》《སྣར་》,རྩུག
,,37,7,《པེ་》《སྣར་》,གསེད།
,,38,8,《པེ་》,སྙོམ།,《སྣར་》,སྙོས།
,,39,9,《སྣར་》,གྱུར་པ།
,1369,40,1,《པེ་》《སྣར་》,གུམ་གྷི་ཧང་།
,,41,2,《པེ་》《སྣར་》,དག
,,42,3,《པེ་》《སྣར་》,པྲ།
,,43,4,《པེ་》《སྣར་》,གྱུར།
,,44,5,《པེ་》《སྣར་》,ཡང་།
,,45,6,《པེ་》《སྣར་》,དྷ་དྷུ།
,,46,7,《པེ་》《སྣར་》,བྲོས།
,,47,8,《པེ་》《སྣར་》,རྟན།
,,48,9,《པེ་》《སྣར་》,གི་སེམས་ལ།
,,49,10,《པེ་》《སྣར་》,བསྒྲུབ།
,,50,11,《པེ་》《སྣར་》,བསྒྲུབ།
,,51,12,《པེ་》《སྣར་》,དག
,,52,13,《པེ་》,ལོཙྪ།
