མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,,
བླ་མ་གསང་བར་སྒྲུབ་པ་ཞེས་བྱ་བ།,896,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,899,3,1,《པེ་》,རི་རཱི། ལི་ལཱི།,,,,,,
,900,4,1,《པེ་》,བསྡུད།,,,,,,
,,5,2,《པེ་》,གྱིས།,,,,,,
,,6,3,《པེ་》,རྒྱུད།,,,,,,
,,7,4,《པེ་》,ན།,,,,,,
,901,8,1,《པེ་》,ཤྲི།,,,,,,
,,9,2,《པེ་》,རདྣ།,,,,,,
