མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
སྤྱོད་པའི་གླུའི་འགྲེལ་པ། ,1611,2,1,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད།
,,3,2,《པེ་》《སྣར་》,ཏ།
,1612,4,1,《པེ་》《སྣར་》,དེ།
,,5,2,《པེ་》《སྣར་》,པའོ།།
,,6,3,《པེ་》《སྣར་》,བའང་།
,,7,4,《པེ་》,དཀྲུག
,1613,8,1,《པེ་》《སྣར་》,བརླབས།
,,9,2,《པེ་》《སྣར་》,བརླབས།
,,10,3,《པེ་》《སྣར་》,ཀྱི།
,1614,11,1,《པེ་》《སྣར་》,དེའི།
,,12,2,《པེ་》《སྣར་》,བསྲེག
,1615,13,1,《པེ་》《སྣར་》,mཉིད་ཀྱི།
,,14,2,《སྣར་》,པར།
,,15,3,《སྣར་》,mལ།
,,16,4,《པེ་》《སྣར་》,པའི།
,,17,5,《པེ་》《སྣར་》,མེད་ང་།,
,1616,18,1,《པེ་》《སྣར་》,mབ།,
