མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
༄༅། །ཚོགས་ཀྱི་གཏམ་ཞེས་བྱ་བ་བཞུགས། །,475,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་ཚོགས་ཀྱི་གཏམ་ཞེས་བྱ་བ་བཞུགས། ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,སྃ་བྷ།,
,,4,3,《པེ་》《སྣར་》,བྱས།,
,,5,4,《པེ་》《སྣར་》,དཔས།,
,,6,5,《པེ་》《སྣར་》,བ།,
,,7,6,《པེ་》《སྣར་》,mཇི་ལྟར་གཞན་ཕན་བྱེད་འགྱུར་བ།།,
,,8,7,《པེ་》《སྣར་》,བཏང་།,
,,9,8,《པེ་》《སྣར་》,pརང་།,
,,10,9,《པེ་》《སྣར་》,བསམས།,
,476,11,1,《པེ་》《སྣར་》,པ།,
,,12,2,《པེ་》《སྣར་》,ཆོག་ཤེས།,
,,13,3,《པེ་》,སྨྱོང་།,
,,14,4,《པེ་》《སྣར་》,ཡི།,
,,15,5,《པེ་》《སྣར་》,གང་ཐོབ།,
,,16,6,《པེ་》《སྣར་》,བསྟབ།,
,,17,7,《པེ་》《སྣར་》,བཞག,
,,18,8,《པེ་》《སྣར་》,ཇི།,
,,19,9,《པེ་》《སྣར་》,བྱ།,
,,20,10,《པེ་》《སྣར་》,གཤེགས།,
,,21,11,《པེ་》《སྣར་》,བརྟགས།,
,,22,12,《པེ་》《སྣར་》,འདྲར།,
,477,23,1,《པེ་》《སྣར་》,པོ།,
,,24,2,《པེ་》《སྣར་》,བསྐོམ།,
,,25,3,《པེ་》《སྣར་》,པའི།,
,,26,4,《པེ་》《སྣར་》,སྐྱུགས།,
,,27,5,《པེ་》《སྣར་》,སྟེ།,
,,28,6,《པེ་》《སྣར་》,བས་དམྱལ་བར།,
,,29,7,《པེ་》《སྣར་》,ལ།,
,,30,8,《པེ་》《སྣར་》,སྲེགས་གྱུར་པས།,
,,31,9,《པེ་》《སྣར་》,བྱེད།,
,,32,10,《པེ་》《སྣར་》,གཡེངས།,
,,33,11,《པེ་》《སྣར་》,ཡི།,
,,34,12,《པེ་》《སྣར་》,ལ།,
,,35,13,《པེ་》《སྣར་》,འགྱུར།,
,,36,14,《པེ་》《སྣར་》,བྱ།,
,478,37,1,《པེ་》《སྣར་》,མོར།,
,,38,2,《པེ་》《སྣར་》,གྱི།,
,,39,3,《ཅོ་》,ནི།,
,,40,4,《པེ་》《སྣར་》,ནས།,
,,41,5,《སྣར་》,pན།,
,,42,6,《པེ་》《སྣར་》,ལས།,
,,43,7,《པེ་》《སྣར་》,བསྒོམས།,
,479,44,1,《སྣར་》,pང་།,
,,45,2,《པེ་》《སྣར་》,འམ།,
,,46,3,《པེ་》《སྣར་》,གོཏྟ།,
