མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
རྡོ་རྗེ་ཐེག་པའི་སྦོམ་པོའི་ལྟུང་བ། ,692,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,པ་ཏི།
,,4,3,《པེ་》《སྣར་》,བརྩོད།
,693,5,1,《པེ་》《སྣར་》,ཀ
,,6,2,《པེ་》《སྣར་》,ཞུས།
