མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
,,105,20,《པེ་》,དང་བཟའ།,《སྣར་》,ད་རབ་ཟ།
,,106,21,《པེ་》《སྣར་》,འཐུང་།,
,,107,22,《པེ་》,བཏང་།,《སྣར་》,གཏང་།
,,108,23,《པེ་》《སྣར་》,ལྟའོ།,
,485,109,1,《པེ་》《སྣར་》,mརྫོགས་པར།,
,,110,2,《པེ་》《སྣར་》,ཡོད།,
,,111,3,《པེ་》《སྣར་》,གྲུབ།,
,,112,4,《པེ་》《སྣར་》,mཐམས་ཅད།,
,,113,5,《པེ་》《སྣར་》,mཅན།,
,,114,6,《པེ་》《སྣར་》,pཅན།,
,,115,7,《པེ་》《སྣར་》,བསྒྲུབ།,
,,116,8,《པེ་》《སྣར་》,སྨིན།,
,,117,9,《པེ་》《སྣར་》,ཀྱི།,
,,118,10,《པེ་》《སྣར་》,སྲེག,
,486,119,1,《པེ་》《སྣར་》,mགིས།,
,,120,2,《པེ་》《སྣར་》,ཡོང་མདོ་སྡེའི་ཆོ་ག་ལ་སྤྱིར།,
,,121,3,《པེ་》,བཞིན།,
,,122,4,《པེ་》《སྣར་》,པའི།,
,,123,5,《སྣར་》,དག,
,,124,6,《པེ་》,རྒྱན།,
,,125,7,《སྣར་》,བསྟེན།,
,487,126,1,《པེ་》《སྣར་》,པར།,
,,127,2,《སྣར་》,པོ།,
,,128,3,《སྣར་》,པར།,
,,129,4,《སྣར་》,རྟག,
,,130,5,《པེ་》《སྣར་》,mགཉིས་པ།,
,,131,6,《པེ་》《སྣར་》,དང་།,
,,132,7,《པེ་》《སྣར་》,པོ།,
,,133,8,《སྣར་》,mཔ།,
,488,134,1,《པེ་》,ལྟའོ།,
,,135,2,《པེ་》《སྣར་》,pདཀར་པོ།,
,,136,3,《སྣར་》,པ།,
,,137,4,《པེ་》,pཔ།,
,,138,5,《པེ་》《སྣར་》,mདུ།,
,,139,6,《པེ་》,འབྱེད།,《སྣར་》,འབྱེ།
,,140,7,《པེ་》《སྣར་》,རིག,
,,141,8,《སྣར་》,མིན།,
,,142,9,《པེ་》《སྣར་》,སྒྲོག,
,,143,10,《པེ་》《སྣར་》,སྒྲུབ།,
,,144,11,《པེ་》《སྣར་》,པོར།,
,,145,12,《པེ་》,སྐོར།,
,,146,13,《པེ་》《སྣར་》,ས།,
,,147,14,《པེ་》《སྣར་》《ཅོ་》,པར།,
,489,148,1,《སྣར་》,གཏོད།,
