མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
,,462,2,《པེ་》,བྱུང་།,
,,463,3,《པེ་》《སྣར་》,གྱི།,
,,464,4,《པེ་》《སྣར་》,གསལ།,
,,465,5,《པེ་》《སྣར་》,འདི།,
,,466,6,《པེ་》,mདུ།,
,,467,7,《པེ་》《སྣར་》,བསྒོམ།,
,,468,8,《པེ་》《སྣར་》,གྱིས།,
,,469,9,《པེ་》《སྣར་》,pནོ།,
,,470,10,《པེ་》《སྣར་》,ཀྱི།,
,,471,11,《པེ་》,mཉིད།,
,,472,12,《པེ་》《སྣར་》,གྱི།,
,525,473,1,《པེ་》《སྣར་》,ཀྱི།,
,,474,2,《པེ་》《སྣར་》,རི།,
,,475,3,《པེ་》《སྣར་》《ཅོ་》,pཔའི།,
,,476,4,《པེ་》《སྣར་》,བསྲངས།,
,,477,5,《པེ་》《སྣར་》,རི།,
,,478,6,《པེ་》《སྣར་》,པ།,
,,479,7,《པེ་》《སྣར་》,མས།,
,,480,8,《པེ་》《སྣར་》,དུ།,
,,481,9,《པེ་》《སྣར་》,འབྲུལ།,
,,482,10,《པེ་》,སྐྱེད།,
,,483,11,《པེ་》《སྣར་》,རྣམས་གཅིག་གི།,
,,484,12,《སྣར་》,mའདི།,
,526,485,1,《པེ་》《སྣར་》,གཅོད།,
,,486,2,《སྣར་》,ཏེ།,
,,487,3,《པེ་》《སྣར་》,སྦྱོར།,
,,488,4,《སྣར་》,mཔ།,
,,489,5,《པེ་》《སྣར་》,སྦྱར།,
,,490,6,《པེ་》《སྣར་》,དགོས་ཞེ།,
,527,491,1,《པེ་》,བཟུང་།,
,,492,2,《པེ་》《སྣར་》,བཞིན།,
,,493,3,《པེ་》,བཞུག,
,,494,4,《སྣར་》,རྟོག,
,,495,5,《པེ་》,པའི།,
,,496,6,《སྣར་》,ཡང་།,
,,497,7,《པེ་》《སྣར་》,pརྣམས།,
,,498,8,《པེ་》,mནི།,
,,499,9,《སྣར་》,མཛད།,
,,500,10,《པེ་》《སྣར་》,mདུ།,
,,501,11,《པེ་》《སྣར་》,ཀྱི།,
,,502,12,《པེ་》《སྣར་》,བཟོད་།,
,,503,13,《པེ་》《སྣར་》,འབུལ།,
,528,504,1,《སྣར་》,གིས།,
,,505,2,《པེ་》《སྣར་》,གནང་།,
,,506,3,《པེ་》,གཞན་གྱིས་རྒྱན་པ།,《སྣར་》,བཞིན་གྱིས་རྒྱན།
,,507,4,《སྣར་》,བ།,
,,508,5,《པེ་》《སྣར་》,གིས།,
,,509,6,《པེ་》,ཀྱིས།,
,,510,7,《པེ་》《སྣར་》,mཀྱིས།,
,,511,8,《སྣར་》,པས།,
,,512,9,《པེ་》《སྣར་》,ཀྱི།,
,,513,10,《པེ་》《སྣར་》,mབཞིན།,
,529,514,1,《པེ་》《སྣར་》,མནའ།,
,,515,2,《པེ་》,pབ།,
,,516,3,《པེ་》《སྣར་》,ཚེ།,
,,517,4,《པེ་》《སྣར་》,ཀྱི།,
,,518,5,《པེ་》《སྣར་》,གི།,
,,519,6,《པེ་》《སྣར་》,འོད།,
,,520,7,《པེ་》《སྣར་》,བཏུབ།,
,530,521,1,《སྣར་》《པེ་》,སྐྱེད།,
,,522,2,《པེ་》《སྣར་》,mདུ།,
,,523,3,《སྣར་》《པེ་》,བས།,
,,524,4,《པེ་》《སྣར་》,བས།,
,,525,5,《པེ་》《སྣར་》,pགང་།,
,,526,6,《པེ་》《སྣར་》,pསྤྱད་པ།,
,,527,7,《པེ་》《སྣར་》,pདེ།,
,,528,8,《པེ་》《སྣར་》,གདོན།,
,,529,9,《པེ་》《སྣར་》,ཀྱི།,
,,530,10,《པེ་》,མཛུད།,
,,531,11,《པེ་》《སྣར་》,pསྤྱོད་པའི་ས་ན།,
,,532,12,《པེ་》《སྣར་》,mཔ།,
,531,533,1,《པེ་》《སྣར་》,ལ།,
,,534,2,《པེ་》《སྣར་》,འདས་པར།,
,,535,3,《པེ་》《སྣར་》,གྱི།,
,,536,4,《པེ་》《སྣར་》,པ་དང་།,
,,537,5,《སྣར་》,པོས།,
,,538,6,《པེ་》《སྣར་》,ཀྱི།,
,,539,7,《པེ་》《སྣར་》,mནས།,
,532,540,1,《པེ་》《སྣར་》,གི་སྔོན།,
,,541,2,《པེ་》《སྣར་》,mཡང་།,
,,542,3,《པེ་》《སྣར་》,mཅེས།,
,,543,4,《པེ་》《སྣར་》,ཀྱི།,
,,544,5,《པེ་》《སྣར་》,pཡང་།,
,,545,6,《སྣར་》,ཀྱི།,
,,546,7,《པེ་》《སྣར་》,ལྟ།,
,533,547,1,《པེ་》《སྣར་》,ཀྱིས།,
,,548,2,《པེ་》,བརྟུལ།,
,,549,3,《པེ་》《སྣར་》,mབ།,
,,550,4,《པེ་》,ཚིག,
,,551,5,《པེ་》《སྣར་》,ཀྱི།,
,,552,6,《པེ་》《སྣར་》,མནྡ།,
,,553,7,《པེ་》,ཆེས།,
,,554,8,《པེ་》,གྱིས།,
,,555,9,《སྣར་》,ཕྱེས།,
,534,556,1,《པེ་》《སྣར་》,ཅིང་དྲི་ཞིམ་པོ།,
,,557,2,《པེ་》《སྣར་》,བྱས།,
,,558,3,《པེ་》《སྣར་》,འདི།,
,,559,4,《པེ་》,གྱིས།,
,,560,5,《པེ་》《སྣར་》,mཡུལ།,
,,561,6,《པེ་》《སྣར་》,བལྟ་བར་བྱ།,
,,562,7,《པེ་》《སྣར་》,བྱས།,
,,563,8,《པེ་》,mསྣང་།,
,,564,9,《པེ་》《སྣར་》,ཚིག,
,,565,10,《པེ་》《སྣར་》,ཕྱེ།,
,,566,11,《པེ་》《སྣར་》,ཕྱེ།,
,,567,12,《སྣར་》,ཕྱེ།,
,,568,13,《སྣར་》,ལ།,
,,569,14,《པེ་》《སྣར་》,mབ།,
,535,570,1,《པེ་》《སྣར་》,འདི།,
,,571,2,《པེ་》,འདི།,
,,572,3,《པེ་》,བསྟོན།,
,,573,4,《པེ་》《སྣར་》,བར།,
,,574,5,《པེ་》《སྣར་》,pནས་དེ་དག,
,,575,6,《པེ་》《སྣར་》,གི།,
,,576,7,《པེ་》《སྣར་》,འདི།,
,,577,8,《སྣར་》,ཕྱེ།,
,,578,9,《པེ་》《སྣར་》,པར།,
,,579,10,《པེ་》,གམ།,《སྣར་》,གཾ།
,,580,11,《པེ་》《སྣར་》,བྱིན།,
,,581,12,《པེ་》《སྣར་》,འདི།,
,,582,13,《པེ་》《སྣར་》,དེ།,
,536,583,1,《པེ་》,གཅད།,
,,584,2,《པེ་》,གཅད།,
,,585,3,《པེ་》《སྣར་》,pནི།,
,,586,4,《པེ་》,mའདིས་ནི།,《སྣར་》,འདི་ནི།
,,587,5,《པེ་》《སྣར་》,བྱུང་།,
,,588,6,《པེ་》《སྣར་》,ཀྱི།,
,,589,7,《པེ་》《སྣར་》,བསྲུང་བས།,
,,590,8,《པེ་》《སྣར་》,pཔ།,
,,591,9,《པེ་》《སྣར་》,དཔའི།,
,537,592,1,《པེ་》《སྣར་》,རྟོག,
,,593,2,《པེ་》,བར་དུ་འདི།,《སྣར་》,པས་དུ་འདི།
,,594,3,《སྣར་》,ཏེ།,
,,595,4,《པེ་》《སྣར་》,བསྒོམ།,
,,596,5,《པེ་》《སྣར་》,འདི།,
,,597,6,《པེ་》《སྣར་》,ཀྱིས།,
,,598,7,《པེ་》《སྣར་》,གྱི་རྔ།,
,,599,8,《པེ་》《སྣར་》,pབ།,
,,600,9,《པེ་》《སྣར་》,སྙེམས།,
,538,601,1,《པེ་》《སྣར་》,ནས།,
,,602,2,《པེ་》《སྣར་》,འདི།,
,,603,3,《པེ་》《སྣར་》,ཀྱི།,
,,604,4,《པེ་》《སྣར་》,ནས།,
,,605,5,《སྣར་》,ཚིག,
,,606,6,《པེ་》《སྣར་》,ཕྱེ།,
,,607,7,《པེ་》,བརྩོམ།,
,,608,8,《པེ་》,སྐྱེད་པ་བསལ།,《སྣར་》,སྐྱེས་པ་གསལ།
,,609,9,《པེ་》《སྣར་》,སྐྱེ་བར།,
,,610,10,《པེ་》《སྣར་》,གྱིས།,
,,611,11,《པེ་》《སྣར་》,པ།,
,,612,12,《སྣར་》,གྱི།,
,,613,13,《པེ་》《སྣར་》,pབ།,
,539,614,1,《པེ་》《སྣར་》,བསྡུ།,
,,615,2,《པེ་》《སྣར་》,བདག,
,,616,3,《པེ་》,བསལ།,《སྣར་》,གསལ།
,,617,4,《པེ་》《སྣར་》,སྐྱོད་པ།,
,,618,5,《པེ་》《སྣར་》,རྒྱུད།,
,,619,6,《པེ་》,སྐྱེའོ་སྨན་སྦྱིན།,《སྣར་》,སྐྱེ་སྨན་སྦྱིན།
,,620,7,《པེ་》《སྣར་》,རོ། །གོས་སྤྱིན་པ།,
,,621,8,《པེ་》《སྣར་》,mཔ།,
,,622,9,《ཅོ་》,གང་།,
,540,623,1,《པེ་》《སྣར་》,mདེ།,
,,624,2,《སྣར་》,པ།,
,,625,3,《པེ་》《སྣར་》,གི།,
,,626,4,《པེ་》,གྱི་མཆོད།,《སྣར་》,གྱི་མཆོན།
,,627,5,《པེ་》《སྣར་》,གཏོང་།,
,,628,6,《པེ་》《སྣར་》,ཀྱི།,
,,629,7,《པེ་》《སྣར་》,གི།,
,,630,8,《པེ་》《སྣར་》,ནི།,
,,631,9,《པེ་》《སྣར་》,གཏང་།,
,541,632,1,《སྣར་》,ལྷས།,
,,633,2,《པེ་》《སྣར་》,བགྱིས།,
,,634,3,《པེ་》《སྣར་》,བསྟན།,
,542,635,1,《པེ་》《སྣར་》,mང་།,
,,636,2,《པེ་》《སྣར་》,མངོན་པར།,
,,637,3,《པེ་》《སྣར་》,བསྡུད།,
,,638,4,《སྣར་》,འང་།,
,,639,5,《པེ་》《སྣར་》,བསྟན།,
,,640,6,《པེ་》,པའི་ཆོས།,《སྣར་》,པའི་ཆོག
,,641,7,《པེ་》《སྣར་》,ནམ་གྱི།,
,,642,8,《པེ་》《སྣར་》,mཔ།,
,543,643,1,《པེ་》《སྣར་》,སྔོན།,
,,644,2,《པེ་》《སྣར་》,གླེངས་ཏེ།,
,,645,3,《པེ་》《སྣར་》《ཅོ་》,pརྒྱུ།,
,,646,4,《པེ་》《སྣར་》,དེ།,
,,647,5,《པེ་》《སྣར་》,ཆད།,
,,648,6,《པེ་》《སྣར་》,འཐོབ།,
,,649,7,《པེ་》《སྣར་》,ཏེ།,
,,650,8,《པེ་》《སྣར་》,འགྲེང་།,
,,651,9,《པེ་》《སྣར་》,རྟོག,
,,652,10,《པེ་》《སྣར་》,སྒྲོག,
,544,653,1,《པེ་》,གྱི་ངེས།,《སྣར་》,གྱི་དེང་།
,,654,2,《པེ་》《སྣར་》,ཀྱི།,
,,655,3,《པེ་》《སྣར་》,འགྲེལ།,
,,656,4,《པེ་》《སྣར་》,དྲངས་ཏེ།,
,,657,5,《པེ་》《སྣར་》,སྤོང་བ།,
,,658,6,《པེ་》《སྣར་》,mདུ།,
,,659,7,《པེ་》《སྣར་》,སྦྱིར།,
,,660,8,《པེ་》《སྣར་》,རྒྱུ་བདུན་གྱི།,
,,661,9,《སྣར་》,ཡན།,
,,662,10,《པེ་》《སྣར་》,དྲངས།,
,,663,11,《པེ་》《སྣར་》,དྲངས།,
,545,664,1,《པེ་》《སྣར་》,ནི།,
,,665,2,《སྣར་》,གྱི།,
,,666,3,《པེ་》《སྣར་》,བསྐྱོད།,
,,667,4,《པེ་》《སྣར་》,mཆེས།,
,,668,5,《སྣར་》,སྤྲོན།,
,,669,6,《པེ་》,པའི་སྟེ། རིགས།,《སྣར་》,པའི་སྟེ། རིག
,546,670,1,《པེ་》《སྣར་》,pཅི་དང་།,
,,671,2,《སྣར་》,བརྒྱ།,
,,672,3,《པེ་》《སྣར་》,ལྟ་བ།,
,,673,4,《པེ་》,བསྒྱུར།,
,,674,5,《པེ་》,པའི།,
,,675,6,《པེ་》《སྣར་》,pལ།,
,,676,7,《ཅོ་》,པ།,
,547,677,1,《པེ་》《སྣར་》,བར།,
,,678,2,《པེ་》《སྣར་》,གྱི།,
,,679,3,《པེ་》,སྟན།,
,,680,4,《སྣར་》,འགྲེལ།,
,,681,5,《པེ་》《སྣར་》,གཉི།,
,,682,6,《པེ་》《སྣར་》,ལྟར་བ་ར་དྷྭ།,
,548,683,1,《སྣར་》,འཐུན།,
,,684,2,《པེ་》《སྣར་》,mཀྱིས།,
,,685,3,《པེ་》《སྣར་》,འདོད།,
,,686,4,《པེ་》《སྣར་》,པས།,
,,687,5,《པེ་》《སྣར་》,ཤ་སྟག,
,549,688,1,《པེ་》《སྣར་》,སྒྲུབ།,
,,689,2,《པེ་》,mཡང་།,
,,690,3,《པེ་》《སྣར་》,ཀྱི།,
,,691,4,《པེ་》,པས།,
,,692,5,《པེ་》《སྣར་》,པར།,
,,693,6,《པེ་》,མནྡ་ར་བ།,《སྣར་》,མནྡ་ར།
,,694,7,《སྣར་》,ཏེ།,
,,695,8,《པེ་》《སྣར་》,འདི།,
,,696,9,《པེ་》《སྣར་》,སྟོང་།,
,,697,10,《པེ་》《སྣར་》,mའཁོར།,
,550,698,1,《པེ་》《སྣར་》,ཡོངས་སུ།,
,,699,2,《པེ་》,དམ།,
,,700,3,《པེ་》《སྣར་》,སེམས་དཔའ།,
,,701,4,《པེ་》《སྣར་》,པའི།,
,,702,5,《པེ་》《སྣར་》,ཏེ།,
,,703,6,《སྣར་》,mནོ།,
,551,704,1,《པེ་》《སྣར་》,སྨྲ་བ།,
,,705,2,《པེ་》《སྣར་》,mདེའི།,
,,706,3,《པེ་》《སྣར་》,ཀྱི།,
,,707,4,《པེ་》《སྣར་》,བཅད།,
,,708,5,《པེ་》《སྣར་》,འདའ་བ།,
,,709,6,《པེ་》《སྣར་》,དེའི།,
,552,710,1,《པེ་》《སྣར་》,ལ།,
,,711,2,《པེ་》《སྣར་》,pའདིས།,
,,712,3,《པེ་》,ལས།,
,,713,4,《པེ་》《སྣར་》,mརྫུ།,
,,714,5,《པེ་》《སྣར་》,འདི།,
,,715,6,《པེ་》《སྣར་》,སྟོང་པ།,
,,716,7,《པེ་》《སྣར་》,མཐུ།,
,,717,8,《སྣར་》,བཞེད་པ།,
,553,718,1,《པེ་》《སྣར་》,ཌུརྱའི།,
,,719,2,《པེ་》《སྣར་》《ཅོ་》,བུར་བལྟ།,
,,720,3,《པེ་》《སྣར་》,ནི།,
,,721,4,《པེ་》《སྣར་》,པ།,
,,722,5,《པེ་》,ཡིས།,
,,723,6,《པེ་》《སྣར་》,ཀྱི།,
,554,724,1,《པེ་》《སྣར་》,པས།,
,,725,2,《པེ་》,མ་རབ།,《སྣར་》,མར་བ།
,,726,3,《པེ་》《སྣར་》,པའི།,
,,727,4,《པེ་》《སྣར་》,ལྡོག,
,,728,5,《པེ་》《སྣར་》,ཁྲི་ཕྲག,
,,729,6,《པེ་》《སྣར་》,འཐོབ།,
,,730,7,《པེ་》《སྣར་》,pགི།,
,,731,8,《པེ་》《སྣར་》,བའི།,
,555,732,1,《པེ་》《སྣར་》,pརྣམས།,
,,733,2,《པེ་》《སྣར་》,ཕྱེ།,
,,734,3,《པེ་》《སྣར་》,ཚིག་ཕྱེ།,
,,735,4,《པེ་》《སྣར་》,pམ་ཐོས་པ།,
,,736,5,《པེ་》《སྣར་》,pསྟེ།,
,,737,6,《པེ་》《སྣར་》,ཀྱི།,
,,738,7,《པེ་》,mཡིན།,
,,739,8,《པེ་》《སྣར་》,བའི།,
,,740,9,《པེ་》,བཏབ་པ།,《སྣར་》,བཏང་བ།
,,741,10,《པེ་》《སྣར་》,སྐྱེད།,
,,742,11,《པེ་》《སྣར་》,བའི།,
,,743,12,《པེ་》《སྣར་》,།།,
,,744,13,《པེ་》,པུཎྜཱ་རི།,《སྣར་》,པུཥྜ་རི།
,,745,14,《པེ་》《སྣར་》,།། །།,
,,746,15,《པེ་》,mལ།,
,556,747,1,《པེ་》《སྣར་》,འབྱེ་བའི།,
,,748,2,《པེ་》《སྣར་》,རྟོག,
,,749,3,《པེ་》《སྣར་》,བསལ།,
,,750,4,《པེ་》《སྣར་》,བསལ།,
,,751,5,《པེ་》,པུ།,
,,752,6,《པེ་》《སྣར་》,ས།,
,,753,7,《པེ་》《སྣར་》,ཀྱི།,
,,754,8,《པེ་》《སྣར་》,རྟོག,
,,755,9,《པེ་》《སྣར་》,རྣམས།,
,,756,10,《པེ་》《སྣར་》,དཀྲི།,
,,757,11,《པེ་》《སྣར་》,mསྤངས།,
,557,758,1,《པེ་》《སྣར་》,བལྟ་བ།,
,,759,2,《པེ་》《སྣར་》,རྟོག,
,,760,3,《པེ་》《སྣར་》,mཔ།,
,,761,4,《པེ་》《སྣར་》,mལ།,
,,762,5,《སྣར་》,པར།,
,,763,6,《པེ་》《སྣར་》,འདིས།,
,,764,7,《སྣར་》,ཕྱི།,
,558,765,1,《པེ་》《སྣར་》,ཅིང་།,
,,766,2,《པེ་》《སྣར་》,ཀྱི།,
,,767,3,《པེ་》《སྣར་》,པ།,
,,768,4,《པེ་》《སྣར་》,ལ།,
,,769,5,《པེ་》《སྣར་》,གཞན།,
,,770,6,《སྣར་》,གྱིས།,
,,771,7,《པེ་》《སྣར་》,mམཆོག,
,,772,8,《པེ་》《སྣར་》,mཔ།,
,,773,9,《སྣར་》,པའི།,
,,774,10,《པེ་》《སྣར་》,mཔ།,
,,775,11,《པེ་》《སྣར་》,པའི།,
,,776,12,《པེ་》,བཟུང་།,
,,777,13,《པེ་》《སྣར་》,པའི།,
,,778,14,《པེ་》《སྣར་》,ན།,
,,779,15,《པེ་》《སྣར་》,རྣམས་བསྐལ་པ།,
,,780,16,《པེ་》《སྣར་》,ན།,
,,781,17,《པེ་》《སྣར་》,སྐྱེ་བ།,
,,782,18,《སྣར་》,པ།,
,559,783,1,《པེ་》《སྣར་》,པས་ཏེ།,
,,784,2,《པེ་》,ཚིགས།,
,,785,3,《པེ་》,pཔ།,
,,786,4,《པེ་》《སྣར་》,གྱི།,
,,787,5,《པེ་》《སྣར་》,ཀྱི།,
,560,788,1,《པེ་》《སྣར་》,གིས།,
,,789,2,《པེ་》《སྣར་》,གཉི་ག,
,,790,3,《པེ་》《སྣར་》,བསྒྲུབ།,
,,791,4,《སྣར་》,སྤྱོད།,
,,792,5,《པེ་》《སྣར་》,ཏོ།,
,,793,6,《པེ་》《སྣར་》,ཀྱི།,
,,794,7,《པེ་》《སྣར་》,སྒྲུབ།,
,,795,8,《པེ་》《སྣར་》,གྱི།,
,,796,9,《པེ་》《སྣར་》,mདེ་དག,
,,797,10,《པེ་》《སྣར་》,པོ།,
,561,798,1,《པེ་》,གི།,
,,799,2,《སྣར་》,བསྙེད།,
,,800,3,《པེ་》,mཚིག་ཅེས་པ།,
,,801,4,《པེ་》《སྣར་》,འགྲེལ།,
,,802,5,《པེ་》《སྣར་》,ལ།,
,,803,6,《པེ་》,ཚིགས་རྣམས་ལན་གཉིས།,《སྣར་》,ཚིག་རྣམས་ལན་གཉིས།
,,804,7,《པེ་》《སྣར་》,དགྲལ།,
,562,805,1,《པེ་》,གཟིག,
,,806,2,《པེ་》《སྣར་》,རིག,
,,807,3,《པེ་》,mསུམ།,
,,808,4,《པེ་》《སྣར་》,mཔ།,
,,809,5,《པེ་》《སྣར་》,རིག,
,,810,6,《པེ་》,སྐུ།,《སྣར་》,སྐུ་ཐབས།
,,811,7,《སྣར་》,རིག,
,,812,8,《པེ་》《སྣར་》,སོར།,
,,813,9,《པེ་》《སྣར་》,གི།,
,,814,10,《པེ་》《སྣར་》,ཀྱི།,
,,815,11,《པེ་》《སྣར་》,པ།,
,,816,12,《པེ་》《སྣར་》,སྟེ།,
,,817,13,《པེ་》《སྣར་》,གཟུད།,
,,818,14,《པེ་》,གཅད།,
,563,819,1,《པེ་》《སྣར་》,པས་ཏེ།,
,,820,2,《པེ་》《སྣར་》,ཀྱི།,
,,821,3,《པེ་》《སྣར་》,པ།,
,,822,4,《པེ་》,པའི།,
,,823,5,《པེ་》《སྣར་》,སོར།,
,564,824,1,《སྣར་》,བདེན།,
,,825,2,《པེ་》《སྣར་》,ཀྱིས།,
,,826,3,《པེ་》《སྣར་》,ཤིང་།,
,,827,4,《པེ་》《སྣར་》,ཆ།,
,565,828,1,《པེ་》《སྣར་》,ཀྱི།,
,,829,2,《པེ་》《སྣར་》,དག,
,,830,3,《པེ་》《སྣར་》,pཔ།,
,,831,4,《སྣར་》,གསལ།,
,,832,5,《པེ་》《སྣར་》,སྒྲུབ།,
,,833,6,《པེ་》《སྣར་》,mཔ།,
,,834,7,《པེ་》《སྣར་》,དགྲོལ།,
,,835,8,《པེ་》,གྱི།,
,,836,9,《པེ་》,pཆོས།,《སྣར་》,pཆས།
,,837,10,《པེ་》《སྣར་》,ཅི།,
,466,838,1,《པེ་》《སྣར་》,mདོ།,
,,839,2,《སྣར་》,གཞན།,
,,840,3,《པེ་》《སྣར་》,བྱུང་།,
,,841,4,《པེ་》《སྣར་》,ལྟར།,
,,842,5,《པེ་》《སྣར་》,བཟུང་།,
,,843,6,《པེ་》《སྣར་》,ལས།,
,,844,7,《པེ་》《སྣར་》,ན།,
,,845,8,《སྣར་》,ཀྱིས།,
,,846,9,《པེ་》《སྣར་》,pཔས་བཤད།,
,,847,10,《པེ་》《སྣར་》,ལས།,
,,848,11,《པེ་》,པར།,《སྣར་》,པ།
,567,849,1,《པེ་》《སྣར་》,རྟོག,
,,850,2,《སྣར་》,ཕྱེ།,
,,851,3,《པེ་》,པའི།,
,,852,4,《སྣར་》,ཕྱེ།,
,,853,5,《སྣར་》,བསྟེན།,
,,854,6,《པེ་》《སྣར་》,mམ།,
,,855,7,《པེ་》《སྣར་》,ཅན་བསྙེན་ཅིང་བཅད།,
,,856,8,《པེ་》《སྣར་》,བ།,
,,857,9,《པེ་》《སྣར་》,གི།,
,,858,10,《པེ་》《སྣར་》,mཔ།,
,568,859,1,《པེ་》,pཔ།,
,,860,2,《པེ་》《སྣར་》,ངའི་ས།,
,,861,3,《པེ་》《སྣར་》,འདི།,
,,862,4,《པེ་》,pཔ།,
,,863,5,《པེ་》《སྣར་》,mཚིག་དང་།,
,,864,6,《པེ་》《སྣར་》,ལ།,
,,865,7,《པེ་》《སྣར་》,ཏེ།,
,,866,8,《པེ་》《སྣར་》,བསྟན།,
,,867,9,《པེ་》《སྣར་》,ཀྱིས།,
,,868,10,《པེ་》《སྣར་》,mདེ།,
,569,869,1,《པེ་》《སྣར་》,mགྱིས།,
,,870,2,《པེ་》《སྣར་》,རྣམ།,
,,871,3,《པེ་》《སྣར་》,mནི།,
,,872,4,《པེ་》《སྣར་》,pཆད།,
,,873,5,《པེ་》《སྣར་》,mཔ།,
,,874,6,《པེ་》《སྣར་》,mམ།,
,,875,7,《པེ་》《སྣར་》,mལྟ་བུ།,
,,876,8,《པེ་》《སྣར་》,བསྐྲུན།,
,,877,9,《པེ་》《སྣར་》,ས་བདེར།,
,,878,10,《སྣར་》,pཤེས།,
,,879,11,《པེ་》,ནི་འདི།,《སྣར་》,འདི།
,,880,12,《པེ་》《སྣར་》,པོས།,
,,881,13,《སྣར་》,པའི།,
,,882,14,《པེ་》《སྣར་》,ཀྱིས།,
,570,883,1,《པེ་》《སྣར་》,mདུ།,
,,884,2,《པེ་》《སྣར་》,pདང་།,
,,885,3,《པེ་》,དཔའ་ཐེག་པར།,《སྣར་》,དཔས་ཐེག་པར།
,,886,4,《པེ་》《སྣར་》,མ་དཔོག,
,,887,5,《སྣར་》,པའི།,
,,888,6,《པེ་》《སྣར་》,རིགས་པ།,
,,889,7,《པེ་》《སྣར་》,པ་ནི།,
,571,890,1,《པེ་》《སྣར་》,ཀྱི།,
,,891,2,《པེ་》《སྣར་》,སྐྱེད།,
,,892,3,《པེ་》《སྣར་》,ལ།,
,,893,4,《པེ་》《སྣར་》,pའདི།,
,,894,5,《པེ་》《སྣར་》,བསྟབས་ཤིང་།,
,,895,6,《པེ་》《སྣར་》,mའཁོར་དེ་ན།,
,,896,7,《པེ་》《སྣར་》,གླེང་སྟེ།,
,,897,8,《པེ་》《སྣར་》,བསམ།,
,,898,9,《པེ་》《སྣར་》,pའདི།,
,,899,10,《པེ་》《སྣར་》,གླེང་བ་སྟེ།,
,,900,11,《པེ་》《སྣར་》,mཔ།,
,,901,12,《པེ་》,ཀྱིས་རྣམ་པ་གྲོལ།,《སྣར་》,ཀྱི་རྣམ་པ་གྲོལ།
,,902,13,《པེ་》《སྣར་》,འདའ་བ།,
,,903,14,《པེ་》《ཅོ་》,ཙོམ་གླེང་བ།,《སྣར་》,ཚོམ་གླེང་བ།
,,904,15,《པེ་》《སྣར་》,ཚིགས།,
,572,905,1,《པེ་》《སྣར་》,གཅད།,
,,906,2,《པེ་》《སྣར་》,གྱི།,
,,907,3,《པེ་》《སྣར་》,རིག,
,,908,4,《པེ་》《སྣར་》,mདངོས་པོ།,
,,909,5,《པེ་》《སྣར་》,སྟོད།,
,,910,6,《པེ་》《སྣར་》,mནི།,
,,911,7,《པེ་》《སྣར་》,པ།,
,,912,8,《པེ་》《སྣར་》,གླེང་བ།,
,,913,9,《པེ་》《སྣར་》,ཀྱི།,
,,914,10,《པེ་》《སྣར་》,གླེང་བ།,
,,915,11,《པེ་》《སྣར་》,ཐོག་མ།,
,,916,12,《པེ་》《སྣར་》,དེ།,
,,917,13,《པེ་》《སྣར་》,mབ།,
,573,918,1,《པེ་》《སྣར་》,འདྲིས།,
,,919,2,《པེ་》《སྣར་》,འདའ་བ་ཤེས་པར་དཀའ་བ།,
,,920,3,《པེ་》《སྣར་》,རྗོད་ཅེས།,
,,921,4,《པེ་》,བསྒྲུབ་པས་བཟོད།,《སྣར་》,སྒྲུབ་པས་གཟོད།
,,922,5,《པེ་》《སྣར་》,ཀྱི།,
,,923,6,《པེ་》,ཀྱི།,
,,924,7,《པེ་》《སྣར་》,ཀྱི།,
,574,925,1,《པེ་》,སྐྱེད།,
,,926,2,《པེ་》《སྣར་》,pརོ།,
,,927,3,《པེ་》《སྣར་》,ཀྱི།,
,,928,4,《པེ་》《སྣར་》,དགག,
,,929,5,《པེ་》《སྣར་》,mདང་།,
,,930,6,《པེ་》《སྣར་》,བསྒྲུབ།,
,,931,7,《པེ་》《སྣར་》,རབ།,
,575,932,1,《པེ་》《སྣར་》,སྔང་།,
,,933,2,《པེ་》《སྣར་》,དོག་པས་སྡང་བས།,
,,934,3,《པེ་》,སྡུག,
,,935,4,《པེ་》《སྣར་》,པ་སྟེ།,
,,936,5,《པེ་》《སྣར་》,སྡང་།,
,,937,6,《པེ་》《སྣར་》,སྡང་།,
,,938,7,《པེ་》,པར་སྡང་།,《སྣར་》,པ་སྡང་།
,,939,8,《པེ་》《སྣར་》,སྡང་།,
,,940,9,《པེ་》《སྣར་》,སྡང་།,
,,941,10,《པེ་》《སྣར་》,སྡང་།,
,,942,11,《པེ་》《སྣར་》,mདུ།,
,,943,12,《པེ་》《སྣར་》,པ།,
,,944,13,《པེ་》,པས་སེམས་དཔའ།,
,,945,14,《པེ་》《སྣར་》,མི།,
,,946,15,《པེ་》《སྣར་》,སྡང་།,
,,947,16,《སྣར་》,གཞུགས།,
,,948,17,《པེ་》《སྣར་》,དུལ།,
,,949,18,《པེ་》《སྣར་》,པས།,
,,950,19,《པེ་》《སྣར་》,ཀྱི།,
,,951,20,《པེ་》《སྣར་》,པ།,
,,952,21,《པེ་》《སྣར་》,pལ།,
,576,953,1,《པེ་》《སྣར་》,mལ།,
,,954,2,《པེ་》,ཀྱི།,
,,955,3,《པེ་》《སྣར་》,ནས།,
,,956,4,《པེ་》《སྣར་》,ལྟུང་།,
,,957,5,《པེ་》《སྣར་》,པ།,
