མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
,,36,2,《པེ་》《སྣར་》,mཧཱུཾ།,,
,,37,3,《པེ་》《སྣར་》,m྅།,,
,,38,4,《པེ་》《སྣར་》,སྒོང་།,,
,,39,5,《པེ་》《སྣར་》,པ་ན།,,
,,40,6,《པེ་》《སྣར་》,pཔོའི།,,
,,41,7,《པེ་》《སྣར་》,པའི།,,
,,42,8,《པེ་》《སྣར་》,གིས།,,
,1182,43,1,《སྣར་》,གྱི།,,
,,44,2,《པེ་》《སྣར་》,འབྱུང་།,,
,,45,3,《པེ་》,ལྃ་མྃ་པྃ་ཏྃ།,《སྣར་》,ལཾ་མཾ་པཾ་ཏཾ།
,,46,4,《པེ་》《སྣར་》,འབྱུང་།,,
,,47,5,《པེ་》,བྲུྃ་ཨྃ་ཛྃ།,《སྣར་》,བྲུཾ་ཨཾ་ཛྃ།
,1183,48,1,《པེ་》《སྣར་》,mཿ།,,
,,49,2,《པེ་》《སྣར་》,ཀྱིས།,,
,,50,3,《པེ་》《སྣར་》,རྗེ།,,
,,51,4,《པེ་》《སྣར་》,རྗེ།,,
,,52,5,《པེ་》《སྣར་》,སྐྱབས་སུ།,,
,,53,6,《སྣར་》,རྗེའི།,,
,1184,54,1,《པེ་》《སྣར་》,ཧྲི།,,
,,55,2,《པེ་》《སྣར་》,པོ།,,
,,56,3,《པེ་》《སྣར་》,ཧྲི།,,
,,57,4,《སྣར་》,གྱིས།,,
,,58,5,《པེ་》《སྣར་》,ཧྲིས།,,
,1185,59,1,《པེ་》《སྣར་》,ཧྲི།,,
,,60,2,《པེ་》《སྣར་》,pལ།,,
,,61,3,《པེ་》《སྣར་》,དྷརྨཱ།,,
,,62,4,《པེ་》《སྣར་》,m྅།,,
,,63,5,《པེ་》《སྣར་》,ཛྲཾ།,,
,,64,6,《པེ་》《སྣར་》,mཔར།,,
,1186,65,1,《པེ་》《སྣར་》,pསྟེ།,,
,,66,2,《པེ་》,mའགྲོ་བ་རྣམས།,,
,,67,3,《པེ་》,པར་སྐྱེད་ལ།,《སྣར་》,པར་བསྐྱེད་ལ།
,,68,4,《པེ་》《སྣར་》,བུ།,,
,,69,5,《པེ་》《སྣར་》,གྱི།,,
,,70,6,《པེ་》《སྣར་》,mཉིད།,,
,,71,7,《སྣར་》,བརླབས།,,
,,72,8,《པེ་》《སྣར་》,བརླབ།,,
,,73,9,《པེ་》《སྣར་》,བརླབ་གནས།,,
,,74,10,《སྣར་》,རྗེ།,,
,,75,11,《པེ་》《སྣར་》,mལྷག་པར།,,
,1187,76,1,《པེ་》《སྣར་》,m྅།,,
,,77,2,《པེ་》《སྣར་》,ཧྲི།,,
,,78,3,《པེ་》《སྣར་》,ཧྲི།,,
,,79,4,《པེ་》《སྣར་》,ཧྲི།,,
,,80,5,《པེ་》《སྣར་》,mདུ།,,
,,81,6,《པེ་》《སྣར་》,དང་།,,
,,82,7,《པེ་》,བརླབ་གནས།,,
,1188,83,1,《པེ་》《སྣར་》,བརླབ་གནས།,,
,,84,2,《སྣར་》,རྗེ།,,
,,85,3,《པེ་》《སྣར་》,m྅།,,
,,86,4,《སྣར་》,ལ།,,
,,87,5,《པེ་》,བརླབ་གནས།,,
,,88,6,《པེ་》,བརླབ་གནས།,《སྣར་》,བརླབ་ནས།
,,89,7,《པེ་》《སྣར་》,རྗེར།,,
,,90,8,《པེ་》《སྣར་》,m྅།,,
,,91,9,《པེ་》《སྣར་》《ཅོ་》,རྟོགས།,,
,,92,10,《པེ་》《སྣར་》,གསོལ།,,
,,93,11,《པེ་》《སྣར་》,བའི།,,
,1189,94,1,《པེ་》《སྣར་》,mལ།,,
,,95,2,《པེ་》《སྣར་》,mནི།,,
,,96,3,《པེ་》《སྣར་》,mཔར།,,
,1190,97,1,《པེ་》《སྣར་》,བ།,,
,,98,2,《པེ་》《སྣར་》,m྅།,,
,,99,3,《པེ་》《སྣར་》,ཧྲི།,,
,1191,100,1,《པེ་》《སྣར་》,mདེའི་སྐུར་བཅུག་ལ།,,
,,101,2,《པེ་》《སྣར་》,བཞུག,,
,,102,3,《པེ་》《སྣར་》,པར།,,
,1192,103,1,《ཅོ་》,pཔ།,,
,,104,2,《པེ་》《སྣར་》,mདང་ཕྱག,,
,,105,3,《པེ་》《སྣར་》,pཔ།,,
,,106,4,《པེ་》《སྣར་》,རིམ།,,
,1193,107,1,《པེ་》《སྣར་》,mལ་སྤྲོ།,,
,,108,2,《པེ་》《སྣར་》,དཀར།,,
,,109,3,《པེ་》《སྣར་》,དབྱུག,,
,,110,4,《པེ་》《སྣར་》,བིགྷྣན་ཏ།,,
,,111,5,《པེ་》《སྣར་》,mདང་།,,
,1194,112,1,《པེ་》,ཀྱིས།,,
,,113,2,《པེ་》《སྣར་》,ལེགས།,,
,,114,3,《པེ་》《སྣར་》,རིམ།,,
,1195,115,1,《པེ་》《སྣར་》,mལ།,,
,,116,2,《པེ་》《སྣར་》,དུ།,,
,,117,3,《པེ་》《སྣར་》,pདེ།,,
,,118,4,《པེ་》《སྣར་》,རིམ།,,
,1196,119,1,《པེ་》,mའོད་ཟེར།,,
,,120,2,《པེ་》《སྣར་》,པར།,,
,,121,3,《པེ་》《སྣར་》,པ།,,
,,122,4,《སྣར་》,སརྦ།,,
,,123,5,《པེ་》《སྣར་》,m྅།,,
,,124,6,《པེ་》《སྣར་》,མཁའ།,,
,,125,7,《པེ་》,གསུངས།,,
,1197,126,1,《པེ་》《སྣར་》,བྲུཾ་ཨཾ་ཛིཾ།,,
,,127,2,《པེ་》,བརླབ།,,
,,128,3,《པེ་》《སྣར་》,མྱང་།,,
,,129,4,《པེ་》《སྣར་》,ཀྱི།,,
,,130,5,《པེ་》《སྣར་》,ལེའི།,,
,,131,6,《པེ་》《སྣར་》,ཀྱི།,,
,,132,7,《སྣར་》,pདེ་ནས།,,
,1198,133,1,《པེ་》《སྣར་》,གྱིས།,,
,,134,2,《པེ་》《སྣར་》,mགྱི།,,
,,135,3,《པེ་》《སྣར་》,ཧྲི།,,
,1199,136,1,《པེ་》《སྣར་》,བསྒོམ།,,
,,137,2,《པེ་》《སྣར་》,mཐུགས་ཀའི།,,
,,138,3,《པེ་》《སྣར་》,ཀྱིས།,,
,,139,4,《སྣར་》,གསལ།,,
,,140,5,《པེ་》《སྣར་》,སྤགས།,,
,,141,6,《པེ་》《སྣར་》,གསོ།,,
,,142,7,《པེ་》《སྣར་》,དུ།,,
,,143,8,《པེ་》《སྣར་》,སཏྭརྠ།,,
,,144,9,《པེ་》《སྣར་》,ད་ད་ཧཱ།,,
,1200,145,1,《པེ་》《སྣར་》,དྷཱཾ།,,
,,146,2,《པེ་》《སྣར་》,mཿ།,,
,,147,3,《པེ་》《སྣར་》,འཕངས།,,
,,148,4,《སྣར་》,བསྔགས།,,
,,149,5,《པེ་》《སྣར་》,གི།,,
,,150,6,《པེ་》《སྣར་》,ལྟ།,,
,,151,7,《པེ་》《སྣར་》,རྣམས།,,
,,152,8,《སྣར་》,སྦྱར།,,
,,153,9,《པེ་》《སྣར་》,ལྷ།,,
,1201,154,1,《པེ་》《སྣར་》,པའི།,,
,,155,2,《པེ་》《སྣར་》,ཆུད་པར།,,
,,156,3,《པེ་》《སྣར་》,པས།,,
,,157,4,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,158,5,《པེ་》《སྣར་》,ཙ།,,
,,159,6,《པེ་》《སྣར་》,pཏོ་ལོང་ཉིས་བརྒྱ་ཕུལ། བོ་ལོང་ཉི་ཤུ་ལ། ཏོ་ལོང་གཅིག །བོ་ལོང་བཅུ་གཉིས་ཞོ་གཅིག,,
