མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ། ,1728,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》《སྣར་》༄༅། །རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,དགྲ།,
,,4,3,《པེ་》,གདུང་།,
,,5,4,《པེ་》《སྣར་》,བསྲུངས།,
,,6,5,《པེ་》《སྣར་》,ཕཾ་ཕཾ་བེ་ཏ།,
,1729,7,1,《པེ་》《སྣར་》,ཁེང་།,
,,8,2,《པེ་》《སྣར་》,འོད་འདོད།,
,,9,3,《པེ་》《སྣར་》,ཨཊྚ་རྒོད་པ་ཡི།,
,,10,4,《པེ་》《སྣར་》,སྐྱེ།,
,,11,5,《པེ་》《སྣར་》,བསྲུང།,
,,12,6,《པེ་》《སྣར་》,རཾ།,
,,13,7,《པེ་》《སྣར་》,ཀྲཱུཾ་ཀྲཱུཾ་ཀྲཱུཾ།,
,,14,8,《པེ་》《སྣར་》,ཌཾ་ཌཾ་ཌཾ།,
,,15,9,《པེ་》《སྣར་》,རྩོ།,
,,16,10,《པེ་》,ཀྱི་ཚོགས་ཀྱི།,《སྣར་》,ཀྱི་ཚོགས་ཀྱིས།
,1730,17,1,《པེ་》《སྣར་》,ཤྲིཾ།,
,,18,2,《པེ་》《སྣར་》,ཏུ་གནོད་པའི་བགེགས།,
,,19,3,《པེ་》《སྣར་》,གསལ།,
,,20,4,《པེ་》《སྣར་》,ཡི།,
