མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,,89,2,《པེ་》,ཙམ།,,,,,,
,,90,3,《པེ་》《སྣར་》,གསལ།,,,,,,
,,91,4,《པེ་》《སྣར་》,པ།,,,,,,
,,92,5,《པེ་》《སྣར་》,pནི།,,,,,,
,,93,6,《པེ་》《སྣར་》,mམ།,,,,,,
,,94,7,《པེ་》《སྣར་》,mདེས།,,,,,,
,,95,8,《པེ་》《སྣར་》,mནི།,,,,,,
,,96,9,《པེ་》,མཐོན་པ།,,,,,,
,,97,10,《པེ་》,གཞན།,,,,,,
,914,98,1,《པེ་》《སྣར་》,མ།,,,,,,
,,99,2,《པེ་》《སྣར་》,pཔ་ཉིད།,,,,,,
,,100,3,《པེ་》《སྣར་》,mདོ།,,,,,,
,,101,4,《པེ་》,mམི།;《སྣར་》,མ།,,,,,
,,102,5,《པེ་》《སྣར་》《ཅོ་》,བརྗོད།,,,,,,
,,103,6,《པེ་》《སྣར་》,མི།,,,,,,
,,104,7,《པེ་》《སྣར་》,ན།,,,,,,
,,105,8,《པེ་》《སྣར་》,བ།,,,,,,
,,106,9,《པེ་》《སྣར་》,mན།,,,,,,
,915,107,1,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,108,2,《པེ་》《སྣར་》,འགྲུབ།,,,,,,
,,109,3,《པེ་》《སྣར་》,mལྡན་པ་དང་།,,,,,,
,,110,4,《སྣར་》,སོ།,,,,,,
,,111,5,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,112,6,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,,113,7,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,114,8,《པེ་》,ལ་ལྡོག་པ།;《སྣར་》,ལ་ལྡོག་མ།,,,,,
,916,115,1,《ཅོ་》,སྦྱོར།,,,,,,
,,116,2,《པེ་》《སྣར་》,mདེ།,,,,,,
,,117,3,《པེ་》《སྣར་》,བཟློག,,,,,,
,,118,4,《པེ་》《སྣར་》,མ།,,,,,,
,,119,5,《པེ་》《སྣར་》,དགོངས།,,,,,,
,,120,6,《པེ་》,pབ།,,,,,,
,,121,7,《པེ་》《སྣར་》,གཉན།,,,,,,
,,122,8,《པེ་》《སྣར་》,ལོག,,,,,,
,,123,9,《པེ་》《སྣར་》,མ།,,,,,,
,917,124,1,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,125,2,《པེ་》《སྣར་》,མཐོང་བ་དག,,,,,,
,,126,3,《པེ་》《སྣར་》,སྨོས།,,,,,,
,,127,4,《པེ་》《སྣར་》,སོགས།,,,,,,
,,128,5,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,129,6,《པེ་》《སྣར་》,pམ།,,,,,,
,,130,7,《པེ་》《སྣར་》,pཔ།,,,,,,
,918,131,1,《པེ་》《སྣར་》,pམ།,,,,,,
,,132,2,《པེ་》《སྣར་》,ལས།,,,,,,
,,133,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,134,4,《པེ་》《སྣར་》,པར།,,,,,,
,,135,5,《སྣར་》,བ་ཡང་མ།,,,,,,
,919,136,1,《སྣར་》,མི།,,,,,,
,,137,2,《པེ་》《སྣར་》,ཅིག,,,,,,
,,138,3,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,139,4,《པེ་》,མེད་དགའ་བ།;《སྣར་》《ཅོ་》,རེས་འགའ་བ།,,,,,
,,140,5,《པེ་》《སྣར་》,དེ།,,,,,,
,,141,6,《པེ་》《སྣར་》,དོ།།,,,,,,
,,142,7,《སྣར་》,ལས།,,,,,,
,,143,8,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
