མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱི་ལེའུའི་འགྲེལ་པ་བཞུགས་སོ།།,501,2,1,,མཚན་བྱང་འདི《སྡེ》《ཅོ་》ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་༄།    །བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ལེའུ་འགྲེལ་པ་སློབ་དཔོན་ཡོན་ཏན་འོད་ཀྱིས་མཛད་པ་བཞུགས།   ཞེས་འཁོད།
,,3,2,《པེ་》《སྣར་》,mཔ།
,,4,3,《པེ་》《སྣར་》,mབ།
,,5,4,《པེ་》《སྣར་》,mདོན་དང་།
,,6,5,《པེ་》《སྣར་》,mཔ།
,,7,6,《པེ་》《སྣར་》,བྱུང་།
,502,8,1,《པེ་》《སྣར་》,mབ།
,,9,2,《པེ་》《སྣར་》,mཅག
,,10,3,《པེ་》《སྣར་》,འདི།
,,11,4,《པེ་》《སྣར་》,mལྟ།
,,12,5,《པེ་》《སྣར་》,pབྱ།
,,13,6,《པེ་》《སྣར་》,སྒྲུབ།
,,14,7,《པེ་》《སྣར་》,mགནས་པ།
,503,15,1,《པེ་》《སྣར་》,རྟེན།
,,16,2,《པེ་》《སྣར་》,mནི།
,,17,3,《སྣར་》,བསྒྱུར།
,,18,4,《པེ་》《སྣར་》,mབ།
,504,19,1,《པེ་》《སྣར་》,pཡིན།
,,20,2,《པེ་》《སྣར་》,mཔ།
,,21,3,《པེ་》《སྣར་》,mདང་།
,,22,4,《པེ་》《སྣར་》,mདང་།
,,23,5,《པེ་》《སྣར་》,གྱི།
,,24,6,《པེ་》《སྣར་》,mཡིན།
,,25,7,《པེ་》《སྣར་》,རྟོགས།
,,26,8,《པེ་》《སྣར་》,རྟོགས།
,,27,9,《པེ་》《སྣར་》,mན།
,,28,10,《པེ་》《སྣར་》,mལ།
,505,29,1,《པེ་》《སྣར་》,དེ།
,,30,2,《པེ་》《སྣར་》,པའི།
,,31,3,《པེ་》《སྣར་》,དཔྱོད།
,,32,4,《པེ་》《སྣར་》,གིས།
,,33,5,《པེ་》《སྣར་》,གཉི་ག
,,34,6,《པེ་》《སྣར་》,mཡང་།
,,35,7,《པེ་》《སྣར་》,དགེ།
,,36,8,《པེ་》《སྣར་》,mཤེས་པ་ཡང་།
,,37,9,《པེ་》《སྣར་》,pགྱི་མདོ་ནི།
,506,38,1,《པེ་》《སྣར་》,སྡུམ།
,,39,2,《པེ་》《སྣར་》,སྙམ།
,,40,3,《པེ་》《སྣར་》,བསྲུང་།
,,41,4,《ཅོ་》,གིས།
,,42,5,《པེ་》《སྣར་》,mདང་།
,,43,6,《པེ་》《སྣར་》,mབ།
,,44,7,《པེ་》《སྣར་》,ཀྱི།
,,45,8,《པེ་》《སྣར་》,mརྗེས་སུ་འཕྲོད་པ་རྣམས་དང་།
,,46,9,《པེ་》《སྣར་》,mའདི།
,,47,10,《པེ་》《སྣར་》,གི།
,507,48,1,《པེ་》《སྣར་》,སྦྱར།
,,49,2,《པེ་》《སྣར་》,སྟོན།
,,50,3,《པེ་》《སྣར་》,mཉིད།
,,51,4,《པེ་》《སྣར་》,སྟོན།
,,52,5,《པེ་》《སྣར་》,ཏེ།
,,53,6,《པེ་》《སྣར་》,mབསྟན་པར།
,508,54,1,《པེ་》《སྣར་》,པ།
,,55,2,《པེ་》《སྣར་》,ཇི།
,,56,3,《པེ་》《སྣར་》,གི།
,,57,4,《པེ་》《སྣར་》,mཕྱིར།
,509,58,1,《པེ་》《སྣར་》,གྱིས།
,,59,2,《པེ་》《སྣར་》,mནི་མདོར།
,,60,3,《པེ་》《སྣར་》,mལོངས་སྤྱོད་ཀྱི་སྡུག་བསྔལ་ལས་གྱུར་པའོ།
,,61,4,《པེ་》《སྣར་》,གཟུང་།
,,62,5,《པེ་》《སྣར་》,mབུ་དང་།
,,63,6,《པེ་》《སྣར་》,pཔོ།
,,64,7,《པེ་》《སྣར་》,ཀྱིས།
,,65,8,《པེ་》《སྣར་》,pཔ།,
,510,66,1,《པེ་》《སྣར་》,mཟང་ཟིང་གཉིས་ཀྱིས་སོ།   །དེ་ལ།,
,,67,2,《སྣར་》,ཀྱི།,
,,68,3,《པེ་》《སྣར་》,པས་སོ།,
,,69,4,《པེ་》《སྣར་》,mརྗེས་སུ།,
,,70,5,《པེ་》《སྣར་》,ལ།,
,,71,6,《པེ་》《སྣར་》,mལས།,
,,72,7,《སྣར་》,pདེ།,
,,73,8,《པེ་》《སྣར་》,mགིས།,
,,74,9,《པེ་》《སྣར་》,ཀྱིས།,
,,75,10,《པེ་》《སྣར་》,mདང་།,
,,76,11,《པེ་》《སྣར་》,སྒྲུབ་པའོ།,
,511,77,1,《པེ་》《སྣར་》,པ།,
,,78,2,《པེ་》《སྣར་》,སྒྲུབ།,
,,79,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,80,4,《པེ་》,ཀུན་ནས།,《སྣར་》,mདཀྲིས་པས་ཀུན་ནས།
,,81,5,《པེ་》《སྣར་》,མཐོ།
,,82,6,《སྣར་》,སྒྲུབ།
,,83,7,《པེ་》《སྣར་》,པ།
,,84,8,《སྣར་》,pཡང་།
,,85,9,《པེ་》《སྣར་》,བརྟེན།
,,86,10,《པེ་》《སྣར་》,བརྟེན།
,,87,11,《པེ་》《སྣར་》,ལ།
,,88,12,《པེ་》《སྣར་》,mཡང་།
,,89,13,《པེ་》《སྣར་》,ཤད་ཀྱིས།
,,90,14,《པེ་》《སྣར་》,པའི།
,,91,15,《པེ་》《སྣར་》,བྱ་བའི།
,512,92,1,《པེ་》《སྣར་》,གགས།
,,93,2,《པེ་》《སྣར་》,ངག་གི།
,,94,3,《པེ་》《སྣར་》,pཀྱང་།
,,95,4,《པེ་》《སྣར་》,pདང་།
,,96,5,《པེ་》《སྣར་》,འབོག
,,97,6,《པེ་》《སྣར་》,mབ།
,,98,7,《པེ་》《སྣར་》,pདེ།
,,99,8,《པེ་》《སྣར་》,བྱའོ།
,,100,9,《པེ་》《སྣར་》,mཡིན།
,,101,10,《པེ་》《སྣར་》,mཅི།
,513,102,1,《པེ་》《སྣར་》,གསུམ།
,,103,2,《པེ་》《སྣར་》,ལས།
,,104,3,《པེ་》《སྣར་》,ལས།
,,105,4,《པེ་》《སྣར་》,ལས།
,,106,5,《པེ་》《སྣར་》,pརྣམས།
,,107,6,《པེ་》《སྣར་》,པའི།
,,108,7,《པེ་》《སྣར་》,བྱ་བའི།
,,109,8,《པེ་》《སྣར་》,དེའི།
,,110,9,《པེ་》《སྣར་》,ཏོ།།
