མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,,102,7,《པེ་》《སྣར་》,འདིར།
,,103,8,《པེ་》《སྣར་》,པར།
,,104,9,《པེ་》《སྣར་》,པོ་ལས་ལ།
,,105,10,《པེ་》《སྣར་》,པར།      །གྲུབ།
,,106,11,《པེ་》《སྣར་》,པོས་གསལ།
,,107,12,《སྣར་》,པོ།
,,108,13,《པེ་》《སྣར་》,མའང་།
,15,109,1,《པེ་》《སྣར་》,ཀྱིས།
,,110,2,《པེ་》《སྣར་》,བསལ།
,,111,3,《པེ་》《སྣར་》,བསལ།
,,112,4,《སྣར་》,ཡིས།
,,113,5,《པེ་》,པོ་དེ་ཉིད་ནི།,《སྣར་》,པོ་དེ་ཉིད་ན།
,,114,6,《པེ་》《སྣར་》,ལའང་།,《ཅོ་》,ཡང་།
,,115,7,《པེ་》《སྣར་》,མེ།
,16,116,1,《པེ་》《སྣར་》,ཉིད་ཡིན་ན།
,,117,2,《པེ་》《སྣར་》,གི།
,,118,3,《སྣར་》,སྲེད།
,,119,4,《པེ་》《སྣར་》,པར།
,,120,5,《པེ་》《སྣར་》,འགྱུར།
,,121,6,《པེ་》《སྣར་》,མེ།
,,122,7,《པེ་》,པོ་དྲུག,《སྣར་》,པོ་གྲུབ།
,,123,8,《པེ་》《སྣར་》,སྒྲུབ།
,,124,9,《པེ་》《སྣར་》,ཡང་།
,,125,10,《པེ་》《སྣར་》,གྲུབ།
,,126,11,《པེ་》《སྣར་》,འགྲུབ།
,17,127,1,《པེ་》,བསྒོམ།,《སྣར་》,བསྒོམས།
,,128,2,《པེ་》《སྣར་》,ལའང་།
,,129,3,《པེ་》《སྣར་》,བླང་བའི།
,,130,4,《པེ་》《སྣར་》,ཉིད་ཅེས།
,,131,5,《པེ་》《སྣར་》,སྔོན།
,,132,6,《པེ་》《སྣར་》,ཐ་མ་མ་མེད།
,,133,7,《པེ་》《སྣར་》,མ་ཐ་མེད་པ།
,,134,8,《པེ་》《སྣར་》,འཕྱི།
,,135,9,《པེ་》《སྣར་》,གྱུར།
,,136,10,《ཅོ་》,མ།
,,137,11,《པེ་》《སྣར་》,ལས།
,,138,12,《པེ་》《སྣར་》,དེ།
,18,139,1,《པེ་》《སྣར་》,གཉིས་ཀས།
,,140,2,《པེ་》《སྣར་》,བྱུང་།
,,141,3,《པེ་》《སྣར་》,དེ།
,,142,4,《པེ་》《སྣར་》,འདི་ལས་དེ།
,,143,5,《པེ་》《སྣར་》,དེ།
,,144,6,《པེ་》《སྣར་》,དེས
,,145,7,《སྣར་》,བཞན།
,,146,8,《པེ་》《སྣར་》,འགྱུར།
,19,147,1,《པེ་》《སྣར་》,པ།
,,148,2,《པེ་》《སྣར་》,རྣམས།
,,149,3,《པེ་》《སྣར་》,བསླུ།
,,150,4,《པེ་》《སྣར་》,རྫུན།
,,151,5,《པེ་》《སྣར་》,བསླུ།
,,152,6,《པེ་》《སྣར་》,རྫུན།
,,153,7,《པེ་》《སྣར་》,བསླུ།
,,154,8,《པེ་》《སྣར་》,རྫུན།
,,155,9,《པེ་》《སྣར་》,བསླུ།
,,156,10,《པེ་》《སྣར་》,ཇི་ལྟ་བུར་ན་གཞན་དུ་འགྱུར།
,,157,11,《པེ་》《སྣར་》,གྱུར།
,,158,12,《པེ་》《སྣར་》,པའང་།
,,159,13,《པེ་》《སྣར་》,པའང་།
,20,160,1,《པེ་》《སྣར་》,གྱིས་སོ།
,,161,2,《སྣར་》,མ།
,,162,3,《པེ་》《སྣར་》,ནི་གཞན་དང་།
,,163,4,《པེ་》《སྣར་》,བ།
,21,164,1,《པེ་》《སྣར་》,གཞན་དངོས།
,,165,2,《པེ་》《སྣར་》,ཀཱ་ཏྱཱ།
,,166,3,《པེ་》《སྣར་》,ཀ་དགག་པར་གསུངས།
,,167,4,《པེ་》,མ་ཡིན།,《སྣར་》,མ་ཡིན་ན།
,,168,5,《སྣར་》,ཡིད།
,,169,6,《པེ་》《སྣར་》,བརྟག
,22,170,1,《པེ་》,བསྒོམ།,《སྣར་》,བསྒོམས།
,23,171,1,《པེ་》《སྣར་》,དག
,,172,2,《པེ་》《སྣར་》,གི།
,,173,3,《པེ་》《སྣར་》,སྤྱོད།
,,174,4,《པེ་》《སྣར་》,འདོད།
,,175,5,《པེ་》《སྣར་》,དཔའ།
,,176,6,《པེ་》《སྣར་》,བསྐྱེད།
,,177,7,《པེ་》《སྣར་》,བུ།
,,178,8,《པེ་》《སྣར་》,རྒྱུ།
,,179,9,《པེ་》《སྣར་》,རྟག་པ་དེར་གྱུར།
,24,180,1,《པེ་》《སྣར་》,རྟག  
,,181,2,《པེ་》《སྣར་》,དཔང་རྒྱ་ཇི་ལྟར།
,,182,3,《པེ་》《སྣར་》,བགོམ།
,,183,4,《པེ་》《སྣར་》,བསྐྱེད།
,,184,5,《པེ་》《སྣར་》,བ།
,,185,6,《པེ་》《སྣར་》,འཕོས་པ།
,,186,7,《པེ་》《སྣར་》,པུ།
,,187,8,《པེ་》《སྣར་》,ཐམས་ཅད།
,,188,9,《པེ་》《སྣར་》,རྣམ།
,,189,10,《པེ་》《སྣར་》,པར།
,,190,11,《པེ་》《སྣར་》,ཇི།
,25,191,1,《པེ་》《སྣར་》,སྒྲིབ།
,,192,2,《པེ་》《སྣར་》,ནི།
,,193,3,《པེ་》5,དང་།
,,194,4,《པེ་》《སྣར་》,དེའི།
,,195,5,《པེ་》《སྣར་》,བྱེད།
,,196,6,《པེ་》《སྣར་》,ཇི།
,,197,7,《པེ་》《སྣར་》,ནི།
,,198,8,《སྣར་》,pདང་འབྲས་བུ།
,26,199,1,《སྣར་》,ང་།
,,200,2,《པེ་》《སྣར་》,བརྟགས།
,,201,3,《པེ་》《སྣར་》,སྤྲོས།
,,202,4,《པེ་》《སྣར་》,སྤྲོས།
,,203,5,《པེ་》《སྣར་》,མིན།
,,204,6,《པེ་》《སྣར་》,བྱུང་།
,,205,7,《པེ་》《སྣར་》,པ།
,,206,8,《པེ་》《སྣར་》,སྟེ།
,,207,9,《པེ་》《སྣར་》,པ་ན།
,27,208,1,《པེ་》,བརྟེན།,《སྣར་》,བརྟན།
,,209,2,《པེ་》《སྣར་》,mདང་ཆོས།
,,210,3,《པེ་》《སྣར་》,གཟུང་།
,,211,4,《པེ་》《སྣར་》,པ།
,28,212,1,《པེ་》《སྣར་》,འགགས།
,,213,2,《པེ་》《སྣར་》,བསྐྱེད་པར་བྱ།
,,214,3,《པེ་》《སྣར་》,སྐྱེ།
,,215,4,《པེ་》《སྣར་》,སྐྱེ།  ཇི།
,,216,5,《པེ་》《སྣར་》,བསྐྱེད།
,,217,6,《པེ་》《སྣར་》,དང་།
,,218,7,《པེ་》《སྣར་》,གྱུར་པ།
,,219,8,《པེ་》《སྣར་》,གྱུར་པ།
,,220,9,《པེ་》《སྣར་》,གྱུར་པ།
,,221,10,《པེ་》《སྣར་》,བསྐྱེད།
,29,222,1,《པེ་》《སྣར་》,བསྐྱེད།
,,223,2,《པེ་》《སྣར་》,བུ།
,,224,3,《པེ་》《སྣར་》,ཅིག
,,225,4,《པེ་》《སྣར་》,བསྐྱེད་པར་འགྱུར།
,,226,5,《པེ་》《སྣར་》,ཡིས།
,,227,6,《པེ་》《སྣར་》,གི།
,,228,7,《པེ་》《སྣར་》,བསྐྱེད།
,30,229,1,《པེ་》《སྣར་》,ཅིག
,,230,2,《པེ་》《སྣར་》,ལྷན་ཅིག
,,231,3,《པེ་》《སྣར་》,ལས།
,,232,4,《པེ་》《སྣར་》,པའང་།
,,233,5,《པེ་》《སྣར་》,པའང་།
,,234,6,《པེ་》《སྣར་》,ལ།
,,235,7,《པེ་》《སྣར་》,ནི།
,31,236,1,《པེ་》《སྣར་》,ནས།
