མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,པར་གྲངས།
༄༅། །འབྲེལ་པ་བརྟག་པའི་རབ་ཏུ་བྱེད་པ།,880,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་འབྲེལ་པ་བརྟགས་པའི་རབ་ཏུ་བྱེད་པ་བཞུགས་སྷོ། །ཞེས་དང་། 《སྣར་》ལ་འབྲེལ་པ་བརྟག་པའི་…...བཞུགས་སྷོ། །ཞེས་འཁོད།,,,,,,,
,,3,2,《པེ་》,བཾ་དྷ། པ་རཱིཀྵ།,《སྣར་》,བཾ་དྷ། རཱིཀྵ།,《ཅོ་》,བནྡྷ་པ་རཀྵི།,,,,,
,,4,3,《པེ་》《སྣར་》,།། །།,,,,,,,
,,5,4,《པེ་》《སྣར་》,ལ་དེའང་།,,,,,,,
,,6,5,《པེ་》《སྣར་》,ཉིད།,,,,,,,
,,7,6,《པེ་》,བལྟའོ།,《སྣར་》,བལྟོས།,,,,,,
,,8,7,《པེ་》《སྣར་》,དུ།,,,,,,,
,,9,8,《པེ་》,ལས།,,,,,,,
,881,10,1,《པེ་》《སྣར་》,འབྲེལ།,,,,,,,
,,11,2,《པེ་》,འགོག,,,,,,,
,,12,3,《པེ་》《སྣར་》,དང་།,,,,,,,
,,13,4,《པེ་》《སྣར་》,གཉིས།,,,,,,,
,,14,5,《སྣར་》,རྭས།,,,,,,,
,,15,6,《པེ་》《སྣར་》,གཉིས།,,,,,,,
,882,16,1,《པེ་》《སྣར་》,པར།,,,,,,,
,,17,2,《ཅོ་》,འགྲེལ།,,
,,18,3,《པེ་》《སྣར་》,པ་ན།,,
,,19,4,《སྣར་》,འབྲལ།,,
,,20,5,《སྣར་》,བ།,,
,,21,6,《པེ་》《སྣར་》,སོ།,,
,,22,7,《པེ་》《སྣར་》,ཙ།,,
,,23,8,《པེ་》《སྣར་》,བའོ།། །།,,
,,24,9,《པེ་》《སྣར་》,mསླད་ཀྱི་པཎྜི་ཏ་…...གཏན་ལ་ཕབ་པ།,,
