མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
ཀླུ་གཏོར་གྱི་ཆོ་ག,1273,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》གླུ་གཏོར་གྱི་ཆོ་ག་བཞུགས་སོ།།
,,3,2,《པེ་》《སྣར་》,pཨ་བ།
,,4,3,《པེ་》《སྣར་》,pརཱ་ཛ།
,,5,4,《པེ་》《སྣར་》,mཿ
,,6,5,《པེ་》《སྣར་》,བསྒོམ།
,,7,6,《པེ་》《སྣར་》,mཿ
,,8,7,《པེ་》《སྣར་》,ལྟ།
,1274,9,1,《པེ་》《སྣར་》,ཧི།
,,10,2,《པེ་》《སྣར་》,བྲུཾ།
,,11,3,《པེ་》《སྣར་》,མ།
,,12,4,《པེ་》《སྣར་》,ཨུ།
,,13,5,《པེ་》《སྣར་》,ཏི།
,,14,6,《པེ་》《སྣར་》,རིག
,,15,7,《པེ་》《སྣར་》,དགའོ།
,,16,8,《པེ་》《སྣར་》,བསྣོམས།
,,17,9,《པེ་》《སྣར་》,ཅེས།,,
,1275,18,1,《པེ་》《སྣར་》,ཡིས།,,
,,19,2,《པེ་》《སྣར་》,ཕམ་ཕབས་འདི་བསྣོམས།,,
,,20,3,《པེ་》《སྣར་》,རེའི།,,
,,21,4,《པེ་》《སྣར་》,བཏང་།,,
,,22,5,《པེ་》,ཙ།,《སྣར་》,ཚ།,
