མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
དཔལ་ཚོགས་ཀྱི་བདག་པོ་ཞི་བའི་སྒྲུབ་ཐབས།,768,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》,བཞུག,
,769,4,1,《པེ་》,སྟིམས།,
,,5,2,《པེ་》,སྒྱུར།,
,,6,3,《པེ་》,ཁམ།,
,770,7,1,《པེ་》,གྱིས།,
,,8,2,《པེ་》,བརྟེན།,
,,9,3,《པེ་》,༽མངྒཱ་ལཾ།,
