མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
༄༅། །རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,1685,2,1,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད།
,,3,2,《པེ་》《སྣར་》,པས།
,1686,4,1,《པེ་》《སྣར་》,ཡོངས།
,,5,2,《པེ་》《སྣར་》,བརྟགས།
,,6,3,《པེ་》《སྣར་》,བཞིན།
,,7,4,《པེ་》《སྣར་》,བརྒྱུག
,1587,8,1,《པེ་》《སྣར་》,བརྒྱུག
,,9,2,《པེ་》《སྣར་》,བརྒྱུག
,,10,3,《པེ་》《སྣར་》,པ།
,,11,4,《པེ་》《སྣར་》,ཀྱིས།
,,12,5,《པེ་》《སྣར་》,གྱི།
,,13,6,《པེ་》《སྣར་》,བལྟོས།
,,14,7,《པེ་》《སྣར་》,རྟོགས།
,,15,8,《པེ་》《སྣར་》,བ།
,,16,9,《པེ་》《སྣར་》,བ།
,,17,10,《པེ་》《སྣར་》,བལྟ།,
,,18,11,《པེ་》《སྣར་》,འཇིགས།,
,,19,12,《པེ་》《སྣར་》,བ་དྷུ་ཏཱི།,
,1588,20,1,《པེ་》《སྣར་》,mཔ།,
,,21,2,《པེ་》《སྣར་》,mའདས།,
,,22,3,《པེ་》《སྣར་》,གཉེ།,
