མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
༄༅། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་མདོ་ཙམ་གདམས་ངག་ཏུ་བྱས་པ།།,1795,2,1,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་དབུའི་མཚན་སྨོས་པ་ལས་བླངས་ཏེ་བཀོད་ཅིང་། ཆོས་ཚན་འདི་གོང་གི་ཆོས་ཚན་(༣༡༧༦)པར་《སྡེ》《ཅོ》《པེ》《སྣར་》བཞི་ཀར་བཞུགས་སྟབས་བསྐྱར་ཟློས་སུ་སོང་མོད་འདིར་《པེ་》ལ་གཞི་བཟུང་ནས་《སྣར་》དང་དཔེ་བསྡུར་བྱས་པ་ཡིན། 
,,3,2,《སྣར་》,pཉི།,,,,,
,,4,3,《སྣར་》,གོང་།,,,,,
,1796,5,1,《སྣར་》,སྤོངས།,,,,,
,,6,2,《སྣར་》,ཀྱི།,,,,,
,1797,7,1,《སྣར་》,ངོ་དགའ་སྤང་།,,,,,
