མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲ་མདོ། རེ།,1037,2,1,《པེ་》《སྣར་》,རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ་སདྷི་བྷ་དྲས་མཛད་པ།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,18,《པེ་》《སྣར་》,ལས།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,19,《པེ་》《སྣར་》,པ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,20,《པེ་》《སྣར་》,ཁརྲ་ལ་ཛྷལྲའི་ཙརྲའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48,21,《པེ་》《སྣར་》,ཛུཥ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,22,《པེ་》《སྣར་》,རུང་།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,23,《པེ་》,ཧ་ཤལྲ་འང་ཨཏྲ་་ལསྲ།,《སྣར་》,ཧ་ཤལྲ་འང་ཨཏ་ལས།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,24,《པེ་》《སྣར་》《ཅོ་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,25,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53,26,《པེ་》《སྣར་》,ཤྲཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1040,54,1,《པེ་》《སྣར་》,དྀ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55,2,《པེ་》《སྣར་》,ཤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56,3,《པེ་》《སྣར་》,ཤདྦྷྱཱཾ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,4,《པེ་》《སྣར་》,དྲྀ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,5,《སྣར་》,དྲི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,6,《སྣར་》,ཤྲཏ། ཧེ་དྲྀ་ཤདྲ་ཧྲེ་དྲྀ་ཤ་དོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
