མཚན་བྱང། ,ཤོག་གྲངས། ,1,མཆན་གྲངས།,དཔར་མ།,མཆན། 
,157,2,1,《པེ་》《སྣར་》,པ།
,,3,2,《པེ་》《སྣར་》,པ་བསྟིམས།
,,4,3,《པེ་》《སྣར་》,པ།
,,5,4,《པེ་》《སྣར་》,དགོངས།
,,6,5,《སྣར་》,ཚིགས།
,,7,6,《པེ་》《སྣར་》,mཉིད།
,,8,7,《པེ་》《སྣར་》,ནན།
,,9,8,《པེ་》《སྣར་》,བསྲུངས།
,158,10,1,《པེ་》《སྣར་》,pདང་།
,,11,2,《པེ་》《སྣར་》,ཚིག་བཤད།
,,12,3,《པེ་》《སྣར་》,སྙེག
,,13,4,《པེ་》《སྣར་》,ཟད།
,159,14,1,《པེ་》《སྣར་》,པ།
,,15,2,《པེ་》《སྣར་》,རྩི།
