མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
,,95,3,《པེ་》《སྣར་》,mཔར།,,
,1190,96,1,《པེ་》《སྣར་》,བ།,,
,,97,2,《པེ་》《སྣར་》,m྅།,,
,,98,3,《པེ་》《སྣར་》,ཧྲི།,,
,1191,99,1,《པེ་》《སྣར་》,mདེའི་སྐུར་བཅུག་ལ།,,
,,100,2,《པེ་》《སྣར་》,བཞུག,,
,,101,3,《པེ་》《སྣར་》,པར།,,
,1192,102,1,《ཅོ་》,pཔ།,,
,,103,2,《པེ་》《སྣར་》,mདང་ཕྱག,,
,,104,3,《པེ་》《སྣར་》,pཔ།,,
,,105,4,《པེ་》《སྣར་》,རིམ།,,
,1193,106,1,《པེ་》《སྣར་》,mལ་སྤྲོ།,,
,,107,2,《པེ་》《སྣར་》,དཀར།,,
,,108,3,《པེ་》《སྣར་》,དབྱུག,,
,,109,4,《པེ་》《སྣར་》,བིགྷྣན་ཏ།,,
,,110,5,《པེ་》《སྣར་》,mདང་།,,
,1194,111,1,《པེ་》,ཀྱིས།,,
,,112,2,《པེ་》《སྣར་》,ལེགས།,,
,,113,3,《པེ་》《སྣར་》,རིམ།,,
,1195,114,1,《པེ་》《སྣར་》,mལ།,,
,,115,2,《པེ་》《སྣར་》,དུ།,,
,,116,3,《པེ་》《སྣར་》,pདེ།,,
,,117,4,《པེ་》《སྣར་》,རིམ།,,
,1196,118,1,《པེ་》,mའོད་ཟེར།,,
,,119,2,《པེ་》《སྣར་》,པར།,,
,,120,3,《པེ་》《སྣར་》,པ།,,
,,121,4,《སྣར་》,སརྦ།,,
,,122,5,《པེ་》《སྣར་》,m྅།,,
,,123,6,《པེ་》《སྣར་》,མཁའ།,,
,,124,7,《པེ་》,གསུངས།,,
,1197,125,1,《པེ་》《སྣར་》,བྲུཾ་ཨཾ་ཛིཾ།,,
,,126,2,《པེ་》,བརླབ།,,
,,127,3,《པེ་》《སྣར་》,མྱང་།,,
,,128,4,《པེ་》《སྣར་》,ཀྱི།,,
,,129,5,《པེ་》《སྣར་》,ལེའི།,,
,,130,6,《པེ་》《སྣར་》,ཀྱི།,,
,,131,7,《སྣར་》,pདེ་ནས།,,
,1198,132,1,《པེ་》《སྣར་》,གྱིས།,,
,,133,2,《པེ་》《སྣར་》,mགྱི།,,
,,134,3,《པེ་》《སྣར་》,ཧྲི།,,
,1199,135,1,《པེ་》《སྣར་》,བསྒོམ།,,
,,136,2,《པེ་》《སྣར་》,mཐུགས་ཀའི།,,
,,137,3,《པེ་》《སྣར་》,ཀྱིས།,,
,,138,4,《སྣར་》,གསལ།,,
,,139,5,《པེ་》《སྣར་》,སྤགས།,,
,,140,6,《པེ་》《སྣར་》,གསོ།,,
,,141,7,《པེ་》《སྣར་》,དུ།,,
,,142,8,《པེ་》《སྣར་》,སཏྭརྠ།,,
,,143,9,《པེ་》《སྣར་》,ད་ད་ཧཱ།,,
,1200,144,1,《པེ་》《སྣར་》,དྷཱཾ།,,
,,145,2,《པེ་》《སྣར་》,mཿ།,,
,,146,3,《པེ་》《སྣར་》,འཕངས།,,
,,147,4,《སྣར་》,བསྔགས།,,
,,148,5,《པེ་》《སྣར་》,གི།,,
,,149,6,《པེ་》《སྣར་》,ལྟ།,,
,,150,7,《པེ་》《སྣར་》,རྣམས།,,
,,151,8,《སྣར་》,སྦྱར།,,
,,152,9,《པེ་》《སྣར་》,ལྷ།,,
,1201,153,1,《པེ་》《སྣར་》,པའི།,,
,,154,2,《པེ་》《སྣར་》,ཆུད་པར།,,
,,155,3,《པེ་》《སྣར་》,པས།,,
,,156,4,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,157,5,《པེ་》《སྣར་》,ཙ།,,
,,158,6,《པེ་》《སྣར་》,pཏོ་ལོང་ཉིས་བརྒྱ་ཕུལ། བོ་ལོང་ཉི་ཤུ་ལ། ཏོ་ལོང་གཅིག །བོ་ལོང་བཅུ་གཉིས་ཞོ་གཅིག,,
