མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
དི་པཾ་ཀཱ་ར་ཤྲཱི་ཛྙཱ་ནའི་ཆོས་ཀྱི་གླུ།,72,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་རྫོགས་བྱང་ལས་བླངས་ཏེ་བཀོད།
,,3,2,《སྣར་》,ཅན།,,,,,,
,,4,3,《པེ་》《སྣར་》,སྙོམས།,,,,,,
,,5,4,《པེ་》《སྣར་》,སྙོམས།,,,,,,
,,6,5,《སྣར་》,དང་།,,,,,,
,,7,6,《པེ་》《སྣར་》,སྙོམས།,,,,,,
,,8,7,《པེ་》,པམ་ཀ ,《སྣར་》,པི་ཀ,,,,,
