མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
དབུ་མའི་དོན་བསྡུས་པ།,851,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐདདུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་༄༅། །དབུ་མའི་དོན་བསྡུས་པ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《ཅོ་》,སྃ།,
,,4,3,《པེ་》《སྣར་》,སྟོང་བར།,
,,5,4,《པེ་》《སྣར་》,ཞུགས།,
,,6,5,《སྣར་》,mཔ།,
,852,7,1,《སྣར་》,mདམ།,
,,8,2,《པེ་》《སྣར་》,ཡིས།,
,,9,3,《པེ་》《སྣར་》,ཐོབ།,
,,10,4,《པེ་》《སྣར་》,mདགེ་བ་བདག་གིས་བསགས་པ་ཡི།།,
,,11,5,《པེ་》《སྣར་》,།། །།,
,,12,6,《པེ་》《སྣར་》,མའི།,
,,13,7,《པེ་》《སྣར་》,འབྱེད།,
,,14,8,《པེ་》《སྣར་》,ལོཙྪ།,
