མཚན་བྱང། ,ཤོག་གྲངས། ,1,མཆན་གྲངས།,དཔར་མ།,མཆན། ,
,235,2,1,《པེ་》《སྣར་》,ཡས།,
,,3,2,《པེ་》《སྣར་》,pཔ།,
,,4,3,《པེ་》《སྣར་》,མེན་ཐབས།,
,,5,4,《པེ་》《སྣར་》,རྐྱེན།,
,236,6,1,《པེ་》《སྣར་》,ཀྱིས།,
,,7,2,《སྣར་》,བཅས།,
,,8,3,《པེ་》《སྣར་》,བསྟན།,
,,9,4,《པེ་》《སྣར་》,དྲང་སྟེ།,
,,10,5,《པེ་》,བཞུག,《སྣར་》,གཞུག
,,11,6,《པེ་》,སྟིམས།,《སྣར་》,སྟིམ།
,,12,7,《པེ་》《སྣར་》,ལུས།,
,237,13,1,《པེ་》《སྣར་》,བྱ།,
,,14,2,《པེ་》《སྣར་》,ཉ།,
,,15,3,《པེ་》《སྣར་》,ཡལ།,
,,16,4,《པེ་》《སྣར་》,བཟུང་།,
,,17,5,《པེ་》《སྣར་》,གྲང།,
,,18,6,《པེ་》《སྣར་》,བཟུང་བའོ།,
,,19,7,《པེ་》《སྣར་》,ལ།,
,,20,8,《པེ་》《སྣར་》,ལས།,
,,21,9,《པེ་》《སྣར་》,པ།,
,,22,10,《པེ་》《སྣར་》,བསལ།,
,,23,11,《པེ་》《སྣར་》,འགྱུར་བ་རང་།,
,,24,12,《པེ་》《སྣར་》,ཕུབས་བརྟིབས།,
,,25,13,《པེ་》《སྣར་》,བས།,
,238,26,1,《པེ་》《སྣར་》,བཅུད།,
,,27,2,《པེ་》《སྣར་》,མཚམས།,
,,28,3,《པེ་》《སྣར་》,ཟློ།,
,,29,4,《པེ་》《སྣར་》,འབྲུ།,
,,30,5,《པེ་》《སྣར་》,བསྐྱེད།,
,,31,6,《པེ་》《སྣར་》,བས།,
,,32,7,《པེ་》《སྣར་》,རྟོག་པས་སྒོམ།,
,239,33,1,《པེ་》《སྣར་》,mཔས།,
,,34,2,《པེ་》《སྣར་》,སྒོམ།,
,,35,3,《པེ་》《སྣར་》,mསྒྲ།,
,,36,4,《པེ་》《སྣར་》,ཟློག,
,,37,5,《པེ་》《སྣར་》,འགྱུར།,
,,38,6,《པེ་》《སྣར་》,བཅད།,
,,39,7,《པེ་》《སྣར་》,pཔ།,
,,40,8,《པེ་》《སྣར་》,ནི།,
,240,41,1,《པེ་》《སྣར་》,གཉིས།,
