མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
ཡང་དག་ལྟ་བའི་སྒྲོན་མ་ཞེས་བྱ་བ།,1684,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། །ཡང་དག་ལྟ་བའི་སྒྲོམ་མ་ཞེས་བྱ་བ་བཞུགས་སོ། །,
,,3,2,《པེ་》《སྣར་》,ཤོར།,
,,4,3,《པེ་》《སྣར་》,བལྟ།,
,1685,5,1,《པེ་》《སྣར་》,རྟོག,
,,6,2,《པེ་》《སྣར་》,པར། །རང་འབྱུང་།,
,,7,3,《སྣར་》,སྲུབས།,
,,8,4,《པེ་》,འཁར་པ།,《སྣར་》,མཁར་པ།
,,9,5,《པེ་》《སྣར་》,སོ་ནམ།,
,,10,6,《པེ་》《སྣར་》,བལྟ།,
