མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,88,6,《པེ་》《སྣར་》,ཏུ།,,,,,
,,89,7,《པེ་》《སྣར་》,pབ།,,,,,
,,90,8,《པེ་》《སྣར་》,mམངོན་སུམ་གྱིས།,,,,,
,,91,9,《པེ་》《སྣར་》,འཚོང་།,,,,,
,872,92,1,《པེ་》《སྣར་》,mདེ་དག་གིས།,,,,,
,,93,2,《པེ་》《སྣར་》,པས།,,,,,
,,94,3,《པེ་》《སྣར་》,བྱ།,,,,,
,,95,4,《པེ་》《སྣར་》,ཚད་མ་མ་ཡིན་པས་ཡོད་པ་ཁས་ལེན་པ་མི་རིགས་སོ།།,,,,,
,,96,5,《པེ་》《སྣར་》,བལྟོས།,,,,,
,,97,6,《པེ་》《སྣར་》,pཔ་ཡོད་པ་དག་གིས་ཐ་དད་དང་ཐ་དད་པ་མ་ཡིན།,,,,,
,,98,7,《པེ་》《སྣར་》,mདེ།,,,,,
,,99,8,《པེ་》《སྣར་》,གྱིས།,,,,,
,873,100,1,《པེ་》《སྣར་》,བཙུབ་ཤིང་བཙུབས།,,,,,
,,101,2,《པེ་》《སྣར་》,ལྦངས།,,,,,
,,102,3,《པེ་》《སྣར་》,བསྲེག,,,,,
,,103,4,《པེ་》《སྣར་》,mདུ།,,,,,
,,104,5,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,105,6,《པེ་》《སྣར་》,སྒྲ།,,,,,
,,106,7,《པེ་》《སྣར་》,གྲུབ།,,,,,
,,107,8,《པེ་》,ཉིད།;《སྣར་》,དེ་ཉིད།,,,,
,,108,9,《པེ་》《སྣར་》,mཡོད་དུ་ཟིན་ཀྱང་།,,,,,
,,109,10,《པེ་》《སྣར་》,པ།,,,,,
,,110,11,《པེ་》《སྣར་》,mལས།,,,,,
,,111,12,《པེ་》《སྣར་》,mརིག,,,,,
,,112,13,《པེ་》《སྣར་》,mདེ།,,,,,
,,113,14,《པེ་》《སྣར་》,pཡང་།,,,,,
,,114,15,《པེ་》《སྣར་》,བླངས་པར་བྱ་བ་དང་།,,,,,
,,115,16,《པེ་》《སྣར་》,mཔ།,,,,,
,,116,17,《པེ་》《སྣར་》,བྱ་བའོ།,,,,,
,,117,18,《པེ་》《སྣར་》,pའགའ་ཞིག,,,,,
,,118,19,《པེ་》《སྣར་》,pམི་ལྡོག་པའི་ཕྱིར་ཐམས་ཅད།,,,,,
,874,119,1,《པེ་》《སྣར་》,mའགའ་ཞིག་ཏུ།,,,,,
,,120,2,《སྣར་》,mརོ།,,,,,
,,121,3,《པེ་》《སྣར་》,བཞག,,,,,
,,122,4,《པེ་》《སྣར་》,བཞག,,,,,
,,123,5,《པེ་》《སྣར་》,ནོ།,,,,,
,,124,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,125,7,《པེ་》《སྣར་》,mདེ།,,,,,
,,126,8,《པེ་》《སྣར་》,mནོ།,,,,,
,,127,9,《པེ་》《སྣར་》,གི།,,,,,
,,128,10,《པེ་》《སྣར་》,ལོག,,,,,
,,129,11,《པེ་》《སྣར་》,mཡང་།,,,,,
,875,130,1,《པེ་》《སྣར་》,ལོག,,,,,
,,131,2,《པེ་》《སྣར་》,ལོག,,,,,
,,132,3,《པེ་》《སྣར་》,mདེ།,,,,,
,,133,4,《པེ་》《སྣར་》,pམ།,,,,,
,,134,5,《པེ་》《སྣར་》,གྱིས།,,,,,
,,135,6,《ཅོ་》,འཇིགས།,,,,,
,,136,7,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,137,8,《པེ་》《སྣར་》,འགྱུར་བ།,,,,,
,,138,9,《པེ་》《སྣར་》,mདེ་ནི།,,,,,
,876,139,1,《པེ་》《སྣར་》,འདི།,,,,,
,,140,2,《པེ་》《སྣར་》,mགང་།,,,,,
,,141,3,《པེ་》《སྣར་》,pབ།,,,,,
,,142,4,《སྣར་》,དང་།,,,,,
,877,143,1,《པེ་》《སྣར་》,mསུ།,,,,,
,,144,2,《སྣར་》,mནོ།,,,,,
,,145,3,《པེ་》《སྣར་》,ལྡོག,,,,,
,,146,4,《པེ་》《སྣར་》,pལ།,,,,,
,,147,5,《པེ་》《སྣར་》,mལ།,,,,,
,,148,6,《པེ་》《སྣར་》,mཔ།,,,,,
,,149,7,《སྣར་》,བཞག,,,,,
,,150,8,《པེ་》《སྣར་》,གི།,,,,,
,,151,9,《པེ་》《སྣར་》,སྐྱེས་པ།,,,,,
,,152,10,《པེ་》《སྣར་》,ཏེ།,,,,,
,878,153,1,《པེ་》《སྣར་》,mདག,,,,,
,,154,2,《པེ་》《སྣར་》,mཔ།,,,,,
,,155,3,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,156,4,《པེ་》《སྣར་》,བརྟགས།,,,,,
,,157,5,《པེ་》《སྣར་》,pགང་།,,,,,
,879,158,1,《པེ་》《སྣར་》,mཅན།,,,,,
,,159,2,《པེ་》《སྣར་》,mན།,,,,,
,,160,3,《པེ་》《སྣར་》,pནི།,,,,,
,,161,4,《པེ་》《སྣར་》,ལ།,,,,,
,,162,5,《པེ་》《སྣར་》,པའི།,,,,,
,,163,6,《པེ་》《སྣར་》,mམ།,,,,,
,,164,7,《པེ་》《སྣར་》,དང་།,,,,,
,,165,8,《པེ་》《སྣར་》,མོར།,,,,,
,880,166,1,《པེ་》《སྣར་》,བུའི།,,,,,
,,167,2,《པེ་》《སྣར་》,ནོ།,,,,,
,,168,3,《པེ་》《སྣར་》,ན།,,,,,
,,169,4,《པེ་》《སྣར་》,pཏེ།,,,,,
,,170,5,《པེ་》《སྣར་》,mཡང་།,,,,,
,881,171,1,《པེ་》《སྣར་》,mརོ།,,,,,
,,172,2,《པེ་》《སྣར་》,ལ།,,,,,
,,173,3,《པེ་》《སྣར་》,pཡོད་པ།,,,,,
,,174,4,《པེ་》《སྣར་》,སྐྱེ་བར།,,,,,
,,175,5,《པེ་》《སྣར་》,mརང་།,,,,,
,,176,6,《པེ་》《སྣར་》,གྱི།,,,,,
,,177,7,《པེ་》《སྣར་》,ནི་ཕྱི།,,,,,
,,178,8,《པེ་》《སྣར་》,ཆེས་ཐལ།,,,,,
,882,179,1,《པེ་》《སྣར་》,mམེད་ལ་མི་གནས་པ།,,,,,
,,180,2,《པེ་》《སྣར་》,པ།,,,,,
,,181,3,《སྣར་》,ཏུ།,,,,,
,,182,4,《པེ་》《སྣར་》,pལ་མི་དམིགས་པ།,,,,,
,,183,5,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,184,6,《སྣར་》,mཏུ།,,,,,
,,185,7,《པེ་》《སྣར་》,ཁྱབ།,,,,,
,,186,8,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,187,9,《སྣར་》,བསྒྲུབ།,,,,,
,,188,10,《པེ་》《སྣར་》,mམི།,,,,,
,,189,11,《སྣར་》,pདེ།,,,,,
,,190,12,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,191,13,《སྣར་》,བསྒྲུབ།,,,,,
,,192,14,《སྣར་》,བཟོད།,,,,,
,,193,15,《སྣར་》,བཅས།,,,,,
,,194,16,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,883,195,1,《སྣར་》,དག,,,,,
,,196,2,《སྣར་》,བཅོད།,,,,,
,,197,3,《པེ་》,པ་རྗོད།;《སྣར་》,པ་བརྗོད།,,,,
,,198,4,《པེ་》《སྣར་》,pནམ། ཆོས་མི་མཐུན་པ་ཉིད་ཅན།,,,,,
,,199,5,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,200,6,《པེ་》《སྣར་》,པའི།,,,,,
,,201,7,《པེ་》《སྣར་》,དག,,,,,
,,202,8,《པེ་》,ཚིགས།,,,,,
,,203,9,《པེ་》《སྣར་》,པའི་ཕྱིར།,,,,,
,,204,10,《པེ་》《སྣར་》,འགར།,,,,,
,884,205,1,《པེ་》《སྣར་》,mདེའི་ཕྱིར་དམ་བཅའ་བའི་…...སྐྱེ་བའི་ཕྱིར་རོ།།,,,,,
,,206,2,《པེ་》《སྣར་》,mཔའི།,,,,,
,,207,3,《པེ་》《སྣར་》,འབྲེལ།,,,,,
,,208,4,《པེ་》《སྣར་》,mནུས་ཏེ།,,,,,
,,209,5,《པེ་》《སྣར་》,mརྩོད་པའི་གཞི།,,,,,
,,210,6,《ཅོ་》,mམ།,,,,,
,885,211,1,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,212,2,《པེ་》《སྣར་》,ན།,,,,,
,,213,3,《སྣར་》,ལས།,,,,,
,,214,4,《པེ་》《སྣར་》,mཔ།,,,,,
,,215,5,《པེ་》《སྣར་》,བར་དུ།,,,,,
,,216,6,《པེ་》《སྣར་》,བཅས་པ།,,,,,
,,217,7,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,218,8,《པེ་》《སྣར་》,པ། གང་གིས།,,,,,
,,219,9,《པེ་》《སྣར་》,ཅིས་བྱས་པའི།,,,,,
,886,220,1,《པེ་》《སྣར་》,ལ།,,,,,
,,221,2,《པེ་》《སྣར་》,བཙམ།,,,,,
,,222,3,《པེ་》《སྣར་》,པར།,,,,,
,,223,4,《པེ་》《སྣར་》,བཅའ།,,,,,
,,224,5,《པེ་》《སྣར་》,pབསྟན་པའི།,,,,,
,,225,6,《པེ་》《སྣར་》,pནི།,,,,,
,,226,7,《སྣར་》,བརྟགས།,,,,,
,887,227,1,《པེ་》《སྣར་》,pཔ།,,,,,
,,228,2,《པེ་》《སྣར་》,ཏེ།,,,,,
