མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,451,47,1,《པེ་》《སྣར་》,དེ་དང་།,,,,,,
,,48,2,《སྣར་》,དེས་དག,,,,,,
,,49,3,《པེ་》《སྣར་》,ན།,,,,,,
,,50,4,《པེ་》《སྣར་》,ལ།,,,,,,
,,51,5,《སྣར་》,mཡང་།,,,,,,
,,52,6,《པེ་》,mཡང་།,,,,,,
,,53,7,《པེ་》《སྣར་》,ལ།,,,,,,
,,54,8,《པེ་》《སྣར་》,དོ།,,,,,,
,,55,9,《པེ་》《སྣར་》,mརོ།,,,,,,
,,56,10,《པེ་》《སྣར་》,པའི།,,,,,,
,452,57,1,《སྣར་》,pམྱུ་གུ་དེ་ཉིད།,,,,,,
,,58,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,59,3,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,60,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,61,5,《པེ་》《སྣར་》,mདག,,,,,,
,,62,6,《པེ་》,ལ་གཅིག་བལྟོས།,《སྣར་》,ལས་གཅིག།,,,,,
,453,63,1,《པེ་》《སྣར་》,pརོ།,,,,,,
,,64,2,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,65,3,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,454,66,1,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,67,2,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,68,3,《པེ་》《སྣར་》,རྟག,,,,,,
,,69,4,《པེ་》《སྣར་》,སྐྱེའོ།,,,,,,
,,70,5,《པེ་》《སྣར་》,pནི།,,,,,,
,,71,6,《པེ་》《སྣར་》,བའི།,,,,,,
,,72,7,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,455,73,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,74,2,《པེ་》《སྣར་》,གྲང་།,,,,,,
,,75,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,76,4,《པེ་》《སྣར་》,སྐྱེ།,,,,,,
,,77,5,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,78,6,《པེ་》《སྣར་》,དེ།,,,,,,
,456,79,1,《པེ་》,mཔོ།,,,,,,
,,80,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,81,3,《པེ་》《སྣར་》,བའི།,,,,,,
,,82,4,《པེ་》《སྣར་》,བའི།,,,,,,
,,83,5,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,84,6,《པེ་》,གང་།,,,,,,
,,85,7,《པེ་》《སྣར་》,རྟག,,,,,,
,,86,8,《པེ་》《སྣར་》,པ།,,,,,,
,,87,9,《པེ་》《སྣར་》,ལས།,,,,,,
,457,88,1,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,89,2,《པེ་》《སྣར་》,སྐྱེའོ།,,,,,,
