མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
མཐར་ཐུག་འབྲས་བུའི་སྒྲོན་མ་ཞེས་བྱ་བ,1694,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། མཐར་ཐུག་འབྲས་བུའི་སྒྲོན་མ་ཞེས་བྱ་བ་བཞུགས་སོ།།
,,3,2,《པེ་》《སྣར་》,mཔྲ།
,,4,3,《པེ་》《སྣར་》,པ།
,,5,4,《པེ་》《སྣར་》,རྟོག
,,6,5,《པེ་》《སྣར་》,མི་སྟོར།
,,7,6,《པེ་》《སྣར་》,རྟོག
,1695,8,1,《པེ་》《སྣར་》,mདཱི་པཾ།
,,9,2,《པེ་》《སྣར་》,ཤྲིས།
