མཚན་བྱང། ,ཤོག་གྲངས། ,1,མཆན་གྲངས།,དཔར་མ།,མཆན། ,
,221,2,1,《པེ་》《སྣར་》,mཔར།,
,,3,2,《པེ་》《སྣར་》,པ།,
,,4,3,《པེ་》《སྣར་》,བསྲེག,
,222,5,1,《པེ་》《སྣར་》,བཞུག,
,,6,2,《པེ་》,རྡོབ།,《སྣར་》,རྡོལ།
,,7,3,《པེ་》《སྣར་》,རྩི།,
,,8,4,《པེ་》《སྣར་》,སྔགས།,
,,9,5,《པེ་》《སྣར་》,སྔགས།,
,,10,6,《པེ་》《སྣར་》,སྔགས།,
,,11,7,《པེ་》《སྣར་》,mལ།,
,,12,8,《པེ་》《སྣར་》,སྔགས།,
,,13,9,《པེ་》《སྣར་》,གཏོང་བཏང་། སྔགས་བཟློས།,
,,14,10,《པེ་》《སྣར་》,ལ།,
,,15,11,《པེ་》《སྣར་》,པ།,
,,16,12,《པེ་》《སྣར་》,བཅད།,
,223,17,1,《པེ་》《སྣར་》,གཙུབ་རྣམས་ཚར་གཅད།,
,,18,2,《པེ་》《སྣར་》,བསྲེག,
,,19,3,《པེ་》《སྣར་》,བསྐྲག,
,,20,4,《པེ་》《སྣར་》,རྗེས།,
,,21,5,《པེ་》《སྣར་》,pཞེས།,
,,22,6,《པེ་》《སྣར་》,བསྲུང་།,
,,23,7,《པེ་》《སྣར་》,ན།,
,,24,8,《པེ་》《སྣར་》,ན།,
,,25,9,《པེ་》《སྣར་》,བསྲེག,
,,26,10,《པེ་》《སྣར་》,pཔ།,
,,27,11,《པེ་》《སྣར་》,པའི་ཀླུ་གདུག,
