མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,1335,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང། 《པེ་》《སྣར་》སྦྱོར་བ་ཡན་ལག་དྲུག་གི་འགྲེལ་པ་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,ཨོཾ།,
,,4,3,《པེ་》《སྣར་》,རྦཱི།,
,,5,4,《པེ་》《སྣར་》,mདེ།,
,,6,5,《པེ་》《སྣར་》,mན།,
,,7,6,《པེ་》《སྣར་》,mཔ།,
,,8,7,《པེ་》《སྣར་》,mདུ་སྡུད་ཅིང་ལེན་པས་ན།,
,1336,9,1,《པེ་》《སྣར་》,ཡིས།,
,,10,2,《པེ་》《སྣར་》,དཔྱོད།,
,,11,3,《པེ་》《སྣར་》,mལ།,
,,12,4,《པེ་》《སྣར་》,ནི།,
,,13,5,《པེ་》《སྣར་》,mཤེས་པ་དང།,
,1337,14,1,《པེ་》《སྣར་》,རྗེ།,
,,15,2,《པེ་》《སྣར་》,pབྱ་བར་ཤེས་པར།,
,,16,3,《པེ་》《སྣར་》,བསམ།,
,,17,4,《པེ་》《སྣར་》,ཤིག,
,,18,5,《པེ་》《སྣར་》,mཔ་ཡིན།,
,,19,6,《པེ་》《སྣར་》,མར།,
,,20,7,《པེ་》《སྣར་》,ནི།,
,1338,21,1,《པེ་》《སྣར་》,རྗེས།,
,,22,2,《པེ་》《སྣར་》,འགྱུར་བ།,
,,23,3,《པེ་》《སྣར་》,མར།,
,,24,4,《པེ་》《སྣར་》,མདའ།,
,,25,5,《པེ་》《སྣར་》,གྱི།,
,,26,6,《པེ་》《སྣར་》,mབ།,
,,27,7,《པེ་》《སྣར་》,གྱིས།,
,1339,28,1,《པེ་》《སྣར་》,ལ།,
,,29,2,《པེ་》《སྣར་》,ལ།,
,,30,3,《པེ་》《སྣར་》,བས།,
,,31,4,《པེ་》,སྒོམ།,
,,32,5,《པེ་》《སྣར་》,ཀྱི་ཡུད་ཀྱིས།,
,,33,6,《པེ་》《སྣར་》,བརྟགས།,
,,34,7,《པེ་》《སྣར་》,བརླབས།,
,,35,8,《པེ་》《སྣར་》,བརྟགས།,
,,36,9,《པེ་》《སྣར་》,mཔ།,
,1340,37,1,《པེ་》,ཨཱ་ཙརྱ་ཤྲདྡྷ།,《སྣར་》,ཨཱ་ཙརྱ་ཤྲད་དྷ།
,,38,2,《པེ་》《སྣར་》,mགྱི།,
,,39,3,《པེ་》,pསརྦ་མངྒ་ལཾ།,
