མཚན་བྱང། ,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ། ,མཆན། 
,128,2,1,《པེ་》《སྣར་》,རྨེ།
,,3,2,《པེ་》《སྣར་》,པས།
,,4,3,《པེ་》《སྣར་》,བླུག་གོ།
,,5,4,《པེ་》《སྣར་》,རེ།
,,6,5,《པེ་》《སྣར་》,ར་ཧུ་ལ་ར་ཧཱུ།
,,7,6,《པེ་》《སྣར་》,བླུག་གོ།
,,8,7,《པེ་》《སྣར་》,ཐབས།
,,9,8,《པེ་》《སྣར་》,སྒྲུབ།
,,10,9,《པེ་》《སྣར་》,བྱ་བའོ།
