མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,79,3,《པེ་》《སྣར་》,mསེམས་དང་།,
,,80,4,《པེ་》《སྣར་》,གཉིས་གང་།,
,,81,5,《པེ་》《སྣར་》,གྱིས།,
,,82,6,《པེ་》《སྣར་》,ལྟར།,
,,83,7,《པེ་》《སྣར་》,mམེད།,
,,84,8,《པེ་》《སྣར་》,པ་ནི།,
,81,85,1,《པེ་》,ན།,
,,86,2,《པེ་》《སྣར་》,རྟོག,
,,87,3,《པེ་》《སྣར་》,།། །།,
,,88,4,《པེ་》《སྣར་》,mབྱས་ཏེ།,
,,89,5,《པེ་》《སྣར་》,mརེག་པ་དང་། རྗེས་སུ་དྲན་པ་དང་།,
,,90,6,《པེ་》《སྣར་》,སོང་བ།,
,,91,7,《པེ་》《སྣར་》,mབྱ་བ།,
,,92,8,《པེ་》《སྣར་》,mསུ།,
,82,93,1,《པེ་》《སྣར་》,ཀྱི།,
,,94,2,《པེ་》《སྣར་》,སྒོམ།,
,,95,3,《པེ་》《སྣར་》,pལ།,
,,96,4,《པེ་》《སྣར་》,pསུམ།,
,,97,5,《པེ་》《སྣར་》,དེ།,
,83,98,1,《པེ་》《སྣར་》,ལས།,
,,99,2,《པེ་》《སྣར་》,པ་སྤང་བའི།,
,,100,3,《པེ་》《སྣར་》,mཕྱིར་ཏེ། དེ་ཙམ་དུ་ཡུལ་དུ་གྱུར་པ།,
,,101,4,《པེ་》《སྣར་》,པ།,
,,102,5,《པེ་》《སྣར་》,སྤང་བའི།,
,,103,6,《པེ་》,ཁྱབ།,
,84,104,1,《པེ་》《སྣར་》,ཏེ། དེ་ལ།,
,,105,2,《པེ་》《སྣར་》,པར་འགྱུར་གྱི། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི།,
,,106,3,《པེ་》《སྣར་》,ཀྱིས།,
,,107,4,《པེ་》《སྣར་》,ལ།,
,,108,5,《པེ་》《སྣར་》,མ།,
,,109,6,《པེ་》《སྣར་》,mལ།,
,,110,7,《པེ་》《སྣར་》,ཉིད་ཀྱི་ཡིན་གྱིས།,
,85,111,1,《པེ་》《སྣར་》,mནི།,
,,112,2,《པེ་》《སྣར་》,རྟོག,
,,113,3,《པེ་》《སྣར་》,mཀྱི།,
,,114,4,《པེ་》《སྣར་》,ཀྱིས།,
,,115,5,《པེ་》《སྣར་》,གྱིས།,
,,116,6,《པེ་》《སྣར་》,སྤངས་པའི།,
,,117,7,《པེ་》《སྣར་》,mལ།,
,86,118,1,《པེ་》《སྣར་》,mནི།,
,,119,2,《པེ་》《སྣར་》,དེ་ནས།,
,,120,3,《པེ་》《སྣར་》,སྤང་བ།,
,,121,4,《པེ་》《སྣར་》,མའོ། །དེ་ལྟ།,
,87,122,1,《པེ་》《སྣར་》,རྟོགས།,
,,123,2,《པེ་》《སྣར་》,བཞི་སྟེ། ,
,,124,3,《སྣར་》,།། །།,
,,125,4,《པེ་》《སྣར་》,pམི་གཉིས་པ།,
,,126,5,《པེ་》《སྣར་》,mགྱི།,
,88,127,1,《པེ་》《སྣར་》,mདུ།,
,,128,2,《པེ་》《སྣར་》,mམི་གནས་པས་ན།,
,,129,3,《པེ་》《སྣར་》,mནི།,
,,130,4,《པེ་》《སྣར་》,རོ།,
,,131,5,《པེ་》《སྣར་》,pལྟ་བུ་ལ་སོགས་པ།,
,,132,6,《པེ་》《སྣར་》,ལྟ།,
,89,133,1,《པེ་》《སྣར་》,mརོ།།,
,,134,2,《པེ་》《སྣར་》,བཏགས།,
,,135,3,《པེ་》,དོན།,
,,136,4,《པེ་》《སྣར་》,mཔ།,
,90,137,1,《པེ་》《སྣར་》,mདེ་ཡིན་ན་ནི།,
,,138,2,《པེ་》《སྣར་》,pཔའི་རྣམ།,
,,139,3,《པེ་》《སྣར་》,mཔ།,
,,140,4,《པེ་》《སྣར་》,རྟོག་ཅིང་རྗོད།,
,,141,5,《པེ་》《སྣར་》,mཔ།,
,,142,6,《པེ་》《སྣར་》,mཁྱད་པར།,
,91,143,1,《པེ་》《སྣར་》,པའི་ཕྱིར་རོ།,
,,144,2,《པེ་》,ཏེ།,
,,145,3,《པེ་》《སྣར་》,རོ།,
,,146,4,《པེ་》《སྣར་》,མེད།,
,,147,5,《པེ་》《སྣར་》,mརོ།།,
,,148,6,《སྣར་》,པའི།,
,,149,7,《པེ་》《སྣར་》,pནི།,
,,150,8,《པེ་》《སྣར་》,mབ།,
,,151,9,《པེ་》《སྣར་》,mནི།,
,,152,10,《པེ་》《སྣར་》,mདུ།,
,,153,11,《པེ་》《སྣར་》,pལ།,
,92,154,1,《པེ་》《སྣར་》,དོ།,
,,155,2,《པེ་》《སྣར་》,དོ།,
,,156,3,《པེ་》,གྱིས།,
,,157,4,《པེ་》,pཔ།,
,,158,5,《པེ་》《སྣར་》,གཏེར།,
,,159,6,《པེ་》《སྣར་》,དེས།,
,,160,7,《སྣར་》,mཔར།,
,,161,8,《པེ་》《སྣར་》,ནི།,
,,162,9,《པེ་》《སྣར་》,mམ།,
,93,163,1,《པེ་》《སྣར་》,བ།,
,,164,2,《པེ་》《སྣར་》,pབཞི།,
,,165,3,《པེ་》《སྣར་》,mམི།,
,,166,4,《པེ་》《སྣར་》,པ།,
,,167,5,《པེ་》《སྣར་》,mདུ།,
,,168,6,《པེ་》,pཔ།,
,,169,7,《པེ་》《སྣར་》,ལ།,
,,170,8,《པེ་》《སྣར་》,པོ།,
,94,171,1,《པེ་》《སྣར་》,mཔ།,
,,172,2,《པེ་》《སྣར་》,mམ།,
,,173,3,《པེ་》《སྣར་》,སྤྱོད།,
,,174,4,《པེ་》《སྣར་》,pདེ།,
,,175,5,《པེ་》《སྣར་》,གིས།,
,,176,6,《པེ་》《སྣར་》,ཀྱིས།,
,95,177,1,《པེ་》《སྣར་》,mཔའི་ཕྱིར་རྒྱུན་མི་འཆད།,
,,178,2,《པེ་》《སྣར་》,རྣམ་པ།,
,,179,3,《པེ་》《སྣར་》,བའི།,
,,180,4,《པེ་》《སྣར་》,pཔ།,
,,181,5,《པེ་》《སྣར་》,པར།,
,,182,6,《པེ་》《སྣར་》,pལ།,
,,183,7,《པེ་》《སྣར་》,གཉེན།,
,,184,8,《པེ་》《སྣར་》,mགཅིག,
,96,185,1,《པེ་》《སྣར་》,བྱེད།,
,,186,2,《པེ་》《སྣར་》,བཟློགས།,
,,187,3,《པེ་》《སྣར་》,།། །།,
,,188,4,《པེ་》《སྣར་》,རྟོག,
,,189,5,《པེ་》《སྣར་》,mགནས།,
,,190,6,《པེ་》《སྣར་》,གྱུར་པ།,
,,191,7,《པེ་》《སྣར་》,mགནས།,
,97,192,1,《པེ་》《སྣར་》,ལ།,
,,193,2,《པེ་》《སྣར་》,མི།,
,,194,3,《པེ་》《སྣར་》,mཔར་དམིགས།,
,,195,4,《པེ་》《སྣར་》,mབ།,
,,196,5,《པེ་》《སྣར་》,དང་བར།,
,,197,6,《པེ་》《སྣར་》,མ།,
,,198,7,《པེ་》《སྣར་》,mམ།,
,,199,8,《པེ་》《སྣར་》,དང་བ།,
,,200,9,《པེ་》《སྣར་》,mམི།,
,,201,10,《པེ་》《སྣར་》,དང་བ།,
,,202,11,《པེ་》《སྣར་》,ལ།,
,,203,12,《པེ་》《སྣར་》,རྣམ་པར།,
,,204,13,《པེ་》《སྣར་》,ན།,
,98,205,1,《པེ་》《སྣར་》,པ།,
,,206,2,《པེ་》,pསརྦ་མངྒཱ་ལམ།,
